id,site_type,ASCI
000CAT148_8.10.10_1,Reference,1.195055478
000CAT228_8.10.10_1,Reference,1.151447996
102PS0139_8.9.10_1,Intermediate,0.934588174
102PS0177_8.28.12_1,Reference,1.196512781
102PS0177_8.28.12_2,Reference,1.209135987
103CDCHHR_9.14.10_1,Reference,0.8369236
103CDCHHR_9.14.10_2,Reference,0.904994536
103FC1106_7.15.14_1,NA,0.989387074
103FCA168_7.24.13_1,Intermediate,0.950795926
103KLCMSR_9.14.10_1,Reference,0.977297031
103PS0217_9.10.13_1,Intermediate,0.847263432
103RDCBCC_7.21.11_1,Intermediate,0.911892595
103STCNSR_8.9.11_1,Reference,0.948586376
103WER026_8.15.12_1,Reference,1.088924791
103WER026_8.15.12_2,Reference,1.209040966
103WER029_7.16.14_1,Reference,0.826314458
103WER030_8.10.11_1,Reference,0.96828249
105BVCAGC_9.21.10_1,Reference,0.991491464
105CE0329_7.23.14_1,Reference,0.824516494
105CLCATC_8.10.10_1,Reference,1.090374763
105CR0901_7.23.14_1,NA,1.100787282
105CR0901_8.11.14_1,NA,1.069189114
105CR0906_8.12.14_1,NA,1.210942086
105CR0908_7.22.14_1,NA,0.844472887
105CR0913_8.12.14_1,NA,1.00782883
105CR1004_7.23.14_1,NA,0.826418879
105DLCDCC_10.20.09_1,Reference,0.962793828
105DLCDCC_5.19.09_1,Reference,1.087005873
105DLCDCC_6.23.09_1,Reference,1.128179545
105DLCDCC_8.5.09_1,Reference,1.043477768
105DLCDCC_9.15.09_1,Reference,1.074830814
105FC1116_8.5.14_1,NA,1.152460445
105FC1120_7.30.14_1,NA,1.095845424
105FC1297_7.22.14_1,NA,0.940434574
105FCA116_7.16.13_1,Reference,0.790428931
105FS0416_9.24.13_1,Reference,0.975854738
105FS0425_8.10.11_1,Reference,1.065372395
105FS0428_8.3.11_1,Reference,0.972454217
105NWC151_6.26.13_1,Reference,1.128699867
105PS0028_8.12.08_1,Intermediate,0.913700764
105PS0028_8.26.08_1,Intermediate,0.995877625
105PS0043_9.17.08_1,Reference,1.002370173
105PS0067_8.24.09_1,Intermediate,0.96897918
105PS0067_8.24.09_2,Intermediate,0.932043021
105PS0067_9.15.09_1,Intermediate,0.918991909
