SampleID_old,StationCode,COMID,E,OE,pMMI,CSCI,SampleID_old.1
000CAT148_8.10.10_1,000CAT148,8942501,16.05804168,0.930997708,1.044958005,0.987977857,000CAT148_8.10.10_1
000CAT228_8.10.10_1,000CAT228,8942503,16.08960429,0.972677744,0.989623198,0.981150471,000CAT228_8.10.10_1
102PS0139_8.9.10_1,102PS0139,23936337,15.46438713,1.089600245,1.053538586,1.071569416,102PS0139_8.9.10_1
103CDCHHR_9.14.10_1,103CDCHHR,22226836,21.10443355,1.0898184,1.083465327,1.086641864,103CDCHHR_9.14.10_1
103FC1106_7.15.14_1,103FC1106,22226634,16.83756568,1.077946797,0.916373099,0.997159948,103FC1106_7.15.14_1
103FCA168_7.24.13_1,103FCA168,22226990,19.07408076,1.093106413,1.033517935,1.063312174,103FCA168_7.24.13_1
103KLCMSR_9.14.10_1,103KLCMSR,22227592,20.86953603,1.018230591,1.146907267,1.082568929,103KLCMSR_9.14.10_1
103PS0217_9.10.13_1,103PS0217,22226948,20.24370951,1.121335988,0.892450076,1.006893032,103PS0217_9.10.13_1
103RDCBCC_7.21.11_1,103RDCBCC,22226612,17.79659209,1.014239126,1.000099576,1.007169351,103RDCBCC_7.21.11_1
103WER026_8.15.12_1,103WER026,22226750,22.74618586,1.061716463,1.016234725,1.038975594,103WER026_8.15.12_1
103WER029_7.16.14_1,103WER029,22226788,24.02083891,0.939808976,1.041967866,0.990888421,103WER029_7.16.14_1
103WER030_8.10.11_1,103WER030,22227610,22.71339957,0.880537497,0.797107343,0.83882242,103WER030_8.10.11_1
105BVCAGC_9.21.10_1,105BVCAGC,4439580,18.50421307,1.321320713,1.128015747,1.22466823,105BVCAGC_9.21.10_1
105CE0329_7.23.14_1,105CE0329,8257849,18.90248975,0.96107269,1.170840137,1.065956413,105CE0329_7.23.14_1
105CLCATC_8.10.10_1,105CLCATC,4439224,16.33821535,1.17515895,0.832516826,1.003837888,105CLCATC_8.10.10_1
105CR0901_8.11.14_1,105CR0901,4442592,14.47253806,0.424942742,0.443730373,0.434336558,105CR0901_8.11.14_1
105CR0913_8.12.14_1,105CR0913,362143,12.01036064,0.653602355,0.467588239,0.560595297,105CR0913_8.12.14_1
105DLCDCC_10.20.09_1,105DLCDCC,4439728,12.77913028,1.016501102,0.963200028,0.989850564,105DLCDCC_10.20.09_1
105FC1116_8.5.14_1,105FC1116,2557043,10.90076927,0.710958998,0.822931951,0.766945475,105FC1116_8.5.14_1
105FC1120_7.30.14_1,105FC1120,8265420,15.65068581,1.047877403,0.889073314,0.968475358,105FC1120_7.30.14_1
105FC1297_7.22.14_1,105FC1297,8257759,18.37110414,1.143099502,1.07563605,1.109367776,105FC1297_7.22.14_1
105FCA116_7.16.13_1,105FCA116,8257773,16.18697301,1.128994284,1.033882322,1.081438303,105FCA116_7.16.13_1
105FS0416_9.24.13_1,105FS0416,4439616,17.78155307,1.214742037,1.031095159,1.122918598,105FS0416_9.24.13_1
105FS0425_8.10.11_1,105FS0425,8257711,15.25991902,1.212326223,1.070352946,1.141339585,105FS0425_8.10.11_1
105FS0428_8.3.11_1,105FS0428,8257421,17.63170076,0.992530456,1.032661613,1.012596034,105FS0428_8.3.11_1
105NWC151_6.26.13_1,105NWC151,2557039,9.372836912,0.928214166,0.896894029,0.912554098,105NWC151_6.26.13_1
105PS0028_8.26.08_1,105PS0028,948010238,11.81952776,0.723379155,0.58305548,0.653217317,105PS0028_8.26.08_1
105PS0043_9.17.08_1,105PS0043,360453,18.89190349,1.188339757,1.010647149,1.099493453,105PS0043_9.17.08_1
