STN_ID,SITE_CODE,SWN,WELL_NAME,LATITUDE,LONGITUDE,WLM_METHOD,WLM_ACC,BASIN_CODE,BASIN_NAME,COUNTY_NAME,WELL_DEPTH,WELL_USE,WELL_TYPE,WCR_NO
50325,347178N1221973W001,NA,8D,37.7176,-122.183,Other,Unknown,2-009.04,East Bay Plain,Alameda,910,Observation,Single Well,NA
47372,375259N1219869W001,05S01W05H004M,5S/1W-05H004,37.5259,-121.987,GPS,0.1 ft.,2-009.01,Niles Cone,Alameda,340,Observation,Single Well,529658
47373,375260N1219868W001,05S01W05H005M,5S/1W-05H005,37.526,-121.987,GPS,0.1 ft.,2-009.01,Niles Cone,Alameda,260,Observation,Single Well,529657
47097,375260N1219869W001,05S01W05H006M,5S/1W-05H006,37.526,-121.987,GPS,0.1 ft.,2-009.01,Niles Cone,Alameda,80,Observation,Single Well,529653
47051,375261N1219868W001,05S01W05H003M,5S/1W-05H003,37.5261,-121.987,GPS,0.1 ft.,2-009.01,Niles Cone,Alameda,490,Observation,Single Well,529661
47050,375376N1220399W001,04S02W36N012M,4S/2W-36N012,37.5376,-122.04,GPS,0.1 ft.,2-009.01,Niles Cone,Alameda,110,Observation,Single Well,572431
47094,375376N1220399W002,04S02W36N011M,4S/2W-36N011,37.5376,-122.04,GPS,0.1 ft.,2-009.01,Niles Cone,Alameda,220,Observation,Single Well,572430
47371,375376N1220399W003,04S02W36N010M,4S/2W-36N010,37.5376,-122.04,GPS,0.1 ft.,2-009.01,Niles Cone,Alameda,310,Observation,Single Well,572427
47366,375493N1219813W001,04S01W28P008M,4S/1W-28P008,37.5493,-121.981,GPS,0.1 ft.,2-009.01,Niles Cone,Alameda,100,Observation,Single Well,475150
47161,375493N1219814W001,04S01W28P007M,4S/1W-28P007,37.5493,-121.981,GPS,0.1 ft.,2-009.01,Niles Cone,Alameda,380,Observation,Single Well,475148
47175,375494N1219813W001,04S01W28P006M,4S/1W-28P006,37.5494,-121.981,GPS,0.1 ft.,2-009.01,Niles Cone,Alameda,460,Observation,Single Well,475147
47365,375495N1219813W001,04S01W28P004M,4S/1W-28P004,37.5495,-121.981,GPS,0.1 ft.,2-009.01,Niles Cone,Alameda,295,Observation,Single Well,NA
47078,375615N1220103W001,04S01W30A005M,4S/1W-30A005,37.5615,-122.01,GPS,0.1 ft.,2-009.01,Niles Cone,Alameda,150,Observation,Single Well,572426
47057,375616N1220103W001,04S01W30A004M,4S/1W-30A004,37.5616,-122.01,GPS,0.1 ft.,2-009.01,Niles Cone,Alameda,230,Observation,Single Well,572425
