STN_ID,SITE_CODE,SWN,WELL_NAME,LATITUDE,LONGITUDE,WLM_METHOD,WLM_ACC,BASIN_CODE,BASIN_NAME,COUNTY_NAME,WELL_DEPTH,WELL_USE,WELL_TYPE,WCR_NO
50058,392714N1213309W001,19N04E32P001M,19N04E32P001M,39.454,-121.55,USGS quad,Unknown,5-021.69,Wyandotte Creek,Butte,150,Residential,Single Well,NA
33034,393108N1217811W001,17N02E19J001M,BMO 17N02E19J001M,39.3108,-121.781,Unknown,Unknown,5-021.70,Butte,Butte,365,Other,Single Well,56867
24325,393169N1218004W001,17N01E24A002M,17N01E24A002M,39.3169,-121.8,USGS quad,5 ft.,5-021.70,Butte,Butte,1131,Observation,Part of a nested/multi-completion well,E054678D
24326,393169N1218004W002,17N01E24A003M,BMO 17N01E24A003M,39.3169,-121.8,USGS quad,5 ft.,5-021.70,Butte,Butte,833,Observation,Part of a nested/multi-completion well,E054678C
37859,393169N1218004W003,17N01E24A004M,BMO 17N01E24A004M,39.3169,-121.8,USGS quad,5 ft.,5-021.70,Butte,Butte,480,Observation,Part of a nested/multi-completion well,E054678B
24327,393169N1218004W004,17N01E24A005M,BMO 17N01E24A005M,39.3169,-121.8,USGS quad,5 ft.,5-021.70,Butte,Butte,305,Observation,Part of a nested/multi-completion well,E054678A
24328,393169N1218004W005,17N01E24A006M,BMO 17N01E24A006M,39.3169,-121.8,USGS quad,5 ft.,5-021.70,Butte,Butte,75,Observation,Part of a nested/multi-completion well,E054681
17103,393190N1215089W001,17N04E22B001M,BMO 17N04E22B001M,39.319,-121.509,USGS quad,5 ft.,5-021.69,Wyandotte Creek,Butte,80,Residential,Single Well,152538
16964,393210N1215913W001,17N03E13N001M,NA,39.321,-121.591,Unknown,Unknown,5-021.69,Wyandotte Creek,Butte,420,Irrigation,Unknown,91784
33038,393222N1216472W001,17N03E16N001M,BMO 17N03E16N001M,39.3222,-121.647,USGS quad,5 ft.,5-021.70,Butte,Butte,178,Residential,Single Well,1864
33031,393257N1218830W001,17N01E17F001M,BMO 17N01E17F001M,39.3257,-121.883,USGS quad,5 ft.,5-021.70,Butte,Butte,160,Observation,Part of a nested/multi-completion well,409566A
16952,393257N1218830W002,17N01E17F002M,BMO 17N01E17F002M,39.3257,-121.883,USGS quad,5 ft.,5-021.70,Butte,Butte,326,Observation,Part of a nested/multi-completion well,409566B
16953,393257N1218830W003,17N01E17F003M,BMO 17N01E17F003M,39.3257,-121.883,USGS quad,5 ft.,5-021.70,Butte,Butte,556,Observation,Part of a nested/multi-completion well,409566C
16956,393269N1217096W001,17N02E14H001M,BMO 17N02E14H001M,39.3269,-121.71,USGS quad,5 ft.,5-021.70,Butte,Butte,102,Other,Single Well,404340
16957,393329N1217565W001,17N02E16C001M,NA,39.3329,-121.757,Unknown,Unknown,5-021.70,Butte,Butte,95,Residential,Unknown,NA
16963,393336N1215853W001,17N03E13B002M,17N03E13B002M,39.3336,-121.585,Unknown,Unknown,5-021.69,Wyandotte Creek,Butte,320,Irrigation,Single Well,498183
33033,393337N1217097W001,17N02E14A001M,BMO 17N02E14A001M,39.3337,-121.71,USGS quad,5 ft.,5-021.70,Butte,Butte,102,Irrigation,Single Well,NA
52657,393339N1216758W002,17N03E18B002M,NA,39.3339,-121.676,GPS,Unknown,5-021.70,Butte,Butte,209,Residential,Single Well,809435
33037,393383N1216575W001,17N03E08K002M,17N03E08K002M,39.3383,-121.657,USGS quad,5 ft.,5-021.70,Butte,Butte,100,Residential,Single Well,502186
39930,393385N1216594W001,17N03E08G001M,NA,39.3385,-121.659,Unknown,Unknown,5-021.70,Butte,Butte,140,Residential,Unknown,NA
17102,393387N1215363W001,17N04E09N002M,BMO 17N04E09N002M,39.3387,-121.536,GPS,5 ft.,5-021.69,Wyandotte Creek,Butte,325,Irrigation,Single Well,38682
16951,393457N1218375W001,17N01E10A001M,BMO 17N01E10A001M,39.3457,-121.838,Unknown,Unknown,5-021.70,Butte,Butte,110,Residential,Single Well,1809
