STN_ID,SITE_CODE,SWN,WELL_NAME,LATITUDE,LONGITUDE,WLM_METHOD,WLM_ACC,BASIN_CODE,BASIN_NAME,COUNTY_NAME,WELL_DEPTH,WELL_USE,WELL_TYPE,WCR_NO
49235,380385N1208433W001,NA,CCWD 016,38.0385,-120.843,Surveyed,2.5 ft,NA,NA,Calaveras,180,Observation,Single Well,NA
49227,380867N1209233W001,NA,CCWD 008,38.0867,-120.923,GPS,20 ft.,5-022.01,Eastern San Joaquin,Calaveras,NA,Residential,Single Well,NA
49222,380914N1209167W001,NA,CCWD 003,38.0914,-120.917,GPS,20 ft.,5-022.01,Eastern San Joaquin,Calaveras,300,Residential,Single Well,366311
49221,381036N1208903W001,NA,CCWD 002,38.1036,-120.89,GPS,20 ft.,5-022.01,Eastern San Joaquin,Calaveras,260,Irrigation,Single Well,939608
49220,381042N1208903W001,NA,CCWD 001,38.1042,-120.89,GPS,20 ft.,5-022.01,Eastern San Joaquin,Calaveras,240,Residential,Single Well,58319
49228,381042N1209111W001,NA,CCWD 009,38.1042,-120.911,GPS,20 ft.,5-022.01,Eastern San Joaquin,Calaveras,240,Residential,Single Well,e0086528
49223,381272N1209322W001,NA,CCWD 004,38.1272,-120.932,GPS,20 ft.,5-022.01,Eastern San Joaquin,Calaveras,435,Observation,Part of a nested/multi-completion well,e0103210
49224,381272N1209322W002,NA,CCWD 005,38.1272,-120.932,GPS,20 ft.,5-022.01,Eastern San Joaquin,Calaveras,365,Observation,Part of a nested/multi-completion well,e0103210
49225,381272N1209322W003,NA,CCWD 006,38.1272,-120.932,GPS,20 ft.,5-022.01,Eastern San Joaquin,Calaveras,230,Observation,Part of a nested/multi-completion well,e0103210
49226,381272N1209322W004,NA,CCWD 007,38.1272,-120.932,GPS,20 ft.,5-022.01,Eastern San Joaquin,Calaveras,110,Observation,Part of a nested/multi-completion well,e0103210
49233,381511N1209406W001,NA,CCWD 014,38.1511,-120.941,GPS,20 ft.,5-022.01,Eastern San Joaquin,Calaveras,360,Residential,Single Well,320402
49229,381628N1209292W001,NA,CCWD 010,38.1628,-120.929,GPS,20 ft.,5-022.01,Eastern San Joaquin,Calaveras,390,Observation,Part of a nested/multi-completion well,e104605
49230,381628N1209292W002,NA,CCWD 011,38.1628,-120.929,GPS,20 ft.,5-022.01,Eastern San Joaquin,Calaveras,350,Observation,Part of a nested/multi-completion well,e104605
49231,381628N1209292W003,NA,CCWD 012,38.1628,-120.929,GPS,20 ft.,5-022.01,Eastern San Joaquin,Calaveras,135,Observation,Part of a nested/multi-completion well,e104605
49232,381647N1208831W001,NA,CCWD 013,38.1647,-120.883,GPS,20 ft.,5-022.01,Eastern San Joaquin,Calaveras,229,Observation,Single Well,NA
50656,381783N1208162W001,NA,CCWD 017,38.1783,-120.816,Surveyed to a benchmark,0.1 ft.,5-022.01,Eastern San Joaquin,Calaveras,67,Observation,Single Well,0913545
49234,381986N1209661W001,NA,CCWD 015,38.1986,-120.966,GPS,20 ft.,5-022.01,Eastern San Joaquin,Calaveras,340,Observation,Single Well,e044539
