STN_ID,SITE_CODE,SWN,WELL_NAME,LATITUDE,LONGITUDE,WLM_METHOD,WLM_ACC,BASIN_CODE,BASIN_NAME,COUNTY_NAME,WELL_DEPTH,WELL_USE,WELL_TYPE,WCR_NO
55317,387291N1217291W001,NA,SmokeTest_20200916,38.7291,-121.729,USGS quad,10 ft.,5-021.67,Yolo,Colusa,2000,Industrial,Single Well,TEST123
18544,389260N1218811W001,13N01E32Q001M,NA,38.926,-121.881,Unknown,Unknown,5-021.52,Colusa,Colusa,76,Unknown,Unknown,NA
16363,389260N1219213W001,13N01W36Q001M,NA,38.926,-121.921,Unknown,Unknown,5-021.52,Colusa,Colusa,19,NA,Unknown,DWR
16362,389261N1219321W001,13N01W36N001M,NA,38.9261,-121.932,Unknown,Unknown,5-021.52,Colusa,Colusa,NA,Irrigation,Unknown,NA
16360,389263N1219606W001,13N01W34P001M,NA,38.9263,-121.961,Unknown,Unknown,5-021.52,Colusa,Colusa,57,Unknown,Unknown,NA
16359,389266N1220148W001,13N01W31Q001M,NA,38.9266,-122.015,Unknown,Unknown,5-021.52,Colusa,Colusa,140,Residential,Unknown,NA
18542,389304N1218843W001,13N01E32K001M,LCB-5 Middle,38.9304,-121.884,Surveyed to a benchmark,0.1 ft.,5-021.52,Colusa,Colusa,566,Observation,Part of a nested/multi-completion well,NA
18543,389304N1218843W002,13N01E32K002M,LCB-5 Deep,38.9304,-121.884,Surveyed to a benchmark,0.1 ft.,5-021.52,Colusa,Colusa,646,Observation,Part of a nested/multi-completion well,NA
36245,389304N1218843W003,13N01E32K003M,LCB-5 Shallow,38.9304,-121.884,Surveyed to a benchmark,0.1 ft.,5-021.52,Colusa,Colusa,390,Observation,Part of a nested/multi-completion well,NA
33897,389316N1219443W001,13N01W35L006M,NA,38.9316,-121.944,Unknown,Unknown,5-021.52,Colusa,Colusa,170,Unknown,Unknown,NA
16361,389317N1219463W001,13N01W35L002M,13N01W35L002M,38.9317,-121.946,USGS quad,5 ft.,5-021.52,Colusa,Colusa,237,Residential,Single Well,52421
53175,389347N1219331W002,13N01W35H500M,Blair's Irrig Well,38.9347,-121.933,GPS,2.5 ft,5-021.52,Colusa,Colusa,NA,Irrigation,Single Well,NA
33896,389358N1220027W001,13N01W32F001M,NA,38.9358,-122.003,Unknown,Unknown,5-021.52,Colusa,Colusa,610,Irrigation,Unknown,35409
16358,389479N1219881W001,13N01W28E002M,NA,38.9479,-121.988,Unknown,Unknown,5-021.52,Colusa,Colusa,NA,Irrigation,Unknown,NA
16504,389501N1220338W001,13N02W25F001M,NA,38.9501,-122.034,Unknown,Unknown,5-021.52,Colusa,Colusa,530,Irrigation,Unknown,NA
31901,389552N1220970W001,13N02W21N001M,NA,38.9552,-122.097,Unknown,Unknown,5-021.52,Colusa,Colusa,798,Irrigation,Unknown,USGS
16357,389553N1219631W001,13N01W22P002M,NA,38.9553,-121.963,Unknown,Unknown,5-021.52,Colusa,Colusa,236,Irrigation,Unknown,40376
16503,389588N1220545W001,13N02W23L001M,13N02W23L001M,38.9588,-122.055,USGS quad,5 ft.,5-021.52,Colusa,Colusa,232,Residential,Single Well,43888
25005,389634N1221009W001,13N02W20H002M,13N02W20H002M,38.9634,-122.101,USGS quad,5 ft.,5-021.52,Colusa,Colusa,320,Residential,Single Well,423344
16502,389636N1220626W001,13N02W22H002M,See 13N02W22G001M,38.9636,-122.063,Unknown,Unknown,5-021.52,Colusa,Colusa,793,Unknown,Unknown,36009
16500,389640N1220999W001,13N02W20H001M,NA,38.964,-122.1,Unknown,Unknown,5-021.52,Colusa,Colusa,320,Residential,Unknown,95744
16501,389641N1220620W001,13N02W22H001M,NA,38.9641,-122.062,Unknown,Unknown,5-021.52,Colusa,Colusa,150,Unknown,Unknown,NA
