STN_ID,SITE_CODE,SWN,WELL_NAME,LATITUDE,LONGITUDE,WLM_METHOD,WLM_ACC,BASIN_CODE,BASIN_NAME,COUNTY_NAME,WELL_DEPTH,WELL_USE,WELL_TYPE
10713,388017N1200185W001,11N18E17E001M,NA,38.8017,-120.019,Unknown,Unknown,6-005.01,Tahoe South,El Dorado,24,Residential,Unknown
47508,388030N1200150W001,NA,EX-1,38.803,-120.015,Surveyed to a benchmark,0.1 ft.,NA,NA,El Dorado,31,Observation,Single Well
47519,388224N1200217W001,11N18E05N001M,SUT No.1,38.8224,-120.022,Surveyed to a benchmark,0.1 ft.,6-005.01,Tahoe South,El Dorado,262,Observation,Single Well
47510,388395N1200249W001,NA,Henderson OW,38.8395,-120.025,Surveyed to a benchmark,0.1 ft.,6-005.01,Tahoe South,El Dorado,210,Observation,Single Well
47504,388544N1200196W001,NA,DW-1,38.8544,-120.02,Surveyed to a benchmark,0.1 ft.,6-005.01,Tahoe South,El Dorado,268,Observation,Single Well
47512,388545N1200196W001,NA,IW-1,38.8545,-120.02,Surveyed to a benchmark,0.1 ft.,6-005.01,Tahoe South,El Dorado,151,Observation,Single Well
47520,388545N1200197W001,NA,SW-1,38.8545,-120.02,Surveyed to a benchmark,0.1 ft.,6-005.01,Tahoe South,El Dorado,40,Observation,Single Well
47499,388552N1200171W001,NA,Apache OW,38.8552,-120.017,Surveyed to a benchmark,0.1 ft.,6-005.01,Tahoe South,El Dorado,134,Observation,Single Well
15199,388562N1200143W001,12N18E29L001M,NA,38.8562,-120.014,Unknown,Unknown,6-005.01,Tahoe South,El Dorado,94,Residential,Unknown
47506,388582N1200216W001,NA,ESB-2,38.8582,-120.022,Surveyed to a benchmark,0.1 ft.,6-005.01,Tahoe South,El Dorado,233,Observation,Single Well
47518,388593N1200182W001,NA,Sioux OW,38.8593,-120.018,Surveyed to a benchmark,0.1 ft.,6-005.01,Tahoe South,El Dorado,198,Observation,Single Well
47507,388596N1200196W001,NA,ESB-3,38.8596,-120.02,Surveyed to a benchmark,0.1 ft.,6-005.01,Tahoe South,El Dorado,211,Observation,Single Well
47503,388658N1200177W001,NA,Country Club Well,38.8658,-120.018,Surveyed to a benchmark,0.1 ft.,6-005.01,Tahoe South,El Dorado,197,Observation,Single Well
47517,388673N1200319W001,NA,Seneca OW,38.8673,-120.032,Surveyed to a benchmark,0.1 ft.,NA,NA,El Dorado,180,Observation,Single Well
15063,388753N1200066W001,12N18E20H002M,NA,38.8753,-120.007,Unknown,Unknown,6-005.01,Tahoe South,El Dorado,36,Residential,Unknown
47505,388761N1200005W001,12N18E21D001M,Elks Club Well #1,38.8761,-120.001,Surveyed to a benchmark,0.1 ft.,6-005.01,Tahoe South,El Dorado,168,Observation,Single Well
47528,388909N1199885W001,NA,Washoan OW,38.8909,-119.989,Surveyed to a benchmark,0.1 ft.,6-005.01,Tahoe South,El Dorado,275,Observation,Single Well
47511,389024N1200084W001,NA,Industrial Well #2,38.9024,-120.008,Surveyed to a benchmark,0.1 ft.,6-005.01,Tahoe South,El Dorado,190,Observation,Single Well
15062,389060N1199996W001,12N18E09D003M,NA,38.906,-120,Unknown,Unknown,6-005.01,Tahoe South,El Dorado,137,Residential,Unknown
47521,389075N1200055W001,12N18E08A003M,Tata Lane Well #2,38.9075,-120.005,Surveyed to a benchmark,0.1 ft.,6-005.01,Tahoe South,El Dorado,193,Observation,Single Well
47522,389075N1200059W001,12N18E08A004M,Tata Lane Well #3,38.9075,-120.006,Surveyed to a benchmark,0.1 ft.,6-005.01,Tahoe South,El Dorado,225,Observation,Single Well
47501,389129N1200110W001,NA,CL-1,38.9129,-120.011,Surveyed to a benchmark,0.1 ft.,6-005.01,Tahoe South,El Dorado,115,Observation,Single Well
47502,389129N1200110W002,NA,CL-3,38.9129,-120.011,Surveyed to a benchmark,0.1 ft.,6-005.01,Tahoe South,El Dorado,50,Observation,Single Well
33555,389155N1200108W001,12N18E05K001M,NA,38.9155,-120.011,Unknown,Unknown,6-005.01,Tahoe South,El Dorado,80,Unknown,Unknown
47515,389211N1199746W001,NA,Martin Ave. Well,38.9211,-119.975,Surveyed to a benchmark,0.1 ft.,6-005.01,Tahoe South,El Dorado,250,Observation,Single Well
15061,389219N1200133W001,12N18E05C002M,NA,38.9219,-120.013,Unknown,Unknown,6-005.01,Tahoe South,El Dorado,60,Residential,Unknown
13336,389222N1200042W001,12N18E05A002M,NA,38.9222,-120.004,Unknown,Unknown,6-005.01,Tahoe South,El Dorado,156,Residential,Unknown
