STN_ID,SITE_CODE,SWN,WELL_NAME,LATITUDE,LONGITUDE,WLM_METHOD,WLM_ACC,BASIN_CODE,BASIN_NAME,COUNTY_NAME,WELL_DEPTH,WELL_USE,WELL_TYPE,WCR_NO
22168,357878N1191173W001,25S26E01A002M,NA,35.7878,-119.117,Unknown,Unknown,5-022.14,Kern County,Fresno,NA,Unknown,Unknown,NA
18701,359647N1200793W001,22S17E36R001M,NA,35.9647,-120.079,Unknown,Unknown,5-022.17,Kettleman Plain,Fresno,NA,Unknown,Unknown,NA
36156,359714N1201027W001,22S17E35L001M,NA,35.9714,-120.103,Unknown,Unknown,5-022.17,Kettleman Plain,Fresno,NA,Unknown,Unknown,NA
20733,359717N1200849W001,22S17E36F001M,NA,35.9717,-120.085,Unknown,Unknown,5-022.17,Kettleman Plain,Fresno,NA,Unknown,Unknown,NA
36155,359786N1201116W001,22S17E34A001M,NA,35.9786,-120.112,Unknown,Unknown,5-022.17,Kettleman Plain,Fresno,NA,Unknown,Unknown,NA
20732,359789N1201166W001,22S17E34B001M,NA,35.9789,-120.117,Unknown,Unknown,5-022.17,Kettleman Plain,Fresno,NA,Unknown,Unknown,NA
39375,359878N1200960W001,22S17E26H001M,NA,35.9878,-120.096,Unknown,Unknown,5-022.17,Kettleman Plain,Fresno,NA,Unknown,Unknown,NA
18719,360144N1199724W001,22S18E13K001M,NA,36.0144,-119.972,Unknown,Unknown,5-022.09,Westside,Fresno,NA,Unknown,Unknown,NA
34420,360219N1199616W001,22S19E07P001M,NA,36.0219,-119.962,Unknown,Unknown,5-022.12,Tulare Lake,Fresno,NA,Unknown,Unknown,NA
18714,360286N1199946W001,22S18E11K001M,NA,36.0286,-119.995,Unknown,Unknown,5-022.09,Westside,Fresno,NA,Unknown,Unknown,NA
20729,360292N1201952W001,22S16E12F001M,NA,36.0292,-120.195,Unknown,Unknown,5-022.10,Pleasant Valley,Fresno,NA,Unknown,Unknown,NA
18713,360328N1199977W001,22S18E11C001M,NA,36.0328,-119.998,Unknown,Unknown,5-022.09,Westside,Fresno,NA,Unknown,Unknown,NA
