STN_ID,SITE_CODE,SWN,WELL_NAME,LATITUDE,LONGITUDE,WLM_METHOD,WLM_ACC,BASIN_CODE,BASIN_NAME,COUNTY_NAME,WELL_DEPTH,WELL_USE,WELL_TYPE,WCR_NO
50093,366909N1221638W001,21N03W11G003M,21N03W11G003M,39.6909,-122.164,Other,5 ft.,5-021.52,Colusa,Glenn,320,Irrigation,Single Well,E0089101
51649,393172N1219220W001,NA,Behring Pearl Pump,39.3171,-121.922,Digital Elevation Model,10 ft.,5-021.70,Butte,Glenn,NA,Irrigation,Single Well,NA
49921,393843N1219859W001,18N01W29H002M,18N01W29H002M,39.3843,-121.986,USGS quad,5 ft.,5-021.70,Butte,Glenn,NA,Irrigation,Single Well,NA
49912,393872N1219656W001,18N01W27E001M,18N01W27E001M,39.3872,-121.966,USGS quad,5 ft.,5-021.70,Butte,Glenn,132,Irrigation,Single Well,3457
49917,393900N1219471W001,18N01W26D001M,18N01W26D001M,39.39,-121.947,USGS quad,5 ft.,5-021.70,Butte,Glenn,270,Irrigation,Single Well,374688
49913,393903N1219567W001,18N01W27B003M,18N01W27B003M,39.3903,-121.957,USGS quad,5 ft.,5-021.70,Butte,Glenn,145,Irrigation,Single Well,340884
16378,393976N1219617W001,18N01W22L001M,18N01W22L001M,39.3976,-121.962,USGS quad,5 ft.,5-021.70,Butte,Glenn,124,Irrigation,Single Well,117
16924,394002N1222764W001,18N04W23F001M,18N04W23F001M,39.4001,-122.276,Other,Unknown,5-021.52,Colusa,Glenn,280,Irrigation,Single Well,NA
54896,394061N1220007W002,NA,Glenn West,39.4061,-122.001,Unknown,Unknown,5-021.70,Butte,Glenn,750,Irrigation,Single Well,E0183303
32767,394073N1221913W001,18N03W22D001M,NA,39.4073,-122.191,Unknown,Unknown,5-021.52,Colusa,Glenn,16,NA,Unknown,NA
54895,394080N1219915W002,NA,Glenn East,39.408,-121.991,Unknown,Unknown,5-021.70,Butte,Glenn,670,Irrigation,Single Well,e0307130
51618,394117N1222578W001,NA,GCID Lacroix 3,39.4117,-122.258,Digital Elevation Model,5 ft.,5-021.52,Colusa,Glenn,165,Irrigation,Single Well,563514
40068,394130N1219913W001,18N01W17G001M,18N01W17G001M,39.413,-121.991,USGS quad,5 ft.,5-021.70,Butte,Glenn,108,Irrigation,Single Well,46326
51616,394143N1222618W001,NA,GCID Lacroix 1,39.4143,-122.262,Digital Elevation Model,5 ft.,5-021.52,Colusa,Glenn,210,Irrigation,Single Well,563512
51617,394186N1222579W001,NA,GCID Lacroix 2,39.4186,-122.258,Digital Elevation Model,5 ft.,5-021.52,Colusa,Glenn,232,Irrigation,Single Well,e0190796
16377,394199N1219385W001,18N01W14B001M,18N01W14B001M,39.4199,-121.939,USGS quad,5 ft.,5-021.70,Butte,Glenn,204,Irrigation,Single Well,11340
34016,394205N1218871W001,18N01E17D001M,NA,39.4205,-121.887,Unknown,Unknown,5-021.58,West Butte,Glenn,20,NA,Unknown,NA
24953,394208N1221341W001,18N02W18D001M,18N02W18D001M,39.4208,-122.134,Surveyed to a benchmark,0.1 ft.,5-021.52,Colusa,Glenn,996,Observation,Part of a nested/multi-completion well,E045412
38201,394208N1221341W002,18N02W18D002M,18N02W18D002M,39.4208,-122.134,Surveyed to a benchmark,0.1 ft.,5-021.52,Colusa,Glenn,693,Observation,Part of a nested/multi-completion well,E045412
24992,394208N1221341W003,18N02W18D003M,18N02W18D003M,39.4208,-122.134,Surveyed to a benchmark,0.1 ft.,5-021.52,Colusa,Glenn,543,Observation,Part of a nested/multi-completion well,E045412
38358,394208N1221341W004,18N02W18D004M,18N02W18D004M,39.4208,-122.134,Surveyed to a benchmark,0.1 ft.,5-021.52,Colusa,Glenn,280,Observation,Part of a nested/multi-completion well,E045412
50898,394260N1220336W001,NA,18N02W12M,39.426,-122.034,Other,10 ft.,5-021.52,Colusa,Glenn,260,Irrigation,Single Well,406241
