STN_ID,SITE_CODE,SWN,WELL_NAME,LATITUDE,LONGITUDE,WLM_METHOD,WLM_ACC,BASIN_CODE,BASIN_NAME,COUNTY_NAME,WELL_DEPTH,WELL_USE,WELL_TYPE,WCR_NO
18515,326593N1160025W001,17S10E19F001S,NA,32.6593,-116.003,Unknown,Unknown,7-061,Davies Valley,Imperial,NA,Unknown,Unknown,NA
18517,326596N1158480W001,17S11E22E002S,NA,32.6596,-115.848,Unknown,Unknown,7-029,Coyote Wells Valley,Imperial,NA,Unknown,Unknown,NA
36234,326693N1158914W001,17S11E18K001S,NA,32.6693,-115.891,Unknown,Unknown,7-029,Coyote Wells Valley,Imperial,NA,Unknown,Unknown,NA
18516,326704N1158547W001,17S11E16J001S,NA,32.6704,-115.855,Unknown,Unknown,7-029,Coyote Wells Valley,Imperial,NA,Unknown,Unknown,NA
36235,326774N1157647W001,17S12E17A001S,NA,32.6774,-115.765,Unknown,Unknown,7-030,Imperial Valley,Imperial,NA,Unknown,Unknown,NA
36232,326874N1159247W001,17S10E11H001S,NA,32.6874,-115.925,Unknown,Unknown,7-029,Coyote Wells Valley,Imperial,NA,Unknown,Unknown,NA
36233,326882N1159239W001,17S10E11H003S,NA,32.6882,-115.924,Unknown,Unknown,7-029,Coyote Wells Valley,Imperial,NA,Unknown,Unknown,NA
18514,326885N1159241W001,17S10E11H002S,NA,32.6885,-115.924,Unknown,Unknown,7-029,Coyote Wells Valley,Imperial,NA,Unknown,Unknown,NA
18513,326888N1159272W001,17S10E11G004S,NA,32.6888,-115.927,Unknown,Unknown,7-029,Coyote Wells Valley,Imperial,NA,Unknown,Unknown,NA
18512,326899N1159264W001,17S10E11G001S,NA,32.6899,-115.926,Unknown,Unknown,7-029,Coyote Wells Valley,Imperial,NA,Unknown,Unknown,NA
36231,326899N1159269W001,17S10E11G002S,NA,32.6899,-115.927,Unknown,Unknown,7-029,Coyote Wells Valley,Imperial,NA,Unknown,Unknown,NA
18511,326941N1159264W001,17S10E11B001S,NA,32.6941,-115.926,Unknown,Unknown,7-029,Coyote Wells Valley,Imperial,NA,Unknown,Unknown,NA
36266,327048N1149895W001,17S19E02G004S,NA,32.7048,-114.99,Unknown,Unknown,7-030,Imperial Valley,Imperial,NA,Unknown,Unknown,NA
19639,327048N1149895W002,17S19E02G005S,NA,32.7048,-114.99,Unknown,Unknown,7-030,Imperial Valley,Imperial,NA,Unknown,Unknown,NA
19638,327048N1149896W001,17S19E02G003S,NA,32.7048,-114.99,Unknown,Unknown,7-030,Imperial Valley,Imperial,NA,Unknown,Unknown,NA
36230,327049N1160280W001,17S09E12E001S,NA,32.7049,-116.028,Unknown,Unknown,7-029,Coyote Wells Valley,Imperial,NA,Unknown,Unknown,NA
20307,327073N1149319W001,17S20E04D001S,NA,32.7073,-114.932,Unknown,Unknown,7-030,Imperial Valley,Imperial,NA,Unknown,Unknown,NA
20308,327076N1149312W001,17S20E04D003S,NA,32.7076,-114.931,Unknown,Unknown,7-030,Imperial Valley,Imperial,NA,Unknown,Unknown,NA
16055,327092N1149663W001,16S19E36P004S,NA,32.7092,-114.966,Unknown,Unknown,7-030,Imperial Valley,Imperial,NA,Unknown,Unknown,NA
33600,327095N1149255W001,16S20E32R002S,NA,32.7095,-114.925,Unknown,Unknown,7-030,Imperial Valley,Imperial,NA,Unknown,Unknown,NA
16070,327139N1149430W001,16S20E31K001S,NA,32.7139,-114.943,Unknown,Unknown,7-030,Imperial Valley,Imperial,NA,Unknown,Unknown,NA
21588,327143N1158744W001,16S11E42L001S,NA,32.7143,-115.874,Unknown,Unknown,7-029,Coyote Wells Valley,Imperial,NA,Unknown,Unknown,NA
33599,327144N1149343W001,16S20E32L001S,NA,32.7144,-114.934,Unknown,Unknown,7-030,Imperial Valley,Imperial,NA,Unknown,Unknown,NA
16198,327144N1149343W002,16S20E32L002S,NA,32.7144,-114.934,Unknown,Unknown,7-030,Imperial Valley,Imperial,NA,Unknown,Unknown,NA
33315,327161N1149553W001,16S20E31M001S,NA,32.7161,-114.955,Unknown,Unknown,7-030,Imperial Valley,Imperial,NA,Unknown,Unknown,NA
39150,327175N1147745W001,16S21E32R003S,NA,32.7175,-114.775,Unknown,Unknown,7-035,Ogilby Valley,Imperial,NA,Unknown,Unknown,NA
35666,327175N1147746W001,16S21E32R002S,NA,32.7175,-114.775,Unknown,Unknown,7-035,Ogilby Valley,Imperial,NA,Unknown,Unknown,NA
18250,327176N1148024W001,16S21E31P001S,NA,32.7176,-114.802,Unknown,Unknown,7-035,Ogilby Valley,Imperial,NA,Unknown,Unknown,NA
18252,327177N1147739W001,16S21E32R001S,NA,32.7177,-114.774,Unknown,Unknown,7-035,Ogilby Valley,Imperial,NA,Unknown,Unknown,NA
