STN_ID,SITE_CODE,SWN,WELL_NAME,LATITUDE,LONGITUDE,WLM_METHOD,WLM_ACC,BASIN_CODE,BASIN_NAME,COUNTY_NAME,WELL_DEPTH,WELL_USE,WELL_TYPE,WCR_NO
46313,357325N1177203W001,25S40E30E001M,TTBKMW14,35.7325,-117.72,GPS with WAAS,0.1 ft.,6-054,Indian Wells Valley,Inyo,72,Observation,Single Well,NA
37250,357972N1177593W001,25S39E03A001M,NA,35.7972,-117.759,Unknown,Unknown,6-054,Indian Wells Valley,Inyo,NA,Unknown,Unknown,NA
18903,357980N1176696W001,24S40E33N001M,NA,35.798,-117.67,Unknown,Unknown,6-054,Indian Wells Valley,Inyo,NA,Unknown,Unknown,NA
18913,357986N1173576W001,24S43E32Q001M,NA,35.7986,-117.358,Unknown,Unknown,6-052,Searles Valley,Inyo,NA,Unknown,Unknown,NA
34848,357994N1173599W001,24S43E32L001M,NA,35.7994,-117.36,Unknown,Unknown,6-052,Searles Valley,Inyo,NA,Unknown,Unknown,NA
34733,357994N1177796W001,24S39E33N001M,NA,35.7994,-117.78,Unknown,Unknown,6-054,Indian Wells Valley,Inyo,NA,Unknown,Unknown,NA
18898,358000N1178729W001,24S38E33R002M,NA,35.8,-117.873,Unknown,Unknown,6-054,Indian Wells Valley,Inyo,NA,Unknown,Unknown,NA
34845,358013N1176196W001,24S40E35J001M,NA,35.8013,-117.62,Unknown,Unknown,6-054,Indian Wells Valley,Inyo,NA,Unknown,Unknown,NA
18908,358016N1176176W001,24S40E36M001M,NA,35.8016,-117.618,Unknown,Unknown,6-054,Indian Wells Valley,Inyo,NA,Unknown,Unknown,NA
18897,358033N1178729W001,24S38E33J002M,NA,35.8033,-117.873,Unknown,Unknown,6-054,Indian Wells Valley,Inyo,NA,Unknown,Unknown,NA
18902,358055N1176718W001,24S40E32H001M,NA,35.8055,-117.672,Unknown,Unknown,6-054,Indian Wells Valley,Inyo,NA,Unknown,Unknown,NA
34841,358058N1176704W001,24S40E33E001M,NA,35.8058,-117.67,Unknown,Unknown,6-054,Indian Wells Valley,Inyo,NA,Unknown,Unknown,NA
34844,358066N1176510W001,24S40E34E001M,NA,35.8066,-117.651,Unknown,Unknown,6-054,Indian Wells Valley,Inyo,NA,Unknown,Unknown,NA
18907,358083N1176412W001,24S40E34H001M,NA,35.8083,-117.641,Unknown,Unknown,6-054,Indian Wells Valley,Inyo,NA,Unknown,Unknown,NA
18906,358097N1176507W001,24S40E34D001M,NA,35.8097,-117.651,Unknown,Unknown,6-054,Indian Wells Valley,Inyo,NA,Unknown,Unknown,NA
