STN_ID,SITE_CODE,SWN,WELL_NAME,LATITUDE,LONGITUDE,WLM_METHOD,WLM_ACC,BASIN_CODE,BASIN_NAME,COUNTY_NAME,WELL_DEPTH,WELL_USE,WELL_TYPE,WCR_NO
46147,335513N1166355W004,NA,Test 6-51.2003b,33.5513,-116.636,GPS,10 ft.,9-006,Cahuilla Valley,Kern,335,Residential,Single Well,NA
47426,344779N1192479W001,28S25E23J001M,Furrow #1,35.4779,-119.248,USGS quad,5 ft.,5-022.14,Kern County,Kern,600,Irrigation,Single Well,e060908
23718,348189N1189417W001,09N20W36H001S,NA,34.8189,-118.942,Unknown,Unknown,5-082,Cuddy Canyon Valley,Kern,NA,Unknown,Unknown,NA
12989,348194N1183971W001,09N14W32N001S,NA,34.8194,-118.397,Unknown,Unknown,6-044,Antelope Valley,Kern,NA,Unknown,Unknown,NA
30182,348203N1182338W001,09N13W35P001S,NA,34.8203,-118.234,Unknown,Unknown,6-044,Antelope Valley,Kern,NA,Unknown,Unknown,NA
30180,348203N1182729W001,09N13W33N001S,NA,34.8203,-118.273,Unknown,Unknown,6-044,Antelope Valley,Kern,NA,Unknown,Unknown,NA
30178,348203N1182968W001,09N13W31Q001S,NA,34.8203,-118.297,Unknown,Unknown,6-044,Antelope Valley,Kern,NA,Unknown,Unknown,NA
12825,348205N1182165W001,09N13W36N002S,NA,34.8205,-118.217,Unknown,Unknown,6-044,Antelope Valley,Kern,NA,Unknown,Unknown,NA
30181,348205N1182465W001,09N13W34Q001S,344914118144101,34.8205,-118.247,Unknown,Unknown,6-044,Antelope Valley,Kern,600,Unknown,Single Well,NA
12270,348208N1183043W001,09N13W31P001S,NA,34.8208,-118.304,Unknown,Unknown,6-044,Antelope Valley,Kern,NA,Unknown,Unknown,NA
30177,348208N1183085W001,09N13W31N001S,NA,34.8208,-118.309,Unknown,Unknown,6-044,Antelope Valley,Kern,NA,Unknown,Unknown,NA
12993,348208N1183135W001,09N14W36R001S,NA,34.8208,-118.314,Unknown,Unknown,6-044,Antelope Valley,Kern,NA,Unknown,Unknown,NA
11539,348211N1181479W001,09N12W34N002S,NA,34.8211,-118.148,Unknown,Unknown,6-044,Antelope Valley,Kern,NA,Unknown,Unknown,NA
