STN_ID,SITE_CODE,SWN,WELL_NAME,LATITUDE,LONGITUDE,WLM_METHOD,WLM_ACC,BASIN_CODE,BASIN_NAME,COUNTY_NAME,WELL_DEPTH,WELL_USE,WELL_TYPE,WCR_NO
34411,357889N1200310W001,24S18E33Q001M,NA,35.7889,-120.031,Unknown,Unknown,5-022.17,Kettleman Plain,Kings,NA,Unknown,Unknown,NA
18697,357889N1200338W001,24S18E33P001M,NA,35.7889,-120.034,Unknown,Unknown,5-022.17,Kettleman Plain,Kings,NA,Unknown,Unknown,NA
34698,357892N1200282W001,24S18E33Q003M,NA,35.7892,-120.028,Unknown,Unknown,5-022.17,Kettleman Plain,Kings,NA,Unknown,Unknown,NA
18698,357892N1200307W001,24S18E33Q002M,NA,35.7892,-120.031,Unknown,Unknown,5-022.17,Kettleman Plain,Kings,NA,Unknown,Unknown,NA
34410,357894N1200399W001,24S18E33N001M,NA,35.7894,-120.04,Unknown,Unknown,5-022.17,Kettleman Plain,Kings,NA,Unknown,Unknown,NA
19381,357903N1195729W001,24S22E35N001M,NA,35.7903,-119.573,Unknown,Unknown,5-022.12,Tulare Lake,Kings,NA,Unknown,Unknown,NA
18830,357903N1199793W001,24S18E36P001M,NA,35.7903,-119.979,Unknown,Unknown,5-022.17,Kettleman Plain,Kings,NA,Unknown,Unknown,NA
55276,357906N1195913W001,NA,ZE 33-4,35.7906,-119.591,Unknown,Unknown,5-022.12,Tulare Lake,Kings,980,Irrigation,Part of a nested/multi-completion well,EO220559
35707,357914N1195402W001,24S22E36R001M,NA,35.7914,-119.54,Unknown,Unknown,5-022.12,Tulare Lake,Kings,NA,Unknown,Unknown,NA
19372,357936N1198521W001,24S20E31K001M,NA,35.7936,-119.852,Unknown,Unknown,5-022.12,Tulare Lake,Kings,NA,Unknown,Unknown,NA
34409,357936N1200402W001,24S18E33M002M,NA,35.7936,-120.04,Unknown,Unknown,5-022.17,Kettleman Plain,Kings,NA,Unknown,Unknown,NA
18695,357939N1200404W001,24S18E33M003M,NA,35.7939,-120.04,Unknown,Unknown,5-022.17,Kettleman Plain,Kings,NA,Unknown,Unknown,NA
18696,357956N1200404W001,24S18E33M004M,NA,35.7956,-120.04,Unknown,Unknown,5-022.17,Kettleman Plain,Kings,NA,Unknown,Unknown,NA
18829,357967N1199696W001,24S18E36J001M,NA,35.7967,-119.97,Unknown,Unknown,5-022.17,Kettleman Plain,Kings,NA,Unknown,Unknown,NA
35706,357978N1195732W001,24S22E35E001M,24S22E35E001M,35.7978,-119.573,Unknown,Unknown,5-022.12,Tulare Lake,Kings,NA,Unknown,Single Well,NA
19373,357978N1198079W001,24S20E34E002M,NA,35.7978,-119.808,Unknown,Unknown,5-022.12,Tulare Lake,Kings,NA,Unknown,Unknown,NA
39292,357986N1196810W001,24S21E35E001M,NA,35.7986,-119.681,Unknown,Unknown,5-022.12,Tulare Lake,Kings,NA,Unknown,Unknown,NA
19375,358019N1196535W001,24S21E36B001M,NA,35.8019,-119.654,Unknown,Unknown,5-022.12,Tulare Lake,Kings,NA,Unknown,Unknown,NA
34291,358019N1201027W001,24S17E35B002M,NA,35.8019,-120.103,Unknown,Unknown,5-022.17,Kettleman Plain,Kings,NA,Unknown,Unknown,NA
34296,358022N1199696W001,24S18E25J001M,NA,35.8022,-119.97,Unknown,Unknown,5-022.17,Kettleman Plain,Kings,NA,Unknown,Unknown,NA
23715,358022N1199696W002,24S18E25J002M,NA,35.8022,-119.97,Unknown,Unknown,5-022.17,Kettleman Plain,Kings,NA,Unknown,Unknown,NA
18679,358028N1201029W001,24S17E35B001M,NA,35.8028,-120.103,Unknown,Unknown,5-022.17,Kettleman Plain,Kings,NA,Unknown,Unknown,NA
34300,358033N1200557W001,24S18E32D001M,NA,35.8033,-120.056,Unknown,Unknown,5-022.17,Kettleman Plain,Kings,NA,Unknown,Unknown,NA
