STN_ID,SITE_CODE,SWN,WELL_NAME,LATITUDE,LONGITUDE,WLM_METHOD,WLM_ACC,BASIN_CODE,BASIN_NAME,COUNTY_NAME,WELL_DEPTH,WELL_USE,WELL_TYPE,WCR_NO
13811,387085N1226084W001,10N07W14P002M,10N-07W-14P2,38.7085,-122.608,Surveyed to a benchmark,Unknown,5-019,Collayomi Valley,Lake,NA,Residential,Single Well,NA
13669,387249N1225442W001,10N06W08K001M,10N-06W-08K1,38.7249,-122.544,Unknown,Unknown,5-019,Collayomi Valley,Lake,NA,Other,Unknown,NONE
33089,387369N1225629W001,10N06W06R001M,10N-06W-06R1,38.7369,-122.563,Unknown,Unknown,5-019,Collayomi Valley,Lake,NA,Stockwatering,Unknown,NONE
33382,387390N1226270W001,10N07W03M001M,10N-07W-03M1,38.739,-122.627,Unknown,Unknown,5-019,Collayomi Valley,Lake,NA,Residential,Unknown,NONE
13668,387392N1225678W001,10N06W06L001M,10N-06W-06L1,38.7392,-122.568,Unknown,Unknown,5-019,Collayomi Valley,Lake,NA,Stockwatering,Unknown,NONE
13808,387424N1226335W001,10N07W04H001M,NA,38.7424,-122.634,Unknown,Unknown,5-019,Collayomi Valley,Lake,NA,Residential,Unknown,NONE
13807,387431N1226221W001,10N07W03L004M,10N-07W-03L4,38.7431,-122.622,Unknown,Unknown,5-019,Collayomi Valley,Lake,NA,Irrigation,Unknown,NONE
13805,387468N1225789W001,10N07W01A001M,10N-07W-01A1,38.7468,-122.579,Surveyed to a benchmark,Unknown,5-019,Collayomi Valley,Lake,31,Stockwatering,Single Well,NA
13806,387504N1226176W001,10N07W03B002M,NA,38.7504,-122.618,Unknown,Unknown,5-019,Collayomi Valley,Lake,NA,Residential,Unknown,NA
48705,387507N1226152W001,10N07W03A002M,10N07W03A002M,38.7508,-122.615,USGS quad,5 ft.,5-019,Collayomi Valley,Lake,108,Other,Single Well,NA
12085,387613N1226309W001,11N07W33J002M,11N-07W-33J2,38.7613,-122.631,Unknown,Unknown,5-019,Collayomi Valley,Lake,NA,Residential,Unknown,NONE
