STN_ID,SITE_CODE,SWN,WELL_NAME,LATITUDE,LONGITUDE,WLM_METHOD,WLM_ACC,BASIN_CODE,BASIN_NAME,COUNTY_NAME,WELL_DEPTH,WELL_USE,WELL_TYPE,WCR_NO
20728,397303N1200406W001,22N17E26J001M,22N17E26J001M,39.7303,-120.041,Unknown,Unknown,6-104,Long Valley,Lassen,116,Residential,Single Well,NA
36152,397311N1200378W001,22N17E26H002M,22N17E26H002M,39.7307,-120.038,USGS quad,10 ft.,6-104,Long Valley,Lassen,150,Residential,Single Well,NA
20726,397323N1200324W001,22N17E25E001M,22N17E25E001M,39.7323,-120.032,USGS quad,10 ft.,6-104,Long Valley,Lassen,101,Stockwatering,Single Well,58651
20727,397336N1200396W001,22N17E26H001M,22N17E26H001M,39.7336,-120.04,Unknown,Unknown,6-104,Long Valley,Lassen,124,Stockwatering,Single Well,NA
36153,397377N1200568W001,22N17E27A001M,22N17E27A001M,39.7367,-120.057,USGS quad,10 ft.,6-104,Long Valley,Lassen,110,Residential,Single Well,NA
36151,397396N1200426W001,22N17E23Q001M,22N17E23Q001M,39.7396,-120.043,Unknown,Unknown,6-104,Long Valley,Lassen,156,Residential,Single Well,NA
36150,397534N1200674W001,22N17E15P002M,22N17E15P002M,39.7533,-120.067,USGS quad,10 ft.,6-104,Long Valley,Lassen,NA,Irrigation,Single Well,NA
20725,397607N1200867W001,22N17E16F001M,22N17E16F001M,39.7608,-120.087,USGS quad,10 ft.,6-104,Long Valley,Lassen,220,Residential,Single Well,17226
20724,397674N1200471W001,22N17E11P001M,22N17E11P001M,39.7674,-120.047,USGS quad,5 ft.,6-104,Long Valley,Lassen,NA,Other,Single Well,NA
20723,397758N1200429W001,22N17E11G001M,22N17E11G001M,39.7758,-120.043,Unknown,Unknown,6-104,Long Valley,Lassen,260,Residential,Single Well,NA
36149,397763N1200828W001,22N17E09G002M,22N17E09G002M,39.7763,-120.083,Digital Elevation Model,10 ft.,6-104,Long Valley,Lassen,NA,Unknown,Single Well,NA
20722,397782N1200883W001,22N17E09C001M,22N17E09C001M,39.7782,-120.088,USGS quad,10 ft.,NA,NA,Lassen,180,Residential,Single Well,NA
36148,397798N1200787W001,22N17E09B001M,22N17E09B001M,39.7798,-120.079,Unknown,Unknown,6-104,Long Valley,Lassen,150,Residential,Single Well,NA
20720,397882N1200823W001,22N17E04F001M,22N17E04F001M,39.7883,-120.083,USGS quad,5 ft.,6-104,Long Valley,Lassen,70,Residential,Single Well,NA
20721,397900N1200814W001,22N17E04G002M,22N17E04G002M,39.79,-120.081,USGS quad,5 ft.,6-104,Long Valley,Lassen,NA,Irrigation,Single Well,NA
37458,397951N1200783W001,23N17E33Q002M,23N17E33Q002M,39.7951,-120.078,Unknown,Unknown,6-104,Long Valley,Lassen,105,Residential,Single Well,117439
37456,398291N1200857W001,23N17E21M002M,23N17E21M002M,39.8291,-120.086,USGS quad,10 ft.,6-104,Long Valley,Lassen,150,Irrigation,Single Well,NA
22563,398312N1200919W001,23N17E20H001M,23N17E20H001M,39.8312,-120.092,USGS quad,10 ft.,6-104,Long Valley,Lassen,120,Stockwatering,Single Well,NA
39946,398366N1200912W001,23N17E20A001M,23N17E20A001M,39.8366,-120.091,USGS quad,10 ft.,NA,NA,Lassen,105,Residential,Single Well,201856
37455,398679N1200474W001,23N17E02N001M,23N17E02N001M,39.868,-120.047,USGS quad,10 ft.,6-104,Long Valley,Lassen,78,Industrial,Single Well,NA
18670,399286N1200197W001,24N17E13J001M,24N17E13J001M,39.9286,-120.02,Unknown,Unknown,6-104,Long Valley,Lassen,148,Observation,Part of a nested/multi-completion well,367239
34285,399286N1200197W002,24N17E13J002M,24N17E13J002M,39.9286,-120.02,Unknown,Unknown,6-104,Long Valley,Lassen,51,Observation,Part of a nested/multi-completion well,367239
18671,399291N1200193W001,24N17E13J003M,24N17E13J003M,39.9291,-120.019,Unknown,Unknown,6-104,Long Valley,Lassen,150,Observation,Single Well,367240
34286,399294N1200195W001,24N17E13J004M,24N17E13J004M,39.9294,-120.02,Unknown,Unknown,6-104,Long Valley,Lassen,50,Observation,Single Well,367241
19907,399746N1200754W001,25N17E33J001M,25N17E33J001M,39.9746,-120.075,Unknown,Unknown,6-004,Honey Lake Valley,Lassen,600,Irrigation,Single Well,42452
34477,399909N1200901W001,25N17E29H001M,25N17E29H001M,39.9909,-120.09,USGS quad,5 ft.,6-004,Honey Lake Valley,Lassen,80,Residential,Single Well,38926
19906,400009N1200892W001,25N17E21N001M,25N17E21N001M,40.0009,-120.089,USGS quad,5 ft.,6-004,Honey Lake Valley,Lassen,120,Residential,Single Well,NA
19905,400037N1200831W001,25N17E21L001M,25N17E21L001M,40.0036,-120.083,USGS quad,5 ft.,6-004,Honey Lake Valley,Lassen,NA,Irrigation,Single Well,NA
19904,400099N1200938W001,25N17E20B001M,25N17E20B001M,40.0101,-120.094,USGS quad,2.5 ft,6-004,Honey Lake Valley,Lassen,260,Irrigation,Single Well,NA
20176,400776N1200017W001,26N17E25G001M,26N17E25G001M,40.079,-120.001,USGS quad,2.5 ft,6-004,Honey Lake Valley,Lassen,25,Residential,Single Well,NA
20177,400785N1200010W001,26N17E25G002M,26N17E25G002M,40.0786,-120.001,USGS quad,2.5 ft,6-004,Honey Lake Valley,Lassen,80,Residential,Single Well,NA
35042,400787N1200018W001,26N17E25G003M,26N17E25G003M,40.0787,-120.002,USGS quad,2.5 ft,6-004,Honey Lake Valley,Lassen,86,Irrigation,Single Well,NA
35041,400922N1200106W001,26N17E24F001M,26N17E24F001M,40.0922,-120.011,Unknown,Unknown,6-004,Honey Lake Valley,Lassen,67,Unknown,Single Well,NA
35039,401010N1201783W001,26N16E16Q001M,26N16E16Q001M,40.101,-120.178,Unknown,Unknown,6-004,Honey Lake Valley,Lassen,650,Irrigation,Single Well,12678
20174,401075N1200140W001,26N17E13E001M,26N17E13E001M,40.1075,-120.014,USGS quad,10 ft.,6-004,Honey Lake Valley,Lassen,109,Observation,Part of a nested/multi-completion well,367242
20175,401075N1200140W002,26N17E13E002M,26N17E13E002M,40.1075,-120.014,USGS quad,10 ft.,6-004,Honey Lake Valley,Lassen,328,Observation,Part of a nested/multi-completion well,367242
20172,401223N1201950W001,26N16E08H001M,26N16E08H001M,40.1223,-120.195,Unknown,Unknown,6-004,Honey Lake Valley,Lassen,600,Irrigation,Single Well,10149
39937,401276N1200143W001,26N17E11A001M,26N17E11A001M,40.1276,-120.014,USGS quad,2.5 ft,6-004,Honey Lake Valley,Lassen,456,Observation,Single Well,330392
35040,401276N1200143W002,26N17E11A002M,26N17E11A002M,40.1276,-120.014,USGS quad,2.5 ft,6-004,Honey Lake Valley,Lassen,100,Observation,Single Well,330393
20170,401361N1202631W001,26N15E02M001M,26N15E02M001M,40.1361,-120.263,Unknown,Unknown,6-004,Honey Lake Valley,Lassen,480,Irrigation,Single Well,134126
20173,401412N1200073W001,26N17E01C001M,26N17E01C001M,40.1412,-120.007,USGS quad,5 ft.,6-004,Honey Lake Valley,Lassen,300,Irrigation,Single Well,OWNER
20171,401431N1201700W001,26N16E03D002M,26N16E03D002M,40.1431,-120.17,Unknown,Unknown,6-004,Honey Lake Valley,Lassen,80,Residential,Single Well,47410
35038,401439N1202222W001,26N16E06D001M,26N16E06D001M,40.1439,-120.222,Unknown,Unknown,6-004,Honey Lake Valley,Lassen,75,Residential,Single Well,47421
38295,401439N1202224W001,27N14E26E004M,27N14E26E004M,40.1709,-120.376,USGS quad,5 ft.,6-004,Honey Lake Valley,Lassen,150,Observation,Single Well,797665
22789,401555N1200189W001,27N17E35B001M,27N17E35B001M,40.1555,-120.019,USGS quad,2.5 ft,6-004,Honey Lake Valley,Lassen,94,Observation,Single Well,NA
22788,401622N1202221W001,27N16E30M001M,27N16E30M001M,40.1622,-120.222,Unknown,Unknown,6-004,Honey Lake Valley,Lassen,270,Irrigation,Single Well,NA
37202,401623N1203156W001,27N15E29P001M,27N15E29P001M,40.1621,-120.316,USGS quad,5 ft.,6-004,Honey Lake Valley,Lassen,600,Irrigation,Single Well,10143
24472,401708N1203760W001,27N14E26E003M,27N14E26E003M,40.1709,-120.376,USGS quad,5 ft.,6-004,Honey Lake Valley,Lassen,221,Observation,Single Well,797665
22787,401850N1201190W001,27N16E24G001M,HLV-CA Well #10 Bunkers South,40.185,-120.119,Unknown,Unknown,6-004,Honey Lake Valley,Lassen,735,Unknown,Single Well,NA
22384,401944N1203887W001,27N14E15P001M,27N14E15P001M,40.1944,-120.389,Unknown,Unknown,6-004,Honey Lake Valley,Lassen,NA,Irrigation,Single Well,NA
36448,402084N1201182W001,27N16E12K001M,HLV-CA Well #1 Bunkers NW of Igloo F-105,40.2084,-120.118,Unknown,Unknown,6-004,Honey Lake Valley,Lassen,NA,Unknown,Single Well,NA
36449,402181N1200078W001,27N17E01P001M,27N17E01P001M,40.2181,-120.008,USGS quad,2.5 ft,6-004,Honey Lake Valley,Lassen,109,Residential,Single Well,NA
37201,402316N1204400W001,27N14E06B001M,27N14E06B001M,40.2316,-120.44,USGS quad,5 ft.,6-004,Honey Lake Valley,Lassen,400,Irrigation,Single Well,NA
22383,402318N1204405W001,27N14E06B002M,27N14E06B002M,40.2318,-120.441,USGS quad,5 ft.,6-004,Honey Lake Valley,Lassen,NA,Irrigation,Single Well,NA
38363,402546N1204532W001,28N14E30M001M,28N14E30M001M,40.2546,-120.453,Unknown,Unknown,6-004,Honey Lake Valley,Lassen,620,Irrigation,Single Well,900938
37136,402552N1204560W001,28N13E25J001M,28N13E25J001M,40.2552,-120.456,Unknown,Unknown,6-004,Honey Lake Valley,Lassen,450,Irrigation,Single Well,NA
22326,402557N1200107W001,28N17E25C001M,28N17E25C001M,40.2557,-120.011,Unknown,Unknown,6-004,Honey Lake Valley,Lassen,380,Irrigation,Single Well,NA
39001,402629N1204589W001,28N13E25B001M,28N13E25B001M,40.2629,-120.459,Unknown,Unknown,6-004,Honey Lake Valley,Lassen,NA,Irrigation,Single Well,NA
