STN_ID,SITE_CODE,SWN,WELL_NAME,LATITUDE,LONGITUDE,WLM_METHOD,WLM_ACC,BASIN_CODE,BASIN_NAME,COUNTY_NAME,WELL_DEPTH,WELL_USE,WELL_TYPE,WCR_NO
38286,337461N1182149W001,05S13W11P001S,NA,33.7461,-118.215,Unknown,Unknown,4-011.03,West Coast,Los Angeles,NA,Unknown,Unknown,NA
24462,337461N1182149W002,05S13W11P002S,NA,33.7461,-118.215,Unknown,Unknown,4-011.03,West Coast,Los Angeles,NA,Unknown,Unknown,NA
10155,337686N1180957W001,05S12W01E001S,NA,33.7686,-118.096,Unknown,Unknown,4-011.04,Central,Los Angeles,NA,Unknown,Unknown,NA
30253,337686N1180960W001,05S12W01E002S,NA,33.7686,-118.096,Unknown,Unknown,4-011.04,Central,Los Angeles,NA,Unknown,Unknown,NA
24460,337709N1182205W001,05S13W02E001S,NA,33.7709,-118.221,Unknown,Unknown,4-011.03,West Coast,Los Angeles,NA,Unknown,Unknown,NA
24461,337709N1182205W002,05S13W02E002S,NA,33.7709,-118.221,Unknown,Unknown,4-011.03,West Coast,Los Angeles,NA,Unknown,Unknown,NA
5611,337805N1182517W001,04S13W33L001S,NA,33.7805,-118.252,Unknown,Unknown,4-011.03,West Coast,Los Angeles,NA,Unknown,Unknown,NA
27155,337805N1182517W002,04S13W33L002S,NA,33.7805,-118.252,Unknown,Unknown,4-011.03,West Coast,Los Angeles,NA,Unknown,Unknown,NA
27156,337818N1182394W001,04S13W34M001S,NA,33.7818,-118.239,Unknown,Unknown,4-011.03,West Coast,Los Angeles,NA,Unknown,Unknown,NA
5612,337819N1182394W001,04S13W34M003S,NA,33.7819,-118.239,Unknown,Unknown,4-011.03,West Coast,Los Angeles,NA,Unknown,Unknown,NA
29326,337822N1182755W001,04S13W31J001S,NA,33.7822,-118.276,Unknown,Unknown,4-011.03,West Coast,Los Angeles,NA,Unknown,Unknown,NA
46586,337823N1182677W001,04S13W32F002S,Wilmington2_2,33.7823,-118.268,Surveyed to a benchmark,2.5 ft,4-011.03,West Coast,Los Angeles,775,Observation,Part of a nested/multi-completion well,767072
46587,337823N1182677W002,04S13W32F005S,Wilmington2_5,33.7823,-118.268,Surveyed to a benchmark,2.5 ft,4-011.03,West Coast,Los Angeles,140,Observation,Part of a nested/multi-completion well,767075
5471,337823N1182686W001,04S13W32F001S,NA,33.7823,-118.269,Unknown,Unknown,4-011.03,West Coast,Los Angeles,NA,Unknown,Unknown,NA
29327,337823N1182686W003,04S13W32F003S,NA,33.7823,-118.269,Unknown,Unknown,4-011.03,West Coast,Los Angeles,NA,Unknown,Unknown,NA
