STN_ID,SITE_CODE,SWN,WELL_NAME,LATITUDE,LONGITUDE,WLM_METHOD,WLM_ACC,BASIN_CODE,BASIN_NAME,COUNTY_NAME,WELL_DEPTH,WELL_USE,WELL_TYPE,WCR_NO
15626,367646N1202924W001,13S15E25N001M,NA,36.7646,-120.292,Unknown,Unknown,5-022.07,Delta-Mendota,Madera,NA,Unknown,Unknown,NA
32435,367657N1202902W001,13S15E25P001M,NA,36.7657,-120.29,Unknown,Unknown,5-022.07,Delta-Mendota,Madera,NA,Unknown,Unknown,NA
32434,367702N1202910W001,13S15E25L001M,13S15E25L001M,36.7702,-120.291,Unknown,Unknown,5-022.07,Delta-Mendota,Madera,NA,Unknown,Single Well,NA
39892,367705N1203029W001,13S15E26K001M,13S15E26K001M,36.7705,-120.303,Unknown,Unknown,5-022.07,Delta-Mendota,Madera,NA,Unknown,Single Well,NA
15629,367718N1203002W001,13S15E26H001M,NA,36.7718,-120.3,Unknown,Unknown,5-022.07,Delta-Mendota,Madera,NA,Unknown,Unknown,NA
32436,367730N1203049W001,13S15E26G001M,13S15E26G001M,36.773,-120.305,Unknown,Unknown,5-022.07,Delta-Mendota,Madera,NA,Unknown,Single Well,NA
15625,367738N1202877W001,13S15E25F001M,13S15E25F001M,36.7738,-120.288,Unknown,Unknown,5-022.07,Delta-Mendota,Madera,NA,Unknown,Single Well,NA
15624,367752N1202802W001,13S15E25A002M,NA,36.7752,-120.28,Unknown,Unknown,5-022.07,Delta-Mendota,Madera,NA,Unknown,Unknown,NA
39071,367755N1202591W001,13S16E29D001M,NA,36.7755,-120.259,Unknown,Unknown,5-022.07,Delta-Mendota,Madera,NA,Unknown,Unknown,NA
14268,367755N1202599W001,13S16E30A001M,13S16E30A001M,36.7761,-120.259,Unknown,Unknown,5-022.07,Delta-Mendota,Madera,380,Irrigation,Single Well,119270
14269,367755N1202654W001,13S16E30B001M,13S16E30B001M,36.7755,-120.265,Unknown,Unknown,5-022.07,Delta-Mendota,Madera,NA,Unknown,Single Well,NA
14270,367755N1202654W002,13S16E30B002M,NA,36.7755,-120.265,Unknown,Unknown,5-022.07,Delta-Mendota,Madera,NA,Unknown,Unknown,NA
15628,367768N1203024W001,13S15E26B001M,13S15E26B001M,36.7768,-120.302,Unknown,Unknown,5-022.07,Delta-Mendota,Madera,NA,Unknown,Single Well,NA
15621,367807N1203377W001,13S15E21Q001M,NA,36.7807,-120.338,Unknown,Unknown,5-022.07,Delta-Mendota,Madera,NA,Unknown,Unknown,NA
15622,367810N1203071W001,13S15E23P001M,13S15E23P001M,36.781,-120.307,Unknown,Unknown,5-022.07,Delta-Mendota,Madera,NA,Unknown,Single Well,NA
32936,367813N1202410W001,13S16E20J001M,13S16E20J001M,36.7813,-120.241,Unknown,Unknown,5-022.07,Delta-Mendota,Madera,NA,Unknown,Single Well,NA
13582,367813N1202713W001,13S16E19P001M,13S16E19P001M,36.7813,-120.271,Unknown,Unknown,5-022.07,Delta-Mendota,Madera,NA,Unknown,Single Well,NA
13583,367816N1202424W001,13S16E20J002M,NA,36.7816,-120.242,Unknown,Unknown,5-022.07,Delta-Mendota,Madera,NA,Unknown,Unknown,NA
13578,367824N1202593W001,13S16E19J001M,13S16E19J001M,36.7824,-120.259,Unknown,Unknown,5-022.07,Delta-Mendota,Madera,NA,Unknown,Single Well,NA
13579,367824N1202593W002,13S16E19J002M,NA,36.7824,-120.259,Unknown,Unknown,5-022.07,Delta-Mendota,Madera,NA,Unknown,Unknown,NA
13580,367827N1202666W001,13S16E19K001M,13S16E19K,36.7827,-120.267,Unknown,Unknown,5-022.07,Delta-Mendota,Madera,368,Irrigation,Single Well,119275
13581,367827N1202666W002,13S16E19K002M,NA,36.7827,-120.267,Unknown,Unknown,5-022.07,Delta-Mendota,Madera,NA,Unknown,Unknown,NA
15619,367852N1203602W001,13S15E20L001M,NA,36.7852,-120.36,Unknown,Unknown,5-022.07,Delta-Mendota,Madera,NA,Unknown,Unknown,NA
33226,367855N1202004W001,13S16E23E001M,NA,36.7855,-120.2,Unknown,Unknown,5-022.07,Delta-Mendota,Madera,NA,Unknown,Unknown,NA
15616,367896N1203641W001,13S15E20D001M,NA,36.7896,-120.364,Unknown,Unknown,5-022.07,Delta-Mendota,Madera,NA,Unknown,Unknown,NA
13718,367899N1201882W001,13S16E23A001M,NA,36.7899,-120.188,Unknown,Unknown,5-022.07,Delta-Mendota,Madera,NA,Unknown,Unknown,NA
13719,367899N1201885W001,13S16E23A002M,NA,36.7899,-120.189,Unknown,Unknown,5-022.07,Delta-Mendota,Madera,NA,Unknown,Unknown,NA
13584,367905N1202257W001,13S16E21A001M,NA,36.7905,-120.226,Unknown,Unknown,5-022.07,Delta-Mendota,Madera,NA,Unknown,Unknown,NA
14249,367910N1201821W001,13S16E24C001M,NA,36.791,-120.182,Unknown,Unknown,5-022.07,Delta-Mendota,Madera,NA,Unknown,Unknown,NA
13586,367921N1202052W001,13S16E22A001M,NA,36.7921,-120.205,Unknown,Unknown,5-022.07,Delta-Mendota,Madera,NA,Unknown,Unknown,NA
13587,367927N1202132W001,13S16E22B001M,NA,36.7927,-120.213,Unknown,Unknown,5-022.07,Delta-Mendota,Madera,NA,Unknown,Unknown,NA
15623,367930N1202893W001,13S15E24C001M,NA,36.793,-120.289,Unknown,Unknown,5-022.07,Delta-Mendota,Madera,NA,Unknown,Unknown,NA
14908,367930N1204216W001,13S14E14N001M,NA,36.793,-120.422,Unknown,Unknown,5-022.07,Delta-Mendota,Madera,NA,Unknown,Unknown,NA
13574,367932N1202318W001,13S16E16Q001M,NA,36.7932,-120.232,Unknown,Unknown,5-022.07,Delta-Mendota,Madera,NA,Unknown,Unknown,NA
32431,367938N1203091W001,13S15E14P002M,NA,36.7938,-120.309,Unknown,Unknown,5-022.07,Delta-Mendota,Madera,NA,Unknown,Unknown,NA
15609,367943N1203096W001,13S15E14N001M,NA,36.7943,-120.31,Unknown,Unknown,5-022.07,Delta-Mendota,Madera,NA,Unknown,Unknown,NA
13573,367949N1202354W001,13S16E16P001M,NA,36.7949,-120.235,Unknown,Unknown,5-022.07,Delta-Mendota,Madera,NA,Unknown,Unknown,NA
39893,367971N1202385W001,13S16E16M002M,NA,36.7971,-120.239,Unknown,Unknown,5-022.07,Delta-Mendota,Madera,NA,Unknown,Unknown,NA
13572,367985N1202377W001,13S16E16M001M,NA,36.7985,-120.238,Unknown,Unknown,5-022.07,Delta-Mendota,Madera,NA,Unknown,Unknown,NA
15608,367985N1203102W001,13S15E14M001M,13S15E14M001M,36.7986,-120.309,Unknown,Unknown,5-022.07,Delta-Mendota,Madera,304,Irrigation,Single Well,NA
54212,367991N1201592W001,NA,MCW RMS-5,36.7991,-120.159,Digital Elevation Model,Unknown,5-022.06,Madera,Madera,30,Observation,Single Well,NA
13575,368002N1202596W001,13S16E18H001M,13S16E18H,36.8002,-120.26,Unknown,Unknown,5-022.07,Delta-Mendota,Madera,348,Irrigation,Single Well,NA
