STN_ID,SITE_CODE,SWN,WELL_NAME,LATITUDE,LONGITUDE,WLM_METHOD,WLM_ACC,BASIN_CODE,BASIN_NAME,COUNTY_NAME,WELL_DEPTH,WELL_USE,WELL_TYPE,WCR_NO
31442,388040N1235321W001,11N15W15E080M,NA,38.804,-123.532,Unknown,Unknown,NA,NA,Mendocino,NA,Unknown,Unknown,NA
10709,388519N1236368W001,11N16W03C080M,NA,38.8519,-123.637,Unknown,Unknown,NA,NA,Mendocino,NA,Unknown,Unknown,NA
13331,388592N1236187W001,12N16W34K080M,NA,38.8592,-123.619,Unknown,Unknown,NA,NA,Mendocino,NA,Unknown,Unknown,NA
38859,389022N1236759W001,12N16W18K001M,NA,38.9022,-123.676,Unknown,Unknown,NA,NA,Mendocino,NA,Unknown,Unknown,NA
13179,389252N1230569W001,12N11W02F001M,NA,38.9252,-123.057,Unknown,Unknown,NA,NA,Mendocino,72,Residential,Unknown,3357
31988,389536N1237385W001,13N17W34D001M,NA,38.9536,-123.739,Unknown,Unknown,1-061,Fort Ross Terrace Deposits,Mendocino,NA,Unknown,Unknown,NA
15401,389598N1236329W001,13N16W28J080M,NA,38.9598,-123.633,Unknown,Unknown,NA,NA,Mendocino,NA,Unknown,Unknown,NA
15404,389659N1236864W001,13N17W25H001M,NA,38.9659,-123.686,Unknown,Unknown,1-021,Fort Bragg Terrace Area,Mendocino,NA,Unknown,Unknown,NA
23985,389661N1231206W001,13N12W24R001M,SV-3,38.9661,-123.121,GPS,10 ft.,1-053,Sanel Valley,Mendocino,78,Observation,Single Well,791828
23983,389722N1231033W001,13N11W19H001M,SV-2A,38.9722,-123.103,GPS,10 ft.,1-053,Sanel Valley,Mendocino,44,Observation,Part of a nested/multi-completion well,791826
23984,389722N1231033W002,13N11W19H002M,SV-2B,38.9722,-123.103,GPS,10 ft.,1-053,Sanel Valley,Mendocino,67,Observation,Part of a nested/multi-completion well,791827
23982,389812N1230889W001,13N11W17Q001M,SV-1,38.9812,-123.089,GPS,10 ft.,1-053,Sanel Valley,Mendocino,109,Observation,Single Well,791825
31982,389882N1231186W001,13N11W18E001M,NA,38.9882,-123.119,Unknown,Unknown,1-053,Sanel Valley,Mendocino,52,Irrigation,Unknown,NA
52628,390031N1233640W001,13N14W11A010M,11A10,39.0031,-123.364,Other,Unknown,1-019,Anderson Valley,Mendocino,NA,Other,Single Well,NA
38670,390047N1233685W001,13N14W11B001M,AV-1A,39.0047,-123.369,Unknown,Unknown,1-019,Anderson Valley,Mendocino,48,Observation,Part of a nested/multi-completion well,791829
25765,390047N1233685W002,13N14W11B002M,AV-1B,39.0047,-123.369,GPS,10 ft.,1-019,Anderson Valley,Mendocino,168,Observation,Part of a nested/multi-completion well,791830
52627,390065N1233670W001,13N14W11A001M,11A1,39.0065,-123.367,Other,Unknown,1-019,Anderson Valley,Mendocino,NA,Other,Single Well,NA
25766,390106N1233775W001,13N14W02N001M,AV-2B,39.0106,-123.378,GPS,10 ft.,1-019,Anderson Valley,Mendocino,150,Observation,Part of a nested/multi-completion well,791832
38671,390106N1233775W002,13N14W02N002M,AV-2A,39.0106,-123.378,GPS,10 ft.,1-019,Anderson Valley,Mendocino,40,Observation,Part of a nested/multi-completion well,791831
25767,390254N1233823W001,14N14W34R005M,AV-3A,39.0254,-123.382,GPS,10 ft.,1-019,Anderson Valley,Mendocino,48,Observation,Part of a nested/multi-completion well,791833
38672,390254N1233823W002,14N14W34R006M,AV-3B,39.0254,-123.382,GPS,10 ft.,1-019,Anderson Valley,Mendocino,135,Observation,Part of a nested/multi-completion well,791834
25768,390254N1233823W003,14N14W34R007M,AV-3C,39.0254,-123.382,GPS,10 ft.,1-019,Anderson Valley,Mendocino,226,Observation,Part of a nested/multi-completion well,791835
14858,390282N1236615W001,14N16W32P080M,NA,39.0282,-123.662,Unknown,Unknown,NA,NA,Mendocino,NA,Unknown,Unknown,NA
33123,390388N1236843W001,14N16W31D080M,NA,39.0388,-123.684,Unknown,Unknown,1-021,Fort Bragg Terrace Area,Mendocino,NA,Unknown,Unknown,NA
32828,390466N1231507W001,14N12W26F002M,NA,39.0466,-123.151,Unknown,Unknown,1-052,Ukiah Valley,Mendocino,40,Residential,Unknown,59199
52626,390634N1234430W001,14N14W19B003M,19B3,39.0634,-123.443,Other,Unknown,1-019,Anderson Valley,Mendocino,NA,Other,Single Well,NA
52629,390645N1234420W001,14N14W19B002M,19B2,39.0645,-123.442,Other,Unknown,1-019,Anderson Valley,Mendocino,NA,Other,Single Well,NA
51455,390664N1231491W001,NA,Ukiah Valley-32,39.0664,-123.149,GPS with WAAS,10 ft.,1-052,Ukiah Valley,Mendocino,60,Residential,Single Well,17867
36047,391017N1232036W001,14N12W05K001M,NA,39.1017,-123.204,Unknown,Unknown,NA,NA,Mendocino,94,Residential,Unknown,37
