STN_ID,SITE_CODE,SWN,WELL_NAME,LATITUDE,LONGITUDE,WLM_METHOD,WLM_ACC,BASIN_CODE,BASIN_NAME,COUNTY_NAME,WELL_DEPTH,WELL_USE,WELL_TYPE,WCR_NO
8024,362686N1209946W001,08S09E05H001M,NA,36.2686,-120.995,Unknown,Unknown,NA,NA,Merced,NA,Unknown,Unknown,NA
14740,368660N1207279W001,12S11E23R001M,NA,36.866,-120.728,Unknown,Unknown,5-022.07,Delta-Mendota,Merced,NA,Unknown,Unknown,NA
39872,368682N1207821W001,12S11E20R001M,NA,36.8682,-120.782,Unknown,Unknown,5-022.07,Delta-Mendota,Merced,NA,Unknown,Unknown,NA
32846,368799N1207888W001,12S11E17Q002M,NA,36.8799,-120.789,Unknown,Unknown,5-022.07,Delta-Mendota,Merced,NA,Unknown,Unknown,NA
14734,368918N1207943W001,12S11E17C002M,NA,36.8918,-120.794,Unknown,Unknown,5-022.07,Delta-Mendota,Merced,NA,Unknown,Unknown,NA
39077,368927N1207927W001,12S11E17C001M,NA,36.8927,-120.793,Unknown,Unknown,5-022.07,Delta-Mendota,Merced,NA,Unknown,Unknown,NA
32835,368943N1207546W001,12S11E10Q001M,12S11E10Q001M,36.8943,-120.755,Unknown,Unknown,5-022.07,Delta-Mendota,Merced,NA,Unknown,Single Well,NA
14717,368943N1207813W001,12S11E09N001M,NA,36.8943,-120.781,Unknown,Unknown,5-022.07,Delta-Mendota,Merced,NA,Unknown,Unknown,NA
14726,368957N1207452W001,12S11E11N002M,NA,36.8957,-120.745,Unknown,Unknown,5-022.07,Delta-Mendota,Merced,NA,Unknown,Unknown,NA
32833,369032N1208068W001,12S11E07G001M,NA,36.9032,-120.807,Unknown,Unknown,5-022.07,Delta-Mendota,Merced,NA,Unknown,Unknown,NA
14716,369038N1208068W001,12S11E07G002M,NA,36.9038,-120.807,Unknown,Unknown,5-022.07,Delta-Mendota,Merced,NA,Unknown,Unknown,NA
32838,369046N1207279W001,12S11E11H001M,NA,36.9046,-120.728,Unknown,Unknown,5-022.07,Delta-Mendota,Merced,NA,Unknown,Unknown,NA
14722,369049N1207454W001,12S11E11E001M,NA,36.9049,-120.745,Unknown,Unknown,5-022.07,Delta-Mendota,Merced,NA,Unknown,Unknown,NA
48548,369057N1207373W001,12S11E11C001M,MP92.72L,36.9057,-120.737,GPS,0.1 ft.,5-022.07,Delta-Mendota,Merced,700,Irrigation,Single Well,574341
48547,369057N1207470W001,NA,MP92.20R,36.9057,-120.747,GPS,10 ft.,5-022.07,Delta-Mendota,Merced,NA,Irrigation,Single Well,NA
48549,369062N1207287W001,NA,MP93.20L,36.9062,-120.729,GPS,10 ft.,5-022.07,Delta-Mendota,Merced,NA,Irrigation,Single Well,NA
48551,369064N1207276W001,NA,MP93.27L,36.9064,-120.728,GPS,10 ft.,5-022.07,Delta-Mendota,Merced,NA,Irrigation,Single Well,NA
14719,369066N1207288W001,12S11E11A001M,NA,36.9066,-120.729,Unknown,Unknown,5-022.07,Delta-Mendota,Merced,NA,Unknown,Unknown,NA
48546,369072N1207480W001,12S11E10A002M,MP92.14L,36.9072,-120.748,GPS,10 ft.,5-022.07,Delta-Mendota,Merced,NA,Irrigation,Single Well,NA
48545,369072N1207508W001,NA,MP92.00R,36.9072,-120.751,GPS,10 ft.,5-022.07,Delta-Mendota,Merced,NA,Irrigation,Single Well,NA
32836,369074N1207457W001,12S11E11D001M,NA,36.9074,-120.746,Unknown,Unknown,5-022.07,Delta-Mendota,Merced,NA,Unknown,Unknown,NA
14727,369085N1207268W001,12S11E12D002M,NA,36.9085,-120.727,Unknown,Unknown,5-022.07,Delta-Mendota,Merced,NA,Unknown,Unknown,NA
32004,369091N1207091W001,12S12E06N001M,NA,36.9091,-120.709,Unknown,Unknown,5-022.07,Delta-Mendota,Merced,NA,Unknown,Unknown,NA
48543,369091N1207539W001,12S11E03Q002M,MP91.77R,36.9091,-120.754,GPS,10 ft.,5-022.07,Delta-Mendota,Merced,NA,Irrigation,Single Well,NA
48544,369094N1207520W001,12S11E03Q003M,MP91.80L,36.9094,-120.752,GPS,0.1 ft.,5-022.07,Delta-Mendota,Merced,600,Irrigation,Single Well,568614
48542,369097N1207554W001,12S11E03Q001M,MP091.68R,36.9097,-120.755,GPS,0.1 ft.,5-022.07,Delta-Mendota,Merced,615,Irrigation,Single Well,410803
48541,369112N1207584W001,12S11E03P001M,MP91.57R,36.9112,-120.758,GPS,2.5 ft,5-022.07,Delta-Mendota,Merced,700,Irrigation,Single Well,415086
14585,369138N1207457W001,12S11E02M001M,NA,36.9138,-120.746,Unknown,Unknown,5-022.07,Delta-Mendota,Merced,NA,Unknown,Unknown,NA
48540,369138N1207584W001,12S11E03L001M,MP91.36L,36.9138,-120.758,GPS,10 ft.,5-022.07,Delta-Mendota,Merced,NA,Irrigation,Single Well,NA
32553,369143N1207291W001,12S11E02H001M,NA,36.9143,-120.729,Unknown,Unknown,5-022.07,Delta-Mendota,Merced,NA,Unknown,Unknown,NA
14715,369143N1208166W001,12S11E06N002M,NA,36.9143,-120.817,Unknown,Unknown,5-022.07,Delta-Mendota,Merced,NA,Unknown,Unknown,NA
48539,369165N1207603W001,12S11E03E002M,MP91.15L,36.9165,-120.76,GPS,10 ft.,5-022.07,Delta-Mendota,Merced,NA,Irrigation,Single Well,NA
48538,369185N1207641W001,12S11E03E001M,MP90.91L,36.9185,-120.764,GPS,10 ft.,5-022.07,Delta-Mendota,Merced,NA,Irrigation,Single Well,NA
14583,369188N1208252W001,12S10E01G003M,NA,36.9188,-120.825,Unknown,Unknown,5-022.07,Delta-Mendota,Merced,NA,Unknown,Unknown,NA
48537,369190N1207700W001,12S11E04G001M,MP90.61R,36.919,-120.77,GPS,10 ft.,5-022.07,Delta-Mendota,Merced,NA,Irrigation,Single Well,NA
32552,369202N1208263W001,12S10E01G001M,NA,36.9202,-120.826,Unknown,Unknown,5-022.07,Delta-Mendota,Merced,NA,Unknown,Unknown,NA
48536,369203N1207690W001,12S11E04H001M,MP90.60L,36.9203,-120.769,GPS,10 ft.,5-022.07,Delta-Mendota,Merced,NA,Irrigation,Single Well,NA
48535,369211N1207726W001,12S11E04B001M,MP90.39R,36.9211,-120.773,GPS,10 ft.,5-022.07,Delta-Mendota,Merced,NA,Irrigation,Single Well,NA
48532,369226N1207760W001,12S11E04C001M,MP90.18R,36.9226,-120.776,GPS,10 ft.,5-022.07,Delta-Mendota,Merced,NA,Irrigation,Single Well,NA
50860,369241N1207907W001,12S11E05B001M,12S11E05B001M,36.9241,-120.791,Unknown,Unknown,5-022.07,Delta-Mendota,Merced,NA,Irrigation,Single Well,25353
32969,369243N1207104W001,11S12E31N001M,NA,36.9243,-120.71,Unknown,Unknown,5-022.07,Delta-Mendota,Merced,NA,Unknown,Unknown,NA
14771,369243N1207104W002,11S12E31N002M,NA,36.9243,-120.71,Unknown,Unknown,5-022.07,Delta-Mendota,Merced,NA,Unknown,Unknown,NA
32970,369243N1207104W003,11S12E31N003M,NA,36.9243,-120.71,Unknown,Unknown,5-022.07,Delta-Mendota,Merced,NA,Unknown,Unknown,NA
32675,369249N1207293W001,11S11E35R001M,NA,36.9249,-120.729,Unknown,Unknown,5-022.07,Delta-Mendota,Merced,NA,Unknown,Unknown,NA
