STN_ID,SITE_CODE,SWN,WELL_NAME,LATITUDE,LONGITUDE,WLM_METHOD,WLM_ACC,BASIN_CODE,BASIN_NAME,COUNTY_NAME,WELL_DEPTH,WELL_USE,WELL_TYPE,WCR_NO
22107,411907N1209447W001,39N09E28F001M,39N09E28F001M,41.1907,-120.945,Other,Unknown,5-004,Big Valley,Modoc,73,Residential,Single Well,NA
22102,411911N1211354W001,39N07E26E001M,39N07E26E001M,41.1911,-121.135,USGS quad,5 ft.,5-004,Big Valley,Modoc,400,Irrigation,Single Well,127484
51537,411938N1210478W001,39N08E28A001M,ACWA-3,41.1938,-121.048,USGS quad,5 ft.,5-004,Big Valley,Modoc,720,Irrigation,Single Well,0951365
22101,412074N1211497W001,39N07E22G001M,39N07E22G001M,41.2074,-121.15,USGS quad,5 ft.,NA,NA,Modoc,260,Residential,Single Well,5322
22103,412086N1210574W001,39N08E21C001M,39N08E21C001M,41.2084,-121.058,USGS quad,5 ft.,5-004,Big Valley,Modoc,300,Irrigation,Single Well,127008
36754,412144N1211013W001,39N08E18N002M,39N08E18N002M,41.2144,-121.101,USGS quad,5 ft.,5-004,Big Valley,Modoc,250,Residential,Single Well,127457
36756,412162N1209321W001,39N09E15M003M,39N09E15M003M,41.2164,-120.932,USGS quad,5 ft.,5-036,Round Valley,Modoc,250,Irrigation,Single Well,NA
22106,412267N1209256W001,39N09E10P001M,NA,41.2267,-120.926,Unknown,Unknown,5-036,Round Valley,Modoc,15,Stockwatering,Unknown,NA
22105,412335N1209190W001,39N09E10K001M,NA,41.2335,-120.919,Unknown,Unknown,5-036,Round Valley,Modoc,138,Residential,Unknown,NA
22104,412440N1209070W001,39N09E02P002M,NA,41.244,-120.907,Unknown,Unknown,5-036,Round Valley,Modoc,15,Stockwatering,Unknown,NA
36755,412441N1209068W001,39N09E02P003M,39N09E02P003M,41.2441,-120.907,USGS quad,5 ft.,5-036,Round Valley,Modoc,125,Residential,Single Well,127452
36673,412539N1211050W001,39N07E01A001M,39N07E01A001M,41.2539,-121.105,USGS quad,5 ft.,5-004,Big Valley,Modoc,300,Stockwatering,Single Well,14565
22116,412845N1200934W001,40N17E31P001M,40N17E31P001M,41.2845,-120.093,Unknown,Unknown,6-001,Surprise Valley,Modoc,240,Irrigation,Single Well,49
36759,412846N1201003W001,40N16E36R002M,NA,41.2846,-120.1,Unknown,Unknown,6-001,Surprise Valley,Modoc,NA,Irrigation,Unknown,YES
22115,412872N1200982W001,40N17E31M001M,NA,41.2872,-120.098,Unknown,Unknown,6-001,Surprise Valley,Modoc,293,Irrigation,Unknown,19
22111,412891N1201048W001,40N16E36G002M,40N16E36G002M,41.2892,-120.105,USGS quad,5 ft.,6-001,Surprise Valley,Modoc,400,Irrigation,Single Well,41518
22113,412897N1200984W001,40N17E31E002M,NA,41.2897,-120.098,Unknown,Unknown,6-001,Surprise Valley,Modoc,276,Irrigation,Unknown,48
22114,412913N1200930W001,40N17E31F001M,NA,41.2913,-120.093,Unknown,Unknown,6-001,Surprise Valley,Modoc,110,Irrigation,Unknown,YES
22110,412921N1201054W001,40N16E36G001M,NA,41.2921,-120.105,Unknown,Unknown,6-001,Surprise Valley,Modoc,145,Irrigation,Unknown,14
36758,412964N1201111W001,40N16E25P001M,40N16E25P001M,41.2964,-120.111,USGS quad,5 ft.,6-001,Surprise Valley,Modoc,456,Irrigation,Single Well,64121
22112,413147N1200974W001,40N17E19M002M,40N17E19M002M,41.3147,-120.097,Unknown,Unknown,6-001,Surprise Valley,Modoc,320,Irrigation,Single Well,14567
22109,413221N1201219W001,40N16E23B001M,40N16E23B001M,41.3221,-120.122,USGS quad,5 ft.,6-001,Surprise Valley,Modoc,724,Irrigation,Single Well,5331
22108,413329N1201057W001,40N16E13G001M,40N16E13G001M,41.3329,-120.106,USGS quad,5 ft.,6-001,Surprise Valley,Modoc,290,Irrigation,Single Well,NA
37534,413788N1201126W001,41N16E35F001M,NA,41.3788,-120.113,Unknown,Unknown,6-001,Surprise Valley,Modoc,60,Residential,Unknown,NA
22598,413822N1201241W001,41N16E35D002M,41N16E35D002M,41.3822,-120.124,Other,Unknown,6-001,Surprise Valley,Modoc,156,Irrigation,Single Well,52427
22599,413853N1201185W001,41N16E35D003M,35D003M,41.3853,-120.119,Unknown,Unknown,6-001,Surprise Valley,Modoc,NA,Irrigation,Single Well,NA
22595,413888N1205736W001,41N12E15Q001M,41N12E15Q001M,41.3888,-120.574,USGS quad,5 ft.,5-002.01,South Fork Pitt River,Modoc,300,Irrigation,Single Well,41590
