STN_ID,SITE_CODE,SWN,WELL_NAME,LATITUDE,LONGITUDE,WLM_METHOD,WLM_ACC,BASIN_CODE,BASIN_NAME,COUNTY_NAME,WELL_DEPTH,WELL_USE,WELL_TYPE,WCR_NO
48384,373714N1185236W001,NA,LV6,37.7387,-118.892,GPS,2.5 ft,6-011,Long Valley,Mono,25,Observation,Single Well,NA
48383,374417N1185312W001,NA,LV5,37.6201,-118.881,GPS,2.5 ft,6-011,Long Valley,Mono,146,Observation,Single Well,NA
48382,374443N1185349W001,NA,LV4,37.6176,-118.882,GPS,2.5 ft,6-011,Long Valley,Mono,146,Observation,Single Well,NA
48392,375070N1186380W001,NA,OV2,37.507,-118.638,USGS quad,Unknown,6-012.01,Owens Valley,Mono,48,Observation,Single Well,NA
48391,375080N1186380W001,NA,OV1,37.508,-118.638,USGS quad,Unknown,6-012.01,Owens Valley,Mono,157,Observation,Single Well,NA
47959,375314N1183579W001,NA,C1,37.5314,-118.358,GPS,10 ft.,6-012.01,Owens Valley,Mono,102,Observation,Single Well,NA
48379,375690N1187510W001,NA,LV1,37.569,-118.751,USGS quad,Unknown,6-011,Long Valley,Mono,NA,Irrigation,Single Well,NA
4734,376131N1190226W001,04S27E08L001M,NA,37.6131,-119.023,Unknown,Unknown,NA,NA,Mono,NA,Unknown,Unknown,NA
4744,376148N1188336W001,04S28E12K001M,NA,37.6148,-118.834,Unknown,Unknown,6-011,Long Valley,Mono,NA,Unknown,Unknown,NA
27833,376173N1188772W001,04S28E10F001M,NA,37.6173,-118.877,Unknown,Unknown,6-011,Long Valley,Mono,NA,Unknown,Unknown,NA
4743,376176N1188822W001,04S28E10E001M,NA,37.6176,-118.882,Unknown,Unknown,6-011,Long Valley,Mono,NA,Unknown,Unknown,NA
27716,376179N1189842W001,04S27E10F001M,NA,37.6179,-118.984,Unknown,Unknown,NA,NA,Mono,NA,Unknown,Unknown,NA
4736,376182N1189850W001,04S27E10F002M,NA,37.6182,-118.985,Unknown,Unknown,NA,NA,Mono,NA,Unknown,Unknown,NA
27837,376184N1188234W001,04S29E07E001M,NA,37.6184,-118.823,Unknown,Unknown,6-011,Long Valley,Mono,NA,Unknown,Unknown,NA
4742,376190N1188792W001,04S28E10D001M,NA,37.619,-118.879,Unknown,Unknown,6-011,Long Valley,Mono,NA,Unknown,Unknown,NA
27832,376196N1188811W001,04S28E10D002M,NA,37.6196,-118.881,Unknown,Unknown,6-011,Long Valley,Mono,NA,Unknown,Unknown,NA
4735,376204N1189839W001,04S27E10C001M,NA,37.6204,-118.984,Unknown,Unknown,NA,NA,Mono,NA,Unknown,Unknown,NA
27715,376218N1189834W001,04S27E10B001M,NA,37.6218,-118.983,Unknown,Unknown,NA,NA,Mono,NA,Unknown,Unknown,NA
4733,376223N1189795W001,04S27E03Q002M,NA,37.6223,-118.98,Unknown,Unknown,NA,NA,Mono,NA,Unknown,Unknown,NA
27719,376246N1188931W001,04S28E04P001M,NA,37.6246,-118.893,Unknown,Unknown,6-011,Long Valley,Mono,NA,Unknown,Unknown,NA
4740,376246N1188931W002,04S28E04P002M,NA,37.6246,-118.893,Unknown,Unknown,6-011,Long Valley,Mono,NA,Unknown,Unknown,NA
4749,376254N1188186W001,04S29E06P001M,NA,37.6254,-118.819,Unknown,Unknown,6-011,Long Valley,Mono,NA,Unknown,Unknown,NA
4737,376268N1188400W001,04S28E01L001M,NA,37.6268,-118.84,Unknown,Unknown,6-011,Long Valley,Mono,NA,Unknown,Unknown,NA
4732,376273N1189745W001,04S27E03J003M,NA,37.6273,-118.975,Unknown,Unknown,NA,NA,Mono,NA,Unknown,Unknown,NA
27713,376279N1189756W001,04S27E03J001M,NA,37.6279,-118.976,Unknown,Unknown,NA,NA,Mono,NA,Unknown,Unknown,NA
4738,376282N1188678W001,04S28E03J001M,NA,37.6282,-118.868,Unknown,Unknown,6-011,Long Valley,Mono,NA,Unknown,Unknown,NA
27718,376282N1188678W002,04S28E03J002M,NA,37.6282,-118.868,Unknown,Unknown,6-011,Long Valley,Mono,NA,Unknown,Unknown,NA
4739,376282N1188678W003,04S28E03J003M,NA,37.6282,-118.868,Unknown,Unknown,6-011,Long Valley,Mono,NA,Unknown,Unknown,NA
4746,376287N1187753W001,04S29E04J002M,NA,37.6287,-118.775,Unknown,Unknown,6-011,Long Valley,Mono,NA,Unknown,Unknown,NA
27831,376290N1189297W001,04S28E06L001M,NA,37.629,-118.93,Unknown,Unknown,NA,NA,Mono,NA,Unknown,Unknown,NA
4741,376290N1189297W002,04S28E06L002M,NA,37.629,-118.93,Unknown,Unknown,NA,NA,Mono,NA,Unknown,Unknown,NA
27717,376315N1188400W001,04S28E01F001M,NA,37.6315,-118.84,Unknown,Unknown,6-011,Long Valley,Mono,NA,Unknown,Unknown,NA
4731,376323N1189903W001,04S27E03E001M,NA,37.6323,-118.99,Unknown,Unknown,NA,NA,Mono,NA,Unknown,Unknown,NA
27835,376329N1187967W001,04S29E05B001M,NA,37.6329,-118.797,Unknown,Unknown,6-011,Long Valley,Mono,NA,Unknown,Unknown,NA
4747,376329N1187967W002,04S29E05B002M,NA,37.6329,-118.797,Unknown,Unknown,6-011,Long Valley,Mono,NA,Unknown,Unknown,NA
27836,376329N1187967W003,04S29E05B003M,NA,37.6329,-118.797,Unknown,Unknown,6-011,Long Valley,Mono,NA,Unknown,Unknown,NA
4748,376329N1187967W004,04S29E05B005M,NA,37.6329,-118.797,Unknown,Unknown,6-011,Long Valley,Mono,NA,Unknown,Unknown,NA
4730,376340N1189850W001,04S27E03C001M,NA,37.634,-118.985,Unknown,Unknown,NA,NA,Mono,NA,Unknown,Unknown,NA
4745,376365N1187606W001,04S29E03B001M,NA,37.6365,-118.761,Unknown,Unknown,6-011,Long Valley,Mono,NA,Unknown,Unknown,NA
27834,376365N1187672W001,04S29E03C001M,NA,37.6365,-118.767,Unknown,Unknown,6-011,Long Valley,Mono,NA,Unknown,Unknown,NA
26382,376371N1188122W001,03S29E31R001M,NA,37.6371,-118.812,Unknown,Unknown,6-011,Long Valley,Mono,NA,Unknown,Unknown,NA
2144,376373N1189784W001,03S27E34R001M,NA,37.6373,-118.978,Unknown,Unknown,NA,NA,Mono,NA,Unknown,Unknown,NA
2698,376376N1188795W001,03S28E34N001M,NA,37.6376,-118.88,Unknown,Unknown,6-011,Long Valley,Mono,NA,Unknown,Unknown,NA
2699,376382N1188645W001,03S28E34R002M,NA,37.6382,-118.865,Unknown,Unknown,6-011,Long Valley,Mono,NA,Unknown,Unknown,NA
2700,376382N1188659W001,03S28E34R003M,NA,37.6382,-118.866,Unknown,Unknown,6-011,Long Valley,Mono,NA,Unknown,Unknown,NA
2694,376382N1188942W001,03S28E33P001M,NA,37.6382,-118.894,Unknown,Unknown,6-011,Long Valley,Mono,NA,Unknown,Unknown,NA
2695,376382N1188942W002,03S28E33P004M,NA,37.6382,-118.894,Unknown,Unknown,6-011,Long Valley,Mono,NA,Unknown,Unknown,NA
26383,376409N1187270W001,03S29E36K001M,NA,37.6409,-118.727,Unknown,Unknown,6-011,Long Valley,Mono,NA,Unknown,Unknown,NA
2845,376426N1187800W001,03S29E33K001M,NA,37.6426,-118.78,Unknown,Unknown,6-011,Long Valley,Mono,NA,Unknown,Unknown,NA
26197,376446N1188600W001,03S28E35F002M,NA,37.6446,-118.86,Unknown,Unknown,6-011,Long Valley,Mono,NA,Unknown,Unknown,NA
2703,376446N1188600W002,03S28E35F003M,NA,37.6446,-118.86,Unknown,Unknown,6-011,Long Valley,Mono,NA,Unknown,Unknown,NA
26586,376460N1190439W001,03S27E31E001M,NA,37.646,-119.044,Unknown,Unknown,NA,NA,Mono,NA,Unknown,Unknown,NA
2691,376462N1189181W001,03S28E32E007M,NA,37.6462,-118.918,Unknown,Unknown,NA,NA,Mono,NA,Unknown,Unknown,NA
2692,376462N1189181W002,03S28E32E008M,NA,37.6462,-118.918,Unknown,Unknown,NA,NA,Mono,NA,Unknown,Unknown,NA
2702,376468N1188603W001,03S28E35F001M,NA,37.6468,-118.86,Unknown,Unknown,6-011,Long Valley,Mono,NA,Unknown,Unknown,NA
2693,376468N1189128W001,03S28E32F003M,NA,37.6468,-118.913,Unknown,Unknown,NA,NA,Mono,NA,Unknown,Unknown,NA
2701,376471N1188620W001,03S28E35E002M,NA,37.6471,-118.862,Unknown,Unknown,6-011,Long Valley,Mono,NA,Unknown,Unknown,NA
2697,376515N1188750W001,03S28E34C001M,NA,37.6515,-118.875,Unknown,Unknown,6-011,Long Valley,Mono,NA,Unknown,Unknown,NA
2147,376518N1188459W001,03S28E25N001M,NA,37.6518,-118.846,Unknown,Unknown,6-011,Long Valley,Mono,NA,Unknown,Unknown,NA
26589,376535N1189225W001,03S28E30R001M,NA,37.6535,-118.922,Unknown,Unknown,NA,NA,Mono,NA,Unknown,Unknown,NA
26241,376537N1187914W001,03S29E29R001M,NA,37.6537,-118.791,Unknown,Unknown,6-011,Long Valley,Mono,NA,Unknown,Unknown,NA
2690,376546N1189225W001,03S28E30R002M,NA,37.6546,-118.922,Unknown,Unknown,NA,NA,Mono,NA,Unknown,Unknown,NA
2712,376548N1188072W001,03S29E29N001M,NA,37.6548,-118.807,Unknown,Unknown,6-011,Long Valley,Mono,NA,Unknown,Unknown,NA
26585,376557N1190225W001,03S27E29L002M,NA,37.6557,-119.023,Unknown,Unknown,NA,NA,Mono,NA,Unknown,Unknown,NA
2141,376565N1189559W001,03S27E25M001M,NA,37.6565,-118.956,Unknown,Unknown,NA,NA,Mono,NA,Unknown,Unknown,NA
2709,376579N1187670W001,03S29E27L001M,NA,37.6579,-118.767,Unknown,Unknown,6-011,Long Valley,Mono,NA,Unknown,Unknown,NA
2710,376579N1187670W002,03S29E27L004M,NA,37.6579,-118.767,Unknown,Unknown,6-011,Long Valley,Mono,NA,Unknown,Unknown,NA
