STN_ID,SITE_CODE,SWN,WELL_NAME,LATITUDE,LONGITUDE,WLM_METHOD,WLM_ACC,BASIN_CODE,BASIN_NAME,COUNTY_NAME,WELL_DEPTH,WELL_USE,WELL_TYPE,WCR_NO
51445,320000N1140000W001,NA,Bay Ridge,35.5604,-121.755,USGS quad,Unknown,NA,NA,Monterey,NA,Residential,Part of a nested/multi-completion well,NA
50258,359362N1208661W001,23S10E14D001M,SArdoS19450,35.9362,-120.866,USGS quad,5 ft.,3-004.05,Upper Valley Aquifer,Monterey,142,Observation,Single Well,490986
50626,359593N1208715W001,23S10E03H001M,SArdoN19447,35.9593,-120.872,Digital Elevation Model,5 ft.,3-004.05,Upper Valley Aquifer,Monterey,142,Observation,Single Well,490983
50623,361903N1210713W001,20S08E14K001M,1735,36.1903,-121.071,USGS quad,5 ft.,3-004.05,Upper Valley Aquifer,Monterey,236,Irrigation,Single Well,43828
50622,362614N1211432W001,19S08E19K003M,1379,36.2614,-121.143,USGS quad,5 ft.,3-004.05,Upper Valley Aquifer,Monterey,212,Irrigation,Single Well,114600
50282,363258N1212864W001,18S06E35F002M,THNA21068,36.3258,-121.286,USGS quad,5 ft.,3-004.04,Forebay Aquifer,Monterey,120,Observation,Single Well,490995
50283,363259N1212863W001,18S06E35F001M,THNB18502,36.3259,-121.286,USGS quad,5 ft.,3-004.04,Forebay Aquifer,Monterey,258,Observation,Single Well,490995
50621,363359N1212745W001,18S06E25F001M,1495,36.3359,-121.274,USGS quad,5 ft.,3-004.04,Forebay Aquifer,Monterey,120,Irrigation,Single Well,NA
50278,363485N1212755W001,18S06E24M001M,HUDB18467,36.3485,-121.276,USGS quad,5 ft.,3-004.04,Forebay Aquifer,Monterey,253,Observation,Single Well,490994
50277,363485N1212756W001,18S06E24M002M,HUDA21067,36.3485,-121.276,USGS quad,5 ft.,3-004.04,Forebay Aquifer,Monterey,130,Observation,Single Well,490994
50279,363562N1213033W001,18S06E22B004M,LosCochesA21314,36.3562,-121.303,USGS quad,5 ft.,3-004.04,Forebay Aquifer,Monterey,95,Observation,Single Well,490996
50280,363562N1213033W002,18S06E22B003M,LosCochesB21066,36.3562,-121.303,USGS quad,5 ft.,3-004.04,Forebay Aquifer,Monterey,280,Observation,Single Well,490996
50281,363562N1213033W003,18S06E22B002M,LosCochesC18449,36.3562,-121.303,USGS quad,5 ft.,3-004.04,Forebay Aquifer,Monterey,590,Observation,Single Well,490996
50285,364047N1213162W001,17S06E33R002M,VidaShallow21210,36.4047,-121.316,USGS quad,5 ft.,3-004.04,Forebay Aquifer,Monterey,120,Observation,Single Well,491019
50284,364048N1213162W001,17S06E33R001M,VidaDeep21209,36.4048,-121.316,USGS quad,5 ft.,3-004.04,Forebay Aquifer,Monterey,260,Observation,Single Well,491019
50620,364424N1213682W001,17S06E19D001M,1485,36.4424,-121.368,USGS quad,5 ft.,3-004.04,Forebay Aquifer,Monterey,170,Irrigation,Single Well,NA
46627,364735N1217328W001,NA,De Los Helechos,36.4735,-121.733,Surveyed to a benchmark,10 ft.,3-007,Carmel Valley,Monterey,28,Observation,Single Well,137402
46626,364792N1217397W001,NA,Little League #1,36.4792,-121.74,Surveyed to a benchmark,0.1 ft.,3-007,Carmel Valley,Monterey,50,Observation,Single Well,192663
50257,364883N1214684W001,17S05E06C002M,GZWA21202,36.4883,-121.468,USGS quad,5 ft.,3-004.01,180/400 Foot Aquifer,Monterey,115,Observation,Single Well,491020
50276,364883N1214684W002,17S05E06C001M,GZWB21201,36.4883,-121.468,USGS quad,5 ft.,3-004.01,180/400 Foot Aquifer,Monterey,300,Observation,Single Well,491020
46625,364921N1217493W001,NA,Boronda,36.4921,-121.749,Surveyed to a benchmark,0.1 ft.,3-007,Carmel Valley,Monterey,32,Observation,Single Well,137408
50618,365122N1214080W001,16S05E27G001M,2519,36.5122,-121.408,USGS quad,5 ft.,3-004.02,East Side Aquifer,Monterey,1122,Irrigation,Single Well,50822
50619,365167N1214328W001,16S05E28D001M,871,36.5167,-121.433,USGS quad,5 ft.,3-004.02,East Side Aquifer,Monterey,832,Irrigation,Single Well,NA
46624,365225N1218113W001,NA,Center Street,36.5225,-121.811,Surveyed to a benchmark,0.1 ft.,3-007,Carmel Valley,Monterey,57,Observation,Single Well,137407
46623,365244N1218276W001,NA,Reimers #1,36.5244,-121.828,Surveyed to a benchmark,0.1 ft.,3-007,Carmel Valley,Monterey,122,Observation,Single Well,290003
46620,365273N1218469W001,NA,Williams South,36.5273,-121.847,Surveyed to a benchmark,0.1 ft.,3-007,Carmel Valley,Monterey,100,Observation,Single Well,NA
46622,365275N1218283W001,NA,Carmel Valley High 1,36.5275,-121.828,Surveyed to a benchmark,0.1 ft.,3-007,Carmel Valley,Monterey,180,Observation,Single Well,290005
46621,365291N1218306W001,NA,Schulte Road,36.5291,-121.831,Surveyed to a benchmark,0.1 ft.,3-007,Carmel Valley,Monterey,58,Observation,Single Well,137406
46619,365326N1218481W001,NA,Williams North,36.5326,-121.848,USGS quad,10 ft.,3-007,Carmel Valley,Monterey,77,Observation,Single Well,492670
