STN_ID,SITE_CODE,SWN,WELL_NAME,LATITUDE,LONGITUDE,WLM_METHOD,WLM_ACC,BASIN_CODE,BASIN_NAME,COUNTY_NAME,WELL_DEPTH,WELL_USE,WELL_TYPE,WCR_NO
40144,381622N1222520W001,04N04W25K001M,NA,38.1622,-122.252,Unknown,Unknown,2-002.03,Napa-Sonoma Lowlands,Napa,14,Residential,Unknown,NA
23191,381970N1222636W001,04N04W13E001M,NA,38.197,-122.264,Unknown,Unknown,2-002.03,Napa-Sonoma Lowlands,Napa,98,Stockwatering,Unknown,NA
23192,381976N1222753W001,04N04W14C002M,NA,38.1976,-122.275,Unknown,Unknown,2-002.03,Napa-Sonoma Lowlands,Napa,80,Residential,Unknown,NA
23190,382069N1222634W001,04N04W12M001M,NA,38.2069,-122.263,Unknown,Unknown,2-002.03,Napa-Sonoma Lowlands,Napa,48,Residential,Unknown,NA
50362,382187N1223385W001,NA,201,38.2187,-122.339,GPS,10 ft.,2-002.03,Napa-Sonoma Lowlands,Napa,NA,Irrigation,Single Well,NA
49193,382197N1223525W001,04N04W06M001M,155,38.2197,-122.353,Other,5 ft.,2-002.03,Napa-Sonoma Lowlands,Napa,220,Residential,Single Well,770075
50361,382199N1223274W001,NA,200,38.2199,-122.327,GPS,10 ft.,2-002.03,Napa-Sonoma Lowlands,Napa,NA,Irrigation,Single Well,NA
23186,382213N1222741W001,04N04W02L001M,NA,38.2213,-122.274,Unknown,Unknown,2-002.03,Napa-Sonoma Lowlands,Napa,NA,Residential,Unknown,NA
23189,382276N1223310W001,04N04W05D002M,NA,38.2276,-122.331,Unknown,Unknown,2-002.03,Napa-Sonoma Lowlands,Napa,60,Residential,Unknown,NA
46322,382285N1223290W001,04N04W05C001M,150,38.2293,-122.326,USGS quad,10 ft.,2-002.03,Napa-Sonoma Lowlands,Napa,155,Unknown,Single Well,28479
49194,382289N1223213W001,04N04W05A001M,153,38.2289,-122.321,Other,5 ft.,2-002.03,Napa-Sonoma Lowlands,Napa,200,Residential,Single Well,121508
23188,382293N1223260W001,04N04W05B001M,NA,38.2293,-122.326,Unknown,Unknown,2-002.03,Napa-Sonoma Lowlands,Napa,30,Unknown,Unknown,NA
23187,382303N1223111W001,04N04W04C001M,NA,38.2303,-122.311,Unknown,Unknown,2-002.03,Napa-Sonoma Lowlands,Napa,80,Residential,Unknown,NA
49195,382312N1223394W001,05N04W31R001M,154,38.2312,-122.339,Other,5 ft.,2-002.03,Napa-Sonoma Lowlands,Napa,300,Residential,Single Well,370535
36952,382459N1223033W001,05N04W28R001M,NA,38.2459,-122.303,Unknown,Unknown,2-002.03,Napa-Sonoma Lowlands,Napa,51,Irrigation,Unknown,NA
50360,382500N1223255W001,NA,195,38.25,-122.325,GPS,10 ft.,2-002.03,Napa-Sonoma Lowlands,Napa,NA,Irrigation,Single Well,NA
37151,382527N1223201W001,05N04W29H001M,NA,38.2527,-122.32,Unknown,Unknown,2-002.03,Napa-Sonoma Lowlands,Napa,44,Residential,Unknown,NA
36950,382587N1223205W001,05N04W20R002M,NA,38.2587,-122.321,Unknown,Unknown,2-002.03,Napa-Sonoma Lowlands,Napa,181,Residential,Unknown,NA
23201,382600N1223388W001,05N04W19R002M,NA,38.26,-122.339,Unknown,Unknown,2-002.03,Napa-Sonoma Lowlands,Napa,108,Residential,Unknown,NA
23203,382642N1222992W001,05N04W22M001M,NA,38.2642,-122.299,Unknown,Unknown,NA,NA,Napa,99,Stockwatering,Unknown,NA
