STN_ID,SITE_CODE,SWN,WELL_NAME,LATITUDE,LONGITUDE,WLM_METHOD,WLM_ACC,BASIN_CODE,BASIN_NAME,COUNTY_NAME,WELL_DEPTH,WELL_USE,WELL_TYPE,WCR_NO
17120,393212N1201502W001,17N16E13K001M,17N16E13K001M,39.3212,-120.15,Unknown,Unknown,6-067,Martis Valley,Nevada,500,Observation,Part of a nested/multi-completion well,364901
35480,393212N1201502W002,17N16E13K003M,17N16E13K003M,39.3212,-120.15,Unknown,Unknown,6-067,Martis Valley,Nevada,274,Observation,Part of a nested/multi-completion well,364901
39128,393213N1201502W001,17N16E13K004M,NA,39.3213,-120.15,Unknown,Unknown,6-067,Martis Valley,Nevada,92,NA,Unknown,364901
34404,393227N1202283W001,17N16E17F002M,NA,39.3227,-120.228,Unknown,Unknown,6-067,Martis Valley,Nevada,NA,Unknown,Unknown,NA
34406,393245N1201391W001,17N17E18E001M,NA,39.3245,-120.139,Unknown,Unknown,6-067,Martis Valley,Nevada,NA,Unknown,Unknown,NA
35479,393249N1201433W001,17N16E13H001M,NA,39.3249,-120.143,Unknown,Unknown,6-067,Martis Valley,Nevada,64,NA,Unknown,NA
48973,393258N1201435W001,NA,Martis Valley,39.3258,-120.143,Digital Elevation Model,5 ft.,6-067,Martis Valley,Nevada,1040,Observation,Single Well,733241
17643,393295N1201368W001,17N17E18C001M,NA,39.3295,-120.137,Unknown,Unknown,6-067,Martis Valley,Nevada,64,NA,Unknown,NA
17642,393309N1201375W001,17N17E07P001M,NA,39.3309,-120.138,Unknown,Unknown,6-067,Martis Valley,Nevada,64,NA,Unknown,NA
17119,393401N1201724W001,17N16E11F001M,17N16E11F001M,39.3401,-120.172,Unknown,Unknown,6-067,Martis Valley,Nevada,227,Observation,Single Well,365670
48971,393545N1201438W001,NA,Fibreboard,39.3448,-120.156,Digital Elevation Model,5 ft.,6-067,Martis Valley,Nevada,1220,Observation,Single Well,E008043
48972,393545N1201438W002,NA,Prosser Village,39.3545,-120.144,Digital Elevation Model,5 ft.,6-067,Martis Valley,Nevada,1197,Observation,Single Well,733242
34405,393561N1201404W001,17N17E06D001M,NA,39.3561,-120.14,Unknown,Unknown,6-067,Martis Valley,Nevada,202,NA,Unknown,372324
17641,393575N1201200W001,17N17E05D001M,17N17E05D001M,39.3575,-120.12,Unknown,Unknown,6-067,Martis Valley,Nevada,109,Observation,Single Well,365666
32909,393653N1200990W001,18N17E33L001M,18N17E33L001M,39.3653,-120.099,Unknown,Unknown,6-067,Martis Valley,Nevada,195,Observation,Single Well,365669
17054,393983N1201835W001,18N16E22H001M,18N16E22H001M,39.3983,-120.184,Unknown,Unknown,6-067,Martis Valley,Nevada,200,Observation,Single Well,365668
