STN_ID,SITE_CODE,SWN,WELL_NAME,LATITUDE,LONGITUDE,WLM_METHOD,WLM_ACC,BASIN_CODE,BASIN_NAME,COUNTY_NAME,WELL_DEPTH,WELL_USE,WELL_TYPE,WCR_NO
46014,334686N1176782W001,08S08W23A001S,MW-01N,33.4686,-117.678,Surveyed to a benchmark,0.1 ft.,NA,NA,Orange,100,Observation,Part of a nested/multi-completion well,NA
46015,334686N1176782W002,NA,MW-01S,33.4686,-117.678,Surveyed to a benchmark,0.1 ft.,NA,NA,Orange,125,Observation,Part of a nested/multi-completion well,NA
46016,334817N1176783W001,08S08W12A002S,MW-02,33.4817,-117.678,Surveyed to a benchmark,0.1 ft.,9-001,San Juan Valley,Orange,74,Observation,Single Well,NA
46017,334890N1176668W001,08S08W12L001S,MW-03,33.489,-117.667,Surveyed to a benchmark,0.1 ft.,NA,NA,Orange,126,Observation,Single Well,NA
46021,334984N1176655W001,08S08W01Q008S,MW-07,33.4984,-117.666,Surveyed to a benchmark,0.1 ft.,9-001,San Juan Valley,Orange,91,Observation,Single Well,NA
46018,335006N1176517W001,08S07W06P004S,MW-04,33.5006,-117.652,Surveyed to a benchmark,0.1 ft.,9-001,San Juan Valley,Orange,90,Observation,Single Well,NA
46019,335045N1176466W001,08S07W06J004S,MW-05,33.5045,-117.647,Surveyed to a benchmark,0.1 ft.,NA,NA,Orange,90,Observation,Single Well,NA
46020,335069N1176425W001,08S07W06H004S,MW-06,33.5069,-117.643,Surveyed to a benchmark,0.1 ft.,9-001,San Juan Valley,Orange,93,Observation,Single Well,NA
46022,335145N1176697W001,07S08W36P005S,MW-08,33.5145,-117.67,Surveyed to a benchmark,0.1 ft.,9-001,San Juan Valley,Orange,101,Observation,Single Well,NA
7320,336557N1179512W001,06S10W17D001S,NA,33.6557,-117.951,Unknown,Unknown,8-001,Coastal Plain Of Orange County,Orange,NA,Unknown,Unknown,NA
37982,336607N1179623W001,06S10W07K000S,NA,33.6607,-117.962,Unknown,Unknown,8-001,Coastal Plain Of Orange County,Orange,NA,Unknown,Unknown,NA
7319,336621N1178781W001,06S10W12L001S,NA,33.6621,-117.878,Unknown,Unknown,8-001,Coastal Plain Of Orange County,Orange,NA,Unknown,Unknown,NA
5892,336630N1178381W001,06S09W08L001S,NA,33.663,-117.838,Unknown,Unknown,8-001,Coastal Plain Of Orange County,Orange,NA,Unknown,Unknown,NA
27752,336632N1178523W001,06S09W07J001S,NA,33.6632,-117.852,Unknown,Unknown,8-001,Coastal Plain Of Orange County,Orange,NA,Unknown,Unknown,NA
5181,336642N1177443W001,06S08W08M001S,NA,33.6642,-117.744,Unknown,Unknown,8-001,Coastal Plain Of Orange County,Orange,NA,Unknown,Unknown,NA
7316,336647N1179672W001,06S10W07M006S,NA,33.6647,-117.967,Unknown,Unknown,8-001,Coastal Plain Of Orange County,Orange,NA,Unknown,Unknown,NA
5180,336659N1177597W001,06S08W07E002S,NA,33.6659,-117.76,Unknown,Unknown,8-001,Coastal Plain Of Orange County,Orange,NA,Unknown,Unknown,NA
28732,336669N1177464W001,06S08W08E001S,NA,33.6669,-117.746,Unknown,Unknown,8-001,Coastal Plain Of Orange County,Orange,NA,Unknown,Unknown,NA
5893,336672N1178329W001,06S09W09E001S,NA,33.6672,-117.833,Unknown,Unknown,8-001,Coastal Plain Of Orange County,Orange,NA,Unknown,Unknown,NA
7317,336672N1179322W001,06S10W09E003S,NA,33.6672,-117.932,Unknown,Unknown,8-001,Coastal Plain Of Orange County,Orange,NA,Unknown,Unknown,NA
7318,336674N1178918W001,06S10W11G003S,NA,33.6674,-117.892,Unknown,Unknown,8-001,Coastal Plain Of Orange County,Orange,NA,Unknown,Unknown,NA
28731,336678N1177626W001,06S08W07E001S,NA,33.6678,-117.763,Unknown,Unknown,8-001,Coastal Plain Of Orange County,Orange,NA,Unknown,Unknown,NA
27753,336684N1177654W001,06S09W12H001S,NA,33.6684,-117.765,Unknown,Unknown,8-001,Coastal Plain Of Orange County,Orange,NA,Unknown,Unknown,NA
39331,336689N1178912W001,06S10W11G001S,NA,33.6689,-117.891,Unknown,Unknown,8-001,Coastal Plain Of Orange County,Orange,NA,Unknown,Unknown,NA
47330,336716N1177529W001,06S08W07B001S,MCAS-3/MP2,33.6716,-117.753,Surveyed to a benchmark,0.1 ft.,8-001,Coastal Plain Of Orange County,Orange,540,Observation,Part of a nested/multi-completion well,255941
47331,336716N1177529W002,NA,MCAS-3/MP5,33.6716,-117.753,Surveyed to a benchmark,0.1 ft.,8-001,Coastal Plain Of Orange County,Orange,540,Observation,Part of a nested/multi-completion well,255941
7315,336722N1179694W001,06S10W07D006S,NA,33.6722,-117.969,Unknown,Unknown,8-001,Coastal Plain Of Orange County,Orange,NA,Unknown,Unknown,NA
25343,336724N1179746W001,06S11W01R000S,NA,33.6724,-117.975,Unknown,Unknown,8-001,Coastal Plain Of Orange County,Orange,NA,Unknown,Unknown,NA
5063,336725N1179790W001,06S11W01Q003S,NA,33.6725,-117.979,Unknown,Unknown,8-001,Coastal Plain Of Orange County,Orange,NA,Unknown,Unknown,NA
5062,336725N1179838W001,06S11W01N003S,NA,33.6725,-117.984,Unknown,Unknown,8-001,Coastal Plain Of Orange County,Orange,NA,Unknown,Unknown,NA
28730,336726N1177521W001,06S08W06Q001S,NA,33.6726,-117.752,Unknown,Unknown,8-001,Coastal Plain Of Orange County,Orange,NA,Unknown,Unknown,NA
27751,336726N1178014W001,06S09W03Q001S,NA,33.6726,-117.801,Unknown,Unknown,8-001,Coastal Plain Of Orange County,Orange,NA,Unknown,Unknown,NA
28729,336728N1177424W001,06S08W05P001S,NA,33.6728,-117.742,Unknown,Unknown,8-001,Coastal Plain Of Orange County,Orange,NA,Unknown,Unknown,NA
7312,336728N1179268W001,06S10W04Q002S,NA,33.6728,-117.927,Unknown,Unknown,8-001,Coastal Plain Of Orange County,Orange,NA,Unknown,Unknown,NA
5888,336734N1177736W001,06S09W01P002S,NA,33.6734,-117.774,Unknown,Unknown,8-001,Coastal Plain Of Orange County,Orange,NA,Unknown,Unknown,NA
5179,336746N1177574W001,06S08W06P001S,NA,33.6746,-117.757,Unknown,Unknown,8-001,Coastal Plain Of Orange County,Orange,NA,Unknown,Unknown,NA
5891,336749N1177991W001,06S09W03R001S,NA,33.6749,-117.799,Unknown,Unknown,8-001,Coastal Plain Of Orange County,Orange,NA,Unknown,Unknown,NA
47280,336749N1179628W001,06S10W06P005S,OCWD-M26,33.6749,-117.963,Surveyed to a benchmark,0.1 ft.,8-001,Coastal Plain Of Orange County,Orange,145,Observation,Single Well,NA
38340,336753N1177488W001,06S08W06R001S,NA,33.6753,-117.749,Unknown,Unknown,8-001,Coastal Plain Of Orange County,Orange,NA,Unknown,Unknown,NA
25339,336763N1177475W001,06S08W06J000S,NA,33.6763,-117.748,Unknown,Unknown,8-001,Coastal Plain Of Orange County,Orange,NA,Unknown,Unknown,NA
25340,336763N1177475W002,06S08W06R000S,NA,33.6763,-117.748,Unknown,Unknown,8-001,Coastal Plain Of Orange County,Orange,NA,Unknown,Unknown,NA
5887,336764N1177748W001,06S09W01L001S,NA,33.6764,-117.775,Unknown,Unknown,8-001,Coastal Plain Of Orange County,Orange,NA,Unknown,Unknown,NA
47281,336781N1178263W001,06S09W04L001S,TIC-25,33.6781,-117.826,USGS quad,Unknown,8-001,Coastal Plain Of Orange County,Orange,790,Observation,Single Well,"41833,35"
5177,336792N1177457W001,06S08W05M002S,NA,33.6792,-117.746,Unknown,Unknown,8-001,Coastal Plain Of Orange County,Orange,NA,Unknown,Unknown,NA
7310,336793N1178807W001,06S10W01L001S,NA,33.6793,-117.881,Unknown,Unknown,8-001,Coastal Plain Of Orange County,Orange,NA,Unknown,Unknown,NA
5178,336795N1177521W001,06S08W06J001S,NA,33.6795,-117.752,Unknown,Unknown,8-001,Coastal Plain Of Orange County,Orange,NA,Unknown,Unknown,NA
27749,336795N1177780W001,06S09W01M002S,NA,33.6795,-117.778,Unknown,Unknown,8-001,Coastal Plain Of Orange County,Orange,NA,Unknown,Unknown,NA
47332,336798N1177876W001,06S09W02G001S,MCAS-7/MP1,33.6798,-117.788,Surveyed to a benchmark,0.1 ft.,8-001,Coastal Plain Of Orange County,Orange,1152,Observation,Part of a nested/multi-completion well,255942
47333,336798N1177876W002,NA,MCAS-7/MP4,33.6798,-117.788,Surveyed to a benchmark,0.1 ft.,8-001,Coastal Plain Of Orange County,Orange,1152,Observation,Part of a nested/multi-completion well,255942
28520,336803N1178948W001,06S10W02G001S,NA,33.6803,-117.895,Unknown,Unknown,8-001,Coastal Plain Of Orange County,Orange,NA,Unknown,Unknown,NA
5890,336813N1177975W001,06S09W02E001S,NA,33.6813,-117.797,Unknown,Unknown,8-001,Coastal Plain Of Orange County,Orange,NA,Unknown,Unknown,NA
7309,336818N1178840W001,06S10W01E002S,NA,33.6818,-117.884,Unknown,Unknown,8-001,Coastal Plain Of Orange County,Orange,NA,Unknown,Unknown,NA
28728,336824N1177430W001,06S08W05E002S,NA,33.6824,-117.743,Unknown,Unknown,8-001,Coastal Plain Of Orange County,Orange,NA,Unknown,Unknown,NA
47318,336831N1179773W001,06S11W01G001S,HBM-2/MP6,33.6831,-117.977,Surveyed to a benchmark,0.1 ft.,8-001,Coastal Plain Of Orange County,Orange,975,Observation,Part of a nested/multi-completion well,349222
27750,336843N1177859W001,06S09W02A004S,NA,33.6843,-117.786,Unknown,Unknown,8-001,Coastal Plain Of Orange County,Orange,NA,Unknown,Unknown,NA
37981,336848N1177670W001,06S09W01B001S,NA,33.6848,-117.767,Unknown,Unknown,8-001,Coastal Plain Of Orange County,Orange,NA,Unknown,Unknown,NA
7311,336848N1179242W001,06S10W04B002S,NA,33.6848,-117.924,Unknown,Unknown,8-001,Coastal Plain Of Orange County,Orange,NA,Unknown,Unknown,NA
5886,336853N1177671W001,06S09W01A001S,NA,33.6853,-117.767,Unknown,Unknown,8-001,Coastal Plain Of Orange County,Orange,NA,Unknown,Unknown,NA
28522,336853N1179432W001,06S10W05B003S,NA,33.6853,-117.943,Unknown,Unknown,8-001,Coastal Plain Of Orange County,Orange,NA,Unknown,Unknown,NA
28521,336856N1179333W001,06S10W04D002S,NA,33.6856,-117.933,Unknown,Unknown,8-001,Coastal Plain Of Orange County,Orange,NA,Unknown,Unknown,NA
5889,336863N1177952W001,06S09W02D001S,NA,33.6863,-117.795,Unknown,Unknown,8-001,Coastal Plain Of Orange County,Orange,NA,Unknown,Unknown,NA
25342,336866N1179732W001,06S11W01A003S,NA,33.6866,-117.973,Unknown,Unknown,8-001,Coastal Plain Of Orange County,Orange,NA,Unknown,Unknown,NA
