STN_ID,SITE_CODE,SWN,WELL_NAME,LATITUDE,LONGITUDE,WLM_METHOD,WLM_ACC,BASIN_CODE,BASIN_NAME,COUNTY_NAME,WELL_DEPTH,WELL_USE,WELL_TYPE
48577,381626N1213651W001,NA,SVMW East-2B,38.7626,-121.365,Surveyed to a benchmark,0.1 ft.,5-021.64,North American,Placer,525,Observation,Part of a nested/multi-completion well
55217,387005N1216141W002,NA,Elkhorn MW-1,38.7005,-121.614,Unknown,Unknown,5-021.64,North American,Placer,515,Observation,Part of a nested/multi-completion well
55218,387005N1216141W004,NA,Elkhorn MW-2,38.7005,-121.614,Unknown,Unknown,5-021.64,North American,Placer,515,Observation,Part of a nested/multi-completion well
33091,387216N1212470W001,10N07E18J001M,10N07E18J001M,38.7216,-121.247,Unknown,Unknown,5-021.64,North American,Placer,164,Residential,Single Well
52475,387222N1212920W001,NA,Whyte A,38.7222,-121.292,GPS,0.1 ft.,5-021.64,North American,Placer,226,Observation,Single Well
52476,387222N1212920W002,NA,Whyte B,38.7222,-121.292,GPS,0.1 ft.,5-021.64,North American,Placer,306,Observation,Single Well
13664,387269N1212760W001,10N06E13C001M,NA,38.7269,-121.276,Unknown,Unknown,5-021.64,North American,Placer,218,Irrigation,Unknown
13665,387285N1213396W001,10N06E17A001M,NA,38.7285,-121.34,Unknown,Unknown,5-021.64,North American,Placer,340,Residential,Unknown
13670,387290N1212518W001,10N07E18B001M,NA,38.729,-121.252,Unknown,Unknown,5-021.64,North American,Placer,270,Irrigation,Unknown
51280,387331N1213610W001,NA,WPMW-5A,38.7331,-121.361,Surveyed to a benchmark,0.1 ft.,5-021.64,North American,Placer,100,Observation,Part of a nested/multi-completion well
51281,387331N1213610W002,NA,WPMW-5B,38.7331,-121.361,Surveyed to a benchmark,0.1 ft.,5-021.64,North American,Placer,650,Observation,Part of a nested/multi-completion well
13661,387333N1213658W001,10N06E07L001M,NA,38.7333,-121.366,Unknown,Unknown,5-021.64,North American,Placer,180,Irrigation,Unknown
15696,387341N1214620W001,10N05E08L002M,10N05E08L002M,38.7341,-121.462,Unknown,Unknown,5-021.64,North American,Placer,190,Irrigation,Single Well
32586,387344N1214154W001,10N05E10J003M,NA,38.7344,-121.415,Unknown,Unknown,5-021.64,North American,Placer,NA,Irrigation,Unknown
33090,387374N1212622W001,10N07E07E002M,NA,38.7374,-121.262,Unknown,Unknown,5-021.64,North American,Placer,300,Unknown,Unknown
