STN_ID,SITE_CODE,SWN,WELL_NAME,LATITUDE,LONGITUDE,WLM_METHOD,WLM_ACC,BASIN_CODE,BASIN_NAME,COUNTY_NAME,WELL_DEPTH,WELL_USE,WELL_TYPE,WCR_NO
25220,371581N1205245W001,23N14E08K003M,NA,37.1581,-120.525,Unknown,Unknown,5-022.04,Merced,Plumas,149,Residential,Unknown,092089
36034,397082N1202574W001,22N15E36N001M,22N15E36N001M,39.7082,-120.257,Unknown,Unknown,5-012.01,Sierra Valley,Plumas,803,Irrigation,Single Well,13
36033,397106N1202878W001,22N15E34L006M,22N15E34L006M,39.7106,-120.288,Unknown,Unknown,5-012.01,Sierra Valley,Plumas,480,Stockwatering,Single Well,NA
20707,397113N1202882W001,22N15E34L005M,NA,39.7113,-120.288,Unknown,Unknown,5-012.01,Sierra Valley,Plumas,NA,Residential,Unknown,NA
20709,397114N1202406W001,22N15E36J001M,NA,39.7114,-120.241,Unknown,Unknown,5-012.01,Sierra Valley,Plumas,775,Irrigation,Unknown,YES
36032,397116N1202884W001,22N15E34L002M,NA,39.7116,-120.288,Unknown,Unknown,5-012.01,Sierra Valley,Plumas,NA,Stockwatering,Unknown,NA
20708,397161N1202444W001,22N15E36H001M,NA,39.7161,-120.244,Unknown,Unknown,5-012.01,Sierra Valley,Plumas,462,Irrigation,Unknown,DWR
20706,397173N1202834W001,22N15E34G001M,NA,39.7173,-120.283,Unknown,Unknown,5-012.01,Sierra Valley,Plumas,863,Irrigation,Unknown,DWR
20570,397221N1203837W001,22N14E35C002M,NA,39.7221,-120.384,Unknown,Unknown,5-012.01,Sierra Valley,Plumas,NA,Irrigation,Unknown,NA
36031,397226N1202835W001,22N15E27Q001M,22N15E27Q001M,39.7226,-120.283,Unknown,Unknown,5-012.01,Sierra Valley,Plumas,NA,Irrigation,Single Well,NA
36147,397259N1202270W001,22N16E30Q001M,NA,39.7259,-120.227,Unknown,Unknown,5-012.01,Sierra Valley,Plumas,NA,Irrigation,Unknown,NA
20703,397275N1202658W001,22N15E26K001M,NA,39.7275,-120.266,Unknown,Unknown,5-012.01,Sierra Valley,Plumas,NA,Residential,Unknown,NA
20705,397282N1203065W001,22N15E28L001M,NA,39.7282,-120.306,Unknown,Unknown,5-012.01,Sierra Valley,Plumas,296,Stockwatering,Unknown,NA
20569,397283N1203814W001,22N14E26L001M,NA,39.7283,-120.381,Unknown,Unknown,5-012.01,Sierra Valley,Plumas,198,Stockwatering,Unknown,NA
20704,397284N1202655W001,22N15E26K003M,NA,39.7284,-120.266,Unknown,Unknown,5-012.01,Sierra Valley,Plumas,735,Residential,Unknown,72912
20719,397372N1202128W001,22N16E20P002M,22N16E20P002M,39.7372,-120.213,Unknown,Unknown,5-012.01,Sierra Valley,Plumas,205,Residential,Single Well,15151
20702,397403N1202870W001,22N15E22Q001M,22N15E22Q001M,39.7403,-120.287,Unknown,Unknown,5-012.01,Sierra Valley,Plumas,600,Stockwatering,Single Well,NA
20567,397404N1204172W001,22N14E21Q001M,NA,39.7404,-120.417,Unknown,Unknown,5-012.01,Sierra Valley,Plumas,383,Irrigation,Unknown,NA
20568,397404N1204172W002,22N14E21Q002M,NA,39.7404,-120.417,Unknown,Unknown,5-012.01,Sierra Valley,Plumas,133,Residential,Unknown,301834
20717,397413N1202259W001,22N16E19K001M,NA,39.7413,-120.226,Unknown,Unknown,5-012.01,Sierra Valley,Plumas,321,Irrigation,Unknown,53134
36146,397417N1202377W001,22N16E19M001M,NA,39.7417,-120.238,Unknown,Unknown,5-012.01,Sierra Valley,Plumas,256,Irrigation,Unknown,YES
20718,397465N1202098W001,22N16E20G002M,NA,39.7465,-120.21,Unknown,Unknown,5-012.01,Sierra Valley,Plumas,NA,Unknown,Unknown,NA
36145,397513N1202266W001,22N16E19A001M,NA,39.7513,-120.227,Unknown,Unknown,5-012.01,Sierra Valley,Plumas,500,Irrigation,Unknown,72433
