STN_ID,SITE_CODE,SWN,WELL_NAME,LATITUDE,LONGITUDE,WLM_METHOD,WLM_ACC,BASIN_CODE,BASIN_NAME,COUNTY_NAME,WELL_DEPTH,WELL_USE,WELL_TYPE,WCR_NO
47731,334262N1160792W001,08S09E31R001S,08S09E31R001S,33.4262,-116.079,Surveyed,0.1 ft.,7-021.01,Indio,Riverside,442,Observation,Single Well,NA
31533,334270N1168357W001,08S01E36P002S,NA,33.427,-116.836,Unknown,Unknown,NA,NA,Riverside,NA,Unknown,Unknown,NA
7806,334270N1168732W001,08S01E34N001S,NA,33.427,-116.873,Unknown,Unknown,9-005,Temecula Valley,Riverside,NA,Unknown,Unknown,NA
28254,334273N1168195W001,08S02E31P001S,NA,33.4273,-116.82,Unknown,Unknown,NA,NA,Riverside,NA,Unknown,Unknown,NA
31532,334284N1168687W001,08S01E34P002S,NA,33.4284,-116.869,Unknown,Unknown,9-005,Temecula Valley,Riverside,NA,Unknown,Unknown,NA
8705,334289N1168379W001,08S01E36N001S,NA,33.4289,-116.838,Unknown,Unknown,NA,NA,Riverside,NA,Unknown,Unknown,NA
7807,334292N1168687W001,08S01E34P001S,NA,33.4292,-116.869,Unknown,Unknown,9-005,Temecula Valley,Riverside,NA,Unknown,Unknown,NA
7803,334320N1168720W001,08S01E34M001S,NA,33.432,-116.872,Unknown,Unknown,9-005,Temecula Valley,Riverside,NA,Unknown,Unknown,NA
7804,334320N1168720W002,08S01E34M002S,NA,33.432,-116.872,Unknown,Unknown,9-005,Temecula Valley,Riverside,NA,Unknown,Unknown,NA
7805,334323N1168720W001,08S01E34M003S,NA,33.4323,-116.872,Unknown,Unknown,9-005,Temecula Valley,Riverside,NA,Unknown,Unknown,NA
11995,334331N1170870W001,08S02W33R001S,NA,33.4331,-117.087,Unknown,Unknown,NA,NA,Riverside,NA,Unknown,Unknown,NA
12747,334331N1171423W001,08S03W36Q001S,NA,33.4331,-117.142,Unknown,Unknown,NA,NA,Riverside,NA,Unknown,Unknown,NA
12741,334331N1171590W001,08S03W35R001S,NA,33.4331,-117.159,Unknown,Unknown,NA,NA,Riverside,NA,Unknown,Unknown,NA
12740,334331N1171979W001,08S03W33Q001S,NA,33.4331,-117.198,Unknown,Unknown,NA,NA,Riverside,NA,Unknown,Unknown,NA
7802,334334N1168698W001,08S01E34L001S,NA,33.4334,-116.87,Unknown,Unknown,9-005,Temecula Valley,Riverside,NA,Unknown,Unknown,NA
12295,334336N1146391W001,09S22E03A001S,NA,33.4336,-114.639,Unknown,Unknown,7-038,Palo Verde Valley,Riverside,NA,Unknown,Unknown,NA
30059,334336N1146524W001,08S22E35P001S,NA,33.4336,-114.652,Unknown,Unknown,7-038,Palo Verde Valley,Riverside,NA,Unknown,Unknown,NA
30058,334336N1146572W001,08S22E34R001S,NA,33.4336,-114.657,Unknown,Unknown,7-038,Palo Verde Valley,Riverside,NA,Unknown,Unknown,NA
8983,334336N1146744W001,08S22E34N001S,NA,33.4336,-114.674,Unknown,Unknown,7-038,Palo Verde Valley,Riverside,NA,Unknown,Unknown,NA
8982,334336N1146924W001,08S22E32R001S,NA,33.4336,-114.692,Unknown,Unknown,7-038,Palo Verde Valley,Riverside,NA,Unknown,Unknown,NA
8981,334336N1147094W001,08S22E32N001S,NA,33.4336,-114.709,Unknown,Unknown,7-038,Palo Verde Valley,Riverside,NA,Unknown,Unknown,NA
12000,334336N1170820W001,08S02W34N001S,NA,33.4336,-117.082,Unknown,Unknown,NA,NA,Riverside,NA,Unknown,Unknown,NA
33478,334339N1171412W001,08S03W36R004S,NA,33.4339,-117.141,Unknown,Unknown,NA,NA,Riverside,NA,Unknown,Unknown,NA
33767,334339N1171412W002,08S03W36R007S,NA,33.4339,-117.141,Unknown,Unknown,NA,NA,Riverside,NA,Unknown,Unknown,NA
10612,334339N1171412W003,08S03W36R008S,NA,33.4339,-117.141,Unknown,Unknown,NA,NA,Riverside,NA,Unknown,Unknown,NA
7801,334345N1168673W001,08S01E34F002S,NA,33.4345,-116.867,Unknown,Unknown,9-005,Temecula Valley,Riverside,NA,Unknown,Unknown,NA
29578,334345N1170879W001,08S02W33J002S,NA,33.4345,-117.088,Unknown,Unknown,9-005,Temecula Valley,Riverside,NA,Unknown,Unknown,NA
31278,334345N1171409W001,08S03W36R011S,NA,33.4345,-117.141,Unknown,Unknown,NA,NA,Riverside,NA,Unknown,Unknown,NA
11992,334348N1170898W001,08S02W33J003S,NA,33.4348,-117.09,Unknown,Unknown,9-005,Temecula Valley,Riverside,NA,Unknown,Unknown,NA
33477,334348N1171404W001,08S03W36R002S,NA,33.4348,-117.14,Unknown,Unknown,NA,NA,Riverside,NA,Unknown,Unknown,NA
27233,334350N1169190W001,08S01E31G001S,NA,33.435,-116.919,Unknown,Unknown,NA,NA,Riverside,NA,Unknown,Unknown,NA
7798,334350N1169215W001,08S01E31F001S,NA,33.435,-116.922,Unknown,Unknown,NA,NA,Riverside,NA,Unknown,Unknown,NA
12748,334350N1171412W001,08S03W36R003S,NA,33.435,-117.141,Unknown,Unknown,NA,NA,Riverside,NA,Unknown,Unknown,NA
7800,334353N1168682W001,08S01E34F001S,NA,33.4353,-116.868,Unknown,Unknown,9-005,Temecula Valley,Riverside,NA,Unknown,Unknown,NA
11991,334353N1170879W001,08S02W33J001S,NA,33.4353,-117.088,Unknown,Unknown,9-005,Temecula Valley,Riverside,NA,Unknown,Unknown,NA
12739,334353N1172379W001,08S03W31M001S,NA,33.4353,-117.238,Unknown,Unknown,NA,NA,Riverside,NA,Unknown,Unknown,NA
12746,334359N1171398W001,08S03W36J005S,NA,33.4359,-117.14,Unknown,Unknown,NA,NA,Riverside,NA,Unknown,Unknown,NA
12882,334359N1171404W001,08S03W36R006S,NA,33.4359,-117.14,Unknown,Unknown,NA,NA,Riverside,NA,Unknown,Unknown,NA
37574,334361N1147658W001,08S21E34R002S,NA,33.4361,-114.766,Unknown,Unknown,7-039,Palo Verde Mesa,Riverside,NA,Unknown,Unknown,NA
31657,334361N1168120W001,08S02E31G001S,NA,33.4361,-116.812,Unknown,Unknown,NA,NA,Riverside,NA,Unknown,Unknown,NA
11994,334361N1170934W001,08S02W33L001S,NA,33.4361,-117.093,Unknown,Unknown,9-005,Temecula Valley,Riverside,NA,Unknown,Unknown,NA
29580,334361N1170937W001,08S02W33L002S,NA,33.4361,-117.094,Unknown,Unknown,9-005,Temecula Valley,Riverside,NA,Unknown,Unknown,NA
12738,334364N1172357W001,08S03W31L002S,NA,33.4364,-117.236,Unknown,Unknown,NA,NA,Riverside,NA,Unknown,Unknown,NA
7799,334367N1169204W001,08S01E31F002S,NA,33.4367,-116.92,Unknown,Unknown,NA,NA,Riverside,NA,Unknown,Unknown,NA
29579,334367N1170901W001,08S02W33K001S,NA,33.4367,-117.09,Unknown,Unknown,9-005,Temecula Valley,Riverside,NA,Unknown,Unknown,NA
11993,334367N1170912W001,08S02W33K002S,NA,33.4367,-117.091,Unknown,Unknown,9-005,Temecula Valley,Riverside,NA,Unknown,Unknown,NA
33476,334367N1171398W001,08S03W36J004S,NA,33.4367,-117.14,Unknown,Unknown,NA,NA,Riverside,NA,Unknown,Unknown,NA
23529,334372N1147695W001,08S21E34K001S,NA,33.4372,-114.77,Unknown,Unknown,7-039,Palo Verde Mesa,Riverside,NA,Unknown,Unknown,NA
30056,334378N1147230W001,08S22E31M001S,NA,33.4378,-114.723,Unknown,Unknown,7-038,Palo Verde Valley,Riverside,NA,Unknown,Unknown,NA
12745,334378N1171395W001,08S03W36J003S,NA,33.4378,-117.14,Unknown,Unknown,NA,NA,Riverside,NA,Unknown,Unknown,NA
12744,334384N1171395W001,08S03W36J002S,NA,33.4384,-117.14,Unknown,Unknown,NA,NA,Riverside,NA,Unknown,Unknown,NA
29583,334386N1170768W001,08S02W34F002S,NA,33.4386,-117.077,Unknown,Unknown,9-005,Temecula Valley,Riverside,NA,Unknown,Unknown,NA
11998,334389N1170770W001,08S02W34F001S,NA,33.4389,-117.077,Unknown,Unknown,9-005,Temecula Valley,Riverside,NA,Unknown,Unknown,NA
29576,334389N1170882W001,08S02W33G003S,NA,33.4389,-117.088,Unknown,Unknown,9-005,Temecula Valley,Riverside,NA,Unknown,Unknown,NA
8723,334395N1168162W001,08S02E31C001S,NA,33.4395,-116.816,Unknown,Unknown,NA,NA,Riverside,NA,Unknown,Unknown,NA
11999,334395N1170790W001,08S02W34F003S,NA,33.4395,-117.079,Unknown,Unknown,9-005,Temecula Valley,Riverside,NA,Unknown,Unknown,NA
29577,334395N1170876W001,08S02W33H001S,NA,33.4395,-117.088,Unknown,Unknown,9-005,Temecula Valley,Riverside,NA,Unknown,Unknown,NA
29584,334398N1170793W001,08S02W34F004S,NA,33.4398,-117.079,Unknown,Unknown,9-005,Temecula Valley,Riverside,NA,Unknown,Unknown,NA
11990,334398N1170873W001,08S02W33H002S,NA,33.4398,-117.087,Unknown,Unknown,9-005,Temecula Valley,Riverside,NA,Unknown,Unknown,NA
12743,334398N1171382W001,08S03W36J001S,NA,33.4398,-117.138,Unknown,Unknown,NA,NA,Riverside,NA,Unknown,Unknown,NA
37573,334399N1147795W001,08S21E34M001S,NA,33.4399,-114.779,Unknown,Unknown,7-039,Palo Verde Mesa,Riverside,NA,Unknown,Unknown,NA
23528,334401N1147801W001,08S21E33J001S,NA,33.4401,-114.78,Unknown,Unknown,7-039,Palo Verde Mesa,Riverside,NA,Unknown,Unknown,NA
11997,334403N1170798W001,08S02W34E001S,NA,33.4403,-117.08,Unknown,Unknown,9-005,Temecula Valley,Riverside,NA,Unknown,Unknown,NA
8980,334406N1147158W001,08S22E31K001S,NA,33.4406,-114.716,Unknown,Unknown,7-038,Palo Verde Valley,Riverside,NA,Unknown,Unknown,NA
12742,334406N1171379W001,08S03W36H001S,NA,33.4406,-117.138,Unknown,Unknown,NA,NA,Riverside,NA,Unknown,Unknown,NA
38265,334409N1168723W001,08S01E34D001S,NA,33.4409,-116.872,Unknown,Unknown,9-005,Temecula Valley,Riverside,NA,Unknown,Unknown,NA
37572,334414N1147850W001,08S21E33G001S,NA,33.4414,-114.785,Unknown,Unknown,7-039,Palo Verde Mesa,Riverside,NA,Unknown,Unknown,NA
51668,334416N1161083W001,08S08E25P001S,LCV - 8SE,33.4416,-116.108,Surveyed to a benchmark,Unknown,7-021.01,Indio,Riverside,443,Observation,Single Well,e038074
11988,334420N1171359W001,08S02W31E002S,NA,33.442,-117.136,Unknown,Unknown,NA,NA,Riverside,NA,Unknown,Unknown,NA
31650,334423N1169376W001,08S01W25Q001S,NA,33.4423,-116.938,Unknown,Unknown,NA,NA,Riverside,NA,Unknown,Unknown,NA
11996,334423N1170740W001,08S02W34B004S,NA,33.4423,-117.074,Unknown,Unknown,9-005,Temecula Valley,Riverside,NA,Unknown,Unknown,NA
