STN_ID,SITE_CODE,SWN,WELL_NAME,LATITUDE,LONGITUDE,WLM_METHOD,WLM_ACC,BASIN_CODE,BASIN_NAME,COUNTY_NAME,WELL_DEPTH,WELL_USE,WELL_TYPE,WCR_NO
10365,339225N1170209W001,10N01W30Q001S,NA,33.9225,-117.021,Unknown,Unknown,NA,NA,San Bernardino,NA,Unknown,Unknown,NA
48080,339265N1176217W001,NA,CHINO-1207983,33.9265,-117.622,Surveyed to a benchmark,0.1 ft.,8-002.01,Chino,San Bernardino,105,Observation,Part of a nested/multi-completion well,e025645
33406,339275N1171612W001,10N03W26K001S,NA,33.9275,-117.161,Unknown,Unknown,8-005,San Jacinto,San Bernardino,NA,Unknown,Unknown,NA
48078,339526N1176523W001,NA,CHINO-1207981,33.9526,-117.652,Surveyed to a benchmark,0.1 ft.,8-002.01,Chino,San Bernardino,110,Observation,Part of a nested/multi-completion well,e023311
48079,339534N1176112W001,NA,CHINO-1207982,33.9534,-117.611,Surveyed to a benchmark,0.1 ft.,8-002.01,Chino,San Bernardino,135,Observation,Part of a nested/multi-completion well,e023309
46162,339655N1176272W001,NA,WEI1207979,33.9655,-117.627,Unknown,Unknown,8-002.01,Chino,San Bernardino,169,Observation,Part of a nested/multi-completion well,NA
46165,339655N1176272W002,NA,WEI1207993,33.9655,-117.627,Other,Unknown,8-002.01,Chino,San Bernardino,321,Observation,Part of a nested/multi-completion well,NA
48076,339655N1176275W001,NA,CHINO-1207979,33.9655,-117.628,Surveyed to a benchmark,0.1 ft.,8-002.01,Chino,San Bernardino,169,Observation,Part of a nested/multi-completion well,e023307
48077,339681N1176730W001,NA,CHINO-1207980,33.9681,-117.673,Surveyed to a benchmark,0.1 ft.,8-002.01,Chino,San Bernardino,155,Observation,Part of a nested/multi-completion well,e023310
48075,339689N1176279W001,NA,CHINO-1207978,33.9689,-117.628,Surveyed to a benchmark,0.1 ft.,8-002.01,Chino,San Bernardino,180,Observation,Part of a nested/multi-completion well,e038024
