STN_ID,SITE_CODE,SWN,WELL_NAME,LATITUDE,LONGITUDE,WLM_METHOD,WLM_ACC,BASIN_CODE,BASIN_NAME,COUNTY_NAME,WELL_DEPTH,WELL_USE,WELL_TYPE,WCR_NO
25067,325450N1171061W001,19S02W05K003S,NA,32.545,-117.106,Unknown,Unknown,9-033,Coastal Plain Of San Diego,San Diego,NA,Unknown,Unknown,NA
25068,325450N1171061W002,19S02W05K004S,NA,32.545,-117.106,Unknown,Unknown,9-033,Coastal Plain Of San Diego,San Diego,NA,Unknown,Unknown,NA
39833,325450N1171061W003,19S02W05K005S,NA,32.545,-117.106,Unknown,Unknown,9-033,Coastal Plain Of San Diego,San Diego,NA,Unknown,Unknown,NA
25069,325450N1171061W004,19S02W05K006S,NA,32.545,-117.106,Unknown,Unknown,9-033,Coastal Plain Of San Diego,San Diego,NA,Unknown,Unknown,NA
38479,325450N1171061W005,19S02W05K007S,NA,32.545,-117.106,Unknown,Unknown,9-033,Coastal Plain Of San Diego,San Diego,NA,Unknown,Unknown,NA
35592,325493N1170884W001,19S02W04H008S,NA,32.5493,-117.088,Unknown,Unknown,9-033,Coastal Plain Of San Diego,San Diego,NA,Unknown,Unknown,NA
48699,325536N1170608W001,NA,Boundary Waters,32.5536,-117.061,GPS,0.1 ft.,9-033,Coastal Plain Of San Diego,San Diego,280,Observation,Part of a nested/multi-completion well,NA
20460,325538N1170626W001,19S02W02C007S,NA,32.5538,-117.063,Unknown,Unknown,9-033,Coastal Plain Of San Diego,San Diego,NA,Unknown,Unknown,NA
35590,325538N1170626W002,19S02W02C008S,NA,32.5538,-117.063,Unknown,Unknown,9-033,Coastal Plain Of San Diego,San Diego,NA,Unknown,Unknown,NA
20461,325538N1170626W003,19S02W02C009S,NA,32.5538,-117.063,Unknown,Unknown,9-033,Coastal Plain Of San Diego,San Diego,NA,Unknown,Unknown,NA
20462,325538N1170626W004,19S02W02C010S,NA,32.5538,-117.063,Unknown,Unknown,9-033,Coastal Plain Of San Diego,San Diego,NA,Unknown,Unknown,NA
35591,325538N1170626W005,19S02W02C011S,NA,32.5538,-117.063,Unknown,Unknown,9-033,Coastal Plain Of San Diego,San Diego,NA,Unknown,Unknown,NA
20463,325541N1170868W001,19S02W04A006S,NA,32.5541,-117.087,Unknown,Unknown,9-033,Coastal Plain Of San Diego,San Diego,NA,Unknown,Unknown,NA
24945,325590N1170755W001,18S02W34L001S,NA,32.559,-117.076,Unknown,Unknown,9-033,Coastal Plain Of San Diego,San Diego,NA,Unknown,Unknown,NA
38198,325590N1170755W002,18S02W34L002S,NA,32.559,-117.076,Unknown,Unknown,9-033,Coastal Plain Of San Diego,San Diego,NA,Unknown,Unknown,NA
24946,325590N1170755W003,18S02W34L003S,NA,32.559,-117.076,Unknown,Unknown,9-033,Coastal Plain Of San Diego,San Diego,NA,Unknown,Unknown,NA
38199,325590N1170755W004,18S02W34L004S,NA,32.559,-117.076,Unknown,Unknown,9-033,Coastal Plain Of San Diego,San Diego,NA,Unknown,Unknown,NA
24947,325590N1170755W005,18S02W34L005S,NA,32.559,-117.076,Unknown,Unknown,9-033,Coastal Plain Of San Diego,San Diego,NA,Unknown,Unknown,NA
24942,325910N1170835W001,18S02W22E003S,NA,32.591,-117.084,Unknown,Unknown,9-033,Coastal Plain Of San Diego,San Diego,NA,Unknown,Unknown,NA
38196,325910N1170835W002,18S02W22E004S,NA,32.591,-117.084,Unknown,Unknown,9-033,Coastal Plain Of San Diego,San Diego,NA,Unknown,Unknown,NA
