STN_ID,SITE_CODE,SWN,WELL_NAME,LATITUDE,LONGITUDE,WLM_METHOD,WLM_ACC,BASIN_CODE,BASIN_NAME,COUNTY_NAME,WELL_DEPTH,WELL_USE,WELL_TYPE,WCR_NO
49451,366673N1213260W001,03S06E17R002M,03S06E17R002M,37.6674,-121.326,Unknown,Unknown,5-022.15,Tracy,San Joaquin,NA,Residential,Single Well,NA
49304,375425N1213456W001,01N04E30A001M,01N04E30A001M,37.9089,-121.567,GPS,10 ft.,5-022.19,East Contra Costa,San Joaquin,20,Observation,Single Well,NA
49303,375463N1213325W001,01N04E29D001M,01N04E29D001M,37.9125,-121.564,GPS,10 ft.,5-022.19,East Contra Costa,San Joaquin,20,Observation,Single Well,NA
28690,376002N1213333W001,04S06E08L001M,NA,37.6002,-121.333,Unknown,Unknown,5-022.07,Delta-Mendota,San Joaquin,NA,Unknown,Unknown,NA
4059,376002N1213333W002,04S06E08L002M,NA,37.6002,-121.333,Unknown,Unknown,5-022.07,Delta-Mendota,San Joaquin,NA,Unknown,Unknown,NA
4058,376032N1213583W001,04S06E07E001M,NA,37.6032,-121.358,Unknown,Unknown,5-022.07,Delta-Mendota,San Joaquin,NA,Unknown,Unknown,NA
6554,376096N1212753W001,04S06E02Q001M,NA,37.6096,-121.275,Unknown,Unknown,5-022.07,Delta-Mendota,San Joaquin,NA,Unknown,Unknown,NA
28688,376127N1213219W001,04S06E04N001M,NA,37.6127,-121.322,Unknown,Unknown,5-022.07,Delta-Mendota,San Joaquin,NA,Unknown,Unknown,NA
6552,376138N1213675W001,04S05E01L001M,NA,37.6138,-121.368,Unknown,Unknown,5-022.15,Tracy,San Joaquin,NA,Unknown,Unknown,NA
28689,376166N1213330W001,04S06E05G001M,NA,37.6166,-121.333,Unknown,Unknown,5-022.07,Delta-Mendota,San Joaquin,NA,Unknown,Unknown,NA
4054,376171N1213100W001,04S06E04H001M,NA,37.6171,-121.31,Unknown,Unknown,5-022.07,Delta-Mendota,San Joaquin,NA,Unknown,Unknown,NA
4053,376210N1213069W001,04S06E04A001M,NA,37.621,-121.307,Unknown,Unknown,5-022.07,Delta-Mendota,San Joaquin,NA,Unknown,Unknown,NA
4057,376230N1213433W001,04S06E06A001M,NA,37.623,-121.343,Unknown,Unknown,5-022.07,Delta-Mendota,San Joaquin,NA,Unknown,Unknown,NA
4056,376232N1213422W001,04S06E05D001M,NA,37.6232,-121.342,Unknown,Unknown,5-022.07,Delta-Mendota,San Joaquin,NA,Unknown,Unknown,NA
4055,376233N1213247W001,04S06E05A001M,NA,37.6233,-121.325,Unknown,Unknown,5-022.07,Delta-Mendota,San Joaquin,NA,Unknown,Unknown,NA
2437,376268N1213622W001,03S05E36R001M,NA,37.6268,-121.362,Unknown,Unknown,5-022.15,Tracy,San Joaquin,NA,Unknown,Unknown,NA
26674,376291N1213361W001,03S06E32L001M,NA,37.6291,-121.336,Unknown,Unknown,5-022.07,Delta-Mendota,San Joaquin,NA,Unknown,Unknown,NA
38007,376302N1213803W001,03S05E35J001M,NA,37.6302,-121.38,Unknown,Unknown,5-022.15,Tracy,San Joaquin,NA,Unknown,Unknown,NA
3133,376322N1213413W001,03S06E32E001M,03S06E32E001M,37.6322,-121.341,Unknown,Unknown,5-022.07,Delta-Mendota,San Joaquin,800,Unknown,Single Well,39-798
3134,376343N1213333W001,03S06E32G001M,NA,37.6343,-121.333,Unknown,Unknown,5-022.07,Delta-Mendota,San Joaquin,NA,Unknown,Unknown,NA
2436,376371N1213889W001,03S05E35B001M,NA,37.6371,-121.389,Unknown,Unknown,5-022.15,Tracy,San Joaquin,NA,Unknown,Unknown,NA
3129,376388N1213056W001,03S06E27N001M,03S06E27N001,37.6388,-121.306,Unknown,Unknown,5-022.15,Tracy,San Joaquin,300,Residential,Single Well,NA
3132,376388N1213233W001,03S06E28N001M,NA,37.6388,-121.323,Unknown,Unknown,5-022.15,Tracy,San Joaquin,128,Unknown,Unknown,NA
2434,376391N1213663W001,03S05E25Q001M,NA,37.6391,-121.366,Unknown,Unknown,5-022.07,Delta-Mendota,San Joaquin,NA,Unknown,Unknown,NA
53687,376429N1213651W001,NA,MP021.12L,37.6429,-121.365,Unknown,Unknown,5-022.07,Delta-Mendota,San Joaquin,NA,Unknown,Single Well,NA
3128,376443N1212717W001,03S06E26J001M,NA,37.6443,-121.272,Unknown,Unknown,5-022.15,Tracy,San Joaquin,NA,Unknown,Unknown,NA
26914,376444N1213980W001,03S05E26M001M,03S05E26M001M,37.6444,-121.398,Unknown,Unknown,5-022.15,Tracy,San Joaquin,782,Unknown,Single Well,39-778
2435,376452N1213883W001,03S05E26K001M,NA,37.6452,-121.388,Unknown,Unknown,5-022.15,Tracy,San Joaquin,NA,Unknown,Unknown,NA
39703,376470N1213162W001,03S06E28F003M,03S06E28F003M,37.647,-121.316,Unknown,Unknown,5-022.15,Tracy,San Joaquin,745,Unknown,Single Well,141770
3130,376471N1213172W001,03S06E28F001M,NA,37.6471,-121.317,Unknown,Unknown,5-022.15,Tracy,San Joaquin,NA,Unknown,Unknown,NA
3131,376480N1213172W001,03S06E28F002M,NA,37.648,-121.317,Unknown,Unknown,5-022.15,Tracy,San Joaquin,NA,Unknown,Unknown,NA
3127,376499N1212830W001,03S06E26C001M,NA,37.6499,-121.283,Unknown,Unknown,5-022.15,Tracy,San Joaquin,NA,Unknown,Unknown,NA
3126,376505N1212680W001,03S06E25D001M,NA,37.6505,-121.268,Unknown,Unknown,5-022.15,Tracy,San Joaquin,NA,Unknown,Unknown,NA
2429,376530N1214155W001,03S05E22N001M,NA,37.653,-121.416,Unknown,Unknown,5-022.07,Delta-Mendota,San Joaquin,NA,Unknown,Unknown,NA
2433,376535N1213786W001,03S05E24N001M,NA,37.6535,-121.379,Unknown,Unknown,5-022.07,Delta-Mendota,San Joaquin,NA,Unknown,Unknown,NA
3125,376541N1212583W001,03S06E24Q001M,NA,37.6541,-121.258,Unknown,Unknown,5-022.15,Tracy,San Joaquin,NA,Unknown,Unknown,NA
2432,376585N1213969W001,03S05E23M001M,NA,37.6585,-121.397,Unknown,Unknown,5-022.07,Delta-Mendota,San Joaquin,NA,Unknown,Unknown,NA
2426,376585N1214347W001,03S05E20J001M,NA,37.6585,-121.435,Unknown,Unknown,5-022.15,Tracy,San Joaquin,NA,Unknown,Unknown,NA
2428,376593N1214158W001,03S05E22M001M,NA,37.6593,-121.416,Unknown,Unknown,5-022.07,Delta-Mendota,San Joaquin,NA,Unknown,Unknown,NA
3124,376599N1212730W001,03S06E23J001M,NA,37.6599,-121.273,Unknown,Unknown,5-022.15,Tracy,San Joaquin,NA,Unknown,Unknown,NA
3123,376619N1212848W001,03S06E23C001M,03S06E23C001,37.6619,-121.285,Unknown,Unknown,5-022.15,Tracy,San Joaquin,NA,Irrigation,Single Well,NA
3122,376622N1212916W001,03S06E22H001M,NA,37.6622,-121.292,Unknown,Unknown,5-022.15,Tracy,San Joaquin,NA,Unknown,Unknown,NA
2430,376660N1213883W001,03S05E23B001M,NA,37.666,-121.388,Unknown,Unknown,5-022.07,Delta-Mendota,San Joaquin,NA,Unknown,Unknown,NA
2431,376660N1213967W001,03S05E23D001M,NA,37.666,-121.397,Unknown,Unknown,5-022.07,Delta-Mendota,San Joaquin,NA,Unknown,Unknown,NA
2427,376663N1214225W001,03S05E21B001M,NA,37.6663,-121.422,Unknown,Unknown,5-022.15,Tracy,San Joaquin,NA,Unknown,Unknown,NA
50728,376664N1214612W001,NA,Corral MW-7,37.6664,-121.461,GPS,0.1 ft.,5-022.15,Tracy,San Joaquin,430,Observation,Single Well,NA
3121,376668N1213019W001,03S06E22D001M,NA,37.6668,-121.302,Unknown,Unknown,5-022.07,Delta-Mendota,San Joaquin,NA,Unknown,Unknown,NA
3120,376668N1213258W001,03S06E20A001M,NA,37.6668,-121.326,Unknown,Unknown,5-022.15,Tracy,San Joaquin,NA,Unknown,Unknown,NA
3119,376674N1213583W001,03S06E18N001M,NA,37.6674,-121.358,Unknown,Unknown,5-022.15,Tracy,San Joaquin,NA,Unknown,Unknown,NA
49452,376674N1213612W001,03S06E18N002M,03S06E18N002M,37.6674,-121.361,Unknown,Unknown,5-022.15,Tracy,San Joaquin,NA,Residential,Single Well,NA
26920,376677N1213058W001,03S06E15N001M,NA,37.6677,-121.306,Unknown,Unknown,5-022.15,Tracy,San Joaquin,NA,Unknown,Unknown,NA
2425,376677N1214411W001,03S05E17Q001M,NA,37.6677,-121.441,Unknown,Unknown,5-022.15,Tracy,San Joaquin,NA,Unknown,Unknown,NA
2446,376680N1213139W001,03S06E16Q001M,NA,37.668,-121.314,Unknown,Unknown,5-022.15,Tracy,San Joaquin,NA,Unknown,Unknown,NA
27064,376680N1213267W001,03S06E17R001M,NA,37.668,-121.327,Unknown,Unknown,5-022.15,Tracy,San Joaquin,NA,Unknown,Unknown,NA
26673,376688N1213442W001,03S06E18R001M,NA,37.6688,-121.344,Unknown,Unknown,5-022.15,Tracy,San Joaquin,NA,Unknown,Unknown,NA
50725,376700N1214547W001,NA,Corral MW-4,37.67,-121.455,GPS,0.1 ft.,5-022.15,Tracy,San Joaquin,27,Observation,Single Well,NA
50726,376713N1214580W001,NA,Corral MW-5,37.6713,-121.458,GPS,0.1 ft.,5-022.15,Tracy,San Joaquin,87,Observation,Single Well,NA
50727,376713N1214581W001,NA,Corral MW-6,37.6713,-121.458,GPS,0.1 ft.,5-022.15,Tracy,San Joaquin,477,Observation,Single Well,NA
26875,376735N1214069W001,03S05E15K001M,NA,37.6735,-121.407,Unknown,Unknown,5-022.07,Delta-Mendota,San Joaquin,NA,Unknown,Unknown,NA
2422,376755N1214080W001,03S05E15F001M,NA,37.6755,-121.408,Unknown,Unknown,5-022.07,Delta-Mendota,San Joaquin,NA,Unknown,Unknown,NA
2424,376799N1214411W001,03S05E17B001M,NA,37.6799,-121.441,Unknown,Unknown,5-022.15,Tracy,San Joaquin,NA,Unknown,Unknown,NA
2421,376805N1214150W001,03S05E15D001M,NA,37.6805,-121.415,Unknown,Unknown,5-022.07,Delta-Mendota,San Joaquin,NA,Unknown,Unknown,NA
26672,376810N1213508W001,03S06E18B001M,NA,37.681,-121.351,Unknown,Unknown,5-022.15,Tracy,San Joaquin,NA,Unknown,Unknown,NA
2423,376810N1214253W001,03S05E16B001M,NA,37.681,-121.425,Unknown,Unknown,5-022.15,Tracy,San Joaquin,NA,Unknown,Unknown,NA
2447,376813N1213336W001,03S06E17B001M,NA,37.6813,-121.334,Unknown,Unknown,5-022.15,Tracy,San Joaquin,NA,Unknown,Unknown,NA
26873,376818N1214167W001,03S05E09R001M,NA,37.6818,-121.417,Unknown,Unknown,5-022.15,Tracy,San Joaquin,NA,Unknown,Unknown,NA
26872,376821N1214353W001,03S05E08R002M,NA,37.6821,-121.435,Unknown,Unknown,5-022.15,Tracy,San Joaquin,NA,Unknown,Unknown,NA
2417,376827N1214369W001,03S05E08R001M,NA,37.6827,-121.437,Unknown,Unknown,5-022.15,Tracy,San Joaquin,NA,Unknown,Unknown,NA
26919,376838N1213372W001,03S06E08P001M,NA,37.6838,-121.337,Unknown,Unknown,5-022.15,Tracy,San Joaquin,NA,Unknown,Unknown,NA
2419,376843N1214339W001,03S05E09N001M,NA,37.6843,-121.434,Unknown,Unknown,5-022.15,Tracy,San Joaquin,NA,Unknown,Unknown,NA
2420,376855N1213636W001,03S05E12J001M,NA,37.6855,-121.364,Unknown,Unknown,5-022.15,Tracy,San Joaquin,NA,Unknown,Unknown,NA
