STN_ID,SITE_CODE,SWN,WELL_NAME,LATITUDE,LONGITUDE,WLM_METHOD,WLM_ACC,BASIN_CODE,BASIN_NAME,COUNTY_NAME,WELL_DEPTH,WELL_USE,WELL_TYPE,WCR_NO
14515,349075N1195236W001,10N25W35F001S,NA,34.9075,-119.524,Unknown,Unknown,3-013,Cuyama Valley,San Luis Obispo,NA,Unknown,Unknown,NA
32411,349130N1195350W001,10N25W27R001S,NA,34.913,-119.535,Unknown,Unknown,3-013,Cuyama Valley,San Luis Obispo,NA,Unknown,Unknown,NA
38827,349131N1195309W001,10N25W27R002S,NA,34.9131,-119.531,Unknown,Unknown,3-013,Cuyama Valley,San Luis Obispo,NA,Unknown,Unknown,NA
14511,349178N1195134W001,10N25W25M003S,NA,34.9178,-119.513,Unknown,Unknown,3-013,Cuyama Valley,San Luis Obispo,NA,Unknown,Unknown,NA
32409,349191N1195092W001,10N25W25M004S,NA,34.9191,-119.509,Unknown,Unknown,3-013,Cuyama Valley,San Luis Obispo,NA,Unknown,Unknown,NA
14513,349200N1195411W001,10N25W27G001S,NA,34.92,-119.541,Unknown,Unknown,3-013,Cuyama Valley,San Luis Obispo,NA,Unknown,Unknown,NA
14514,349233N1195409W001,10N25W27G002S,NA,34.9233,-119.541,Unknown,Unknown,3-013,Cuyama Valley,San Luis Obispo,NA,Unknown,Unknown,NA
14512,349264N1195200W001,10N25W26B001S,NA,34.9264,-119.52,Unknown,Unknown,3-013,Cuyama Valley,San Luis Obispo,NA,Unknown,Unknown,NA
32410,349266N1195231W001,10N25W26C001S,NA,34.9266,-119.523,Unknown,Unknown,3-013,Cuyama Valley,San Luis Obispo,NA,Unknown,Unknown,NA
50523,349272N1195561W001,10N25W21Q002M,105,34.9872,-119.556,GPS,Unknown,NA,NA,San Luis Obispo,695,Unknown,Single Well,NA
54173,349272N1195561W002,NA,721,34.9272,-119.556,Digital Elevation Model,Unknown,3-013,Cuyama Valley,San Luis Obispo,NA,Unknown,Single Well,NA
14509,349272N1195595W001,10N25W21Q001S,NA,34.9272,-119.559,Unknown,Unknown,3-013,Cuyama Valley,San Luis Obispo,NA,Unknown,Unknown,NA
25939,349280N1202937W001,10N32W19M001S,NA,34.928,-120.294,Unknown,Unknown,3-012.01,Santa Maria,San Luis Obispo,NA,Unknown,Unknown,NA
50522,349334N1195860W001,10N25W19J002M,104,34.9333,-119.586,GPS,Unknown,3-013,Cuyama Valley,San Luis Obispo,640,Unknown,Single Well,NA
24666,349344N1195564W001,10N25W21G001S,NA,34.9344,-119.556,Unknown,Unknown,3-013,Cuyama Valley,San Luis Obispo,NA,Unknown,Unknown,NA
54138,349344N1195580W001,NA,635,34.9344,-119.558,Digital Elevation Model,Unknown,3-013,Cuyama Valley,San Luis Obispo,1050,Irrigation,Single Well,NA
32407,349344N1195639W001,10N25W21E001S,NA,34.9344,-119.564,Unknown,Unknown,3-013,Cuyama Valley,San Luis Obispo,NA,Unknown,Unknown,NA
14508,349344N1195686W001,10N25W20H001S,NA,34.9344,-119.569,Unknown,Unknown,3-013,Cuyama Valley,San Luis Obispo,NA,Unknown,Unknown,NA
54135,349345N1195392W001,NA,630,34.9345,-119.539,Digital Elevation Model,Unknown,3-013,Cuyama Valley,San Luis Obispo,900,Irrigation,Single Well,NA
54139,349345N1195624W001,NA,636,34.9345,-119.562,Digital Elevation Model,Unknown,3-013,Cuyama Valley,San Luis Obispo,924,Irrigation,Single Well,NA
54134,349348N1195302W001,NA,629,34.9348,-119.53,Digital Elevation Model,Unknown,3-013,Cuyama Valley,San Luis Obispo,1000,Irrigation,Single Well,NA
54124,349348N1195718W001,NA,613,34.9348,-119.572,Digital Elevation Model,Unknown,3-013,Cuyama Valley,San Luis Obispo,830,Irrigation,Single Well,NA
54125,349349N1195681W001,NA,614,34.9348,-119.568,Digital Elevation Model,Unknown,3-013,Cuyama Valley,San Luis Obispo,745,Irrigation,Single Well,NA
54133,349363N1195260W001,NA,628,34.9363,-119.526,Digital Elevation Model,Unknown,3-013,Cuyama Valley,San Luis Obispo,941,Irrigation,Single Well,NA
14510,349366N1195270W001,10N25W23E001S,NA,34.9366,-119.527,Unknown,Unknown,3-013,Cuyama Valley,San Luis Obispo,NA,Unknown,Unknown,NA
54136,349374N1195343W001,NA,631,34.9374,-119.534,Digital Elevation Model,Unknown,3-013,Cuyama Valley,San Luis Obispo,960,Irrigation,Single Well,NA
32408,349375N1195109W001,10N25W24E001S,NA,34.9375,-119.511,Unknown,Unknown,3-013,Cuyama Valley,San Luis Obispo,NA,Unknown,Unknown,NA
54137,349375N1195433W001,NA,633,34.9375,-119.543,Digital Elevation Model,Unknown,3-013,Cuyama Valley,San Luis Obispo,1000,Irrigation,Single Well,NA
54128,349383N1195814W001,NA,619,34.9382,-119.581,Digital Elevation Model,Unknown,3-013,Cuyama Valley,San Luis Obispo,1040,Irrigation,Single Well,NA
32406,349400N1195953W001,10N25W19C001S,NA,34.94,-119.595,Unknown,Unknown,3-013,Cuyama Valley,San Luis Obispo,NA,Unknown,Unknown,NA
54123,349405N1195942W001,NA,612,34.9405,-119.594,Digital Elevation Model,Unknown,3-013,Cuyama Valley,San Luis Obispo,1070,Irrigation,Single Well,NA
32403,349411N1194831W001,10N24W19F001S,NA,34.9411,-119.483,Unknown,Unknown,3-013,Cuyama Valley,San Luis Obispo,NA,Unknown,Unknown,NA
14506,349416N1195359W001,10N25W15Q002S,NA,34.9416,-119.536,Unknown,Unknown,3-013,Cuyama Valley,San Luis Obispo,NA,Unknown,Unknown,NA
54126,349418N1195676W001,NA,615,34.9418,-119.568,Digital Elevation Model,Unknown,3-013,Cuyama Valley,San Luis Obispo,865,Irrigation,Single Well,NA
54131,349420N1195866W001,NA,623,34.942,-119.587,Digital Elevation Model,Unknown,3-013,Cuyama Valley,San Luis Obispo,1040,Irrigation,Single Well,NA
14505,349450N1195181W001,10N25W14Q001S,NA,34.945,-119.518,Unknown,Unknown,3-013,Cuyama Valley,San Luis Obispo,NA,Unknown,Unknown,NA
54142,349452N1196048W001,NA,640,34.9452,-119.605,Digital Elevation Model,Unknown,3-013,Cuyama Valley,San Luis Obispo,840,Irrigation,Single Well,NA
14507,349455N1195728W001,10N25W17K001S,NA,34.9455,-119.573,Unknown,Unknown,3-013,Cuyama Valley,San Luis Obispo,NA,Unknown,Unknown,NA
25930,349462N1195837W001,10N25W18J002S,NA,34.9462,-119.584,Unknown,Unknown,3-013,Cuyama Valley,San Luis Obispo,NA,Unknown,Unknown,NA
