STN_ID,SITE_CODE,SWN,WELL_NAME,LATITUDE,LONGITUDE,WLM_METHOD,WLM_ACC,BASIN_CODE,BASIN_NAME,COUNTY_NAME,WELL_DEPTH,WELL_USE,WELL_TYPE,WCR_NO
31294,372511N1223703W001,08S05W11M001M,NA,37.2511,-122.37,Unknown,Unknown,2-026,Pescadero Valley,San Mateo,36,Residential,Unknown,NA
31293,372520N1223784W001,08S05W10K001M,NA,37.252,-122.378,Unknown,Unknown,2-026,Pescadero Valley,San Mateo,NA,Residential,Unknown,NA
31292,372540N1223950W001,08S05W09H001M,NA,37.254,-122.395,Unknown,Unknown,2-026,Pescadero Valley,San Mateo,NA,Unknown,Unknown,NA
10632,372551N1223851W001,08S05W10F001M,NA,37.2551,-122.385,Unknown,Unknown,2-026,Pescadero Valley,San Mateo,NA,Residential,Unknown,NA
10633,372571N1223732W001,08S05W10H001M,NA,37.2571,-122.373,Unknown,Unknown,NA,NA,San Mateo,NA,Irrigation,Unknown,NA
46280,373052N1222921W001,05S06W11F003M,Well Number 6,37.5144,-122.489,Surveyed to a benchmark,Unknown,2-022,Half Moon Bay Terrace,San Mateo,103,Observation,Single Well,111708
30924,373253N1223870W001,07S05W15E002M,NA,37.3253,-122.387,Unknown,Unknown,2-024,San Gregorio Valley,San Mateo,44,Residential,Unknown,NA
52976,373276N1223881W002,07S05W15C500M,NA,37.3276,-122.388,Unknown,Unknown,NA,NA,San Mateo,60,Residential,Single Well,E0190585
8400,373277N1223879W001,07S05W15C001M,NA,37.3277,-122.388,Unknown,Unknown,NA,NA,San Mateo,85,Irrigation,Unknown,NA
55137,374510N1221943W002,NA,46 Sacred Heart,37.451,-122.194,Digital Elevation Model,2.5 ft,2-009.03,San Mateo Plain,San Mateo,450,Irrigation,Single Well,NA
7008,374517N1224295W001,05S05W32K001M,NA,37.4517,-122.43,Unknown,Unknown,2-022,Half Moon Bay Terrace,San Mateo,38,Unknown,Unknown,NA
55141,374577N1221349W002,NA,107 Pad D,37.4577,-122.135,Digital Elevation Model,2.5 ft,2-009.03,San Mateo Plain,San Mateo,550,Observation,Single Well,e0231330
55135,374605N1221688W002,NA,23 St. Patrick's,37.4605,-122.169,GPS with WAAS,0.1 ft.,2-009.03,San Mateo Plain,San Mateo,450,Irrigation,Single Well,120886
40046,374643N1224317W001,05S05W29P001M,Pilarcitos Creek W1,37.4643,-122.432,Unknown,Unknown,2-022,Half Moon Bay Terrace,San Mateo,84,Irrigation,Single Well,20202
7007,374651N1224410W001,05S05W29N001M,NA,37.4651,-122.441,Unknown,Unknown,2-022,Half Moon Bay Terrace,San Mateo,82,Unknown,Unknown,NA
55144,374657N1221866W002,NA,151 Encinal,37.4657,-122.187,Digital Elevation Model,2.5 ft,2-009.03,San Mateo Plain,San Mateo,200,Irrigation,Single Well,227964
55138,374664N1221481W002,NA,61 PAPMWC #7,37.4664,-122.148,GPS with WAAS,2.5 ft,2-009.03,San Mateo Plain,San Mateo,490,Other,Single Well,428850
7006,374700N1224326W001,05S05W29F004M,NA,37.47,-122.433,Unknown,Unknown,2-022,Half Moon Bay Terrace,San Mateo,NA,Irrigation,Unknown,NA
55140,374717N1221421W002,NA,106 Gloria,37.4717,-122.142,Surveyed to a benchmark,0.1 ft.,2-009.03,San Mateo Plain,San Mateo,334,Other,Single Well,134143
7005,374806N1224456W001,05S05W19J002M,NA,37.4806,-122.446,Unknown,Unknown,2-022,Half Moon Bay Terrace,San Mateo,NA,Unknown,Unknown,NA
7004,374833N1224430W001,05S05W19H001M,NA,37.4833,-122.443,Unknown,Unknown,2-022,Half Moon Bay Terrace,San Mateo,105,Unknown,Unknown,38256
40008,374845N1224391W001,05S05W20E001M,Frenchmans Creek  W1,37.4845,-122.439,Unknown,Unknown,2-022,Half Moon Bay Terrace,San Mateo,110,Irrigation,Single Well,107505
55136,374846N1222336W002,NA,32 Sequoia,37.4846,-122.234,Digital Elevation Model,2.5 ft,2-009.03,San Mateo Plain,San Mateo,280,Irrigation,Single Well,346276
55146,374907N1222309W002,NA,153 County Center,37.4907,-122.231,Digital Elevation Model,2.5 ft,2-009.03,San Mateo Plain,San Mateo,195,Irrigation,Single Well,419354
55139,374957N1221750W002,NA,78 WBSD #3,37.4957,-122.175,Digital Elevation Model,2.5 ft,2-009.03,San Mateo Plain,San Mateo,300,Industrial,Single Well,41-113
