STN_ID,SITE_CODE,SWN,WELL_NAME,LATITUDE,LONGITUDE,WLM_METHOD,WLM_ACC,BASIN_CODE,BASIN_NAME,COUNTY_NAME,WELL_DEPTH,WELL_USE,WELL_TYPE,WCR_NO
46477,343872N1194754W001,04N25W35E001S,35E1,34.3872,-119.475,USGS quad,2.5 ft,3-018,Carpinteria,Santa Barbara,385,Observation,Single Well,NA
46605,343883N1194827W001,04N25W34G001S,34G1,34.3883,-119.483,USGS quad,2.5 ft,3-018,Carpinteria,Santa Barbara,279,Irrigation,Single Well,278817
46473,343948N1194866W001,04N25W27Q006S,27Q6,34.3948,-119.487,USGS quad,2.5 ft,3-018,Carpinteria,Santa Barbara,580,Observation,Single Well,NA
46474,343985N1195095W001,04N25W28M001S,28M1,34.3985,-119.51,USGS quad,2.5 ft,3-018,Carpinteria,Santa Barbara,152,Observation,Single Well,NA
46475,344007N1195134W001,04N25W29H002S,29H2,34.4007,-119.513,USGS quad,2.5 ft,3-018,Carpinteria,Santa Barbara,98,Observation,Single Well,NA
46471,344038N1194633W001,04N25W26A001S,26A1,34.4038,-119.463,USGS quad,2.5 ft,3-018,Carpinteria,Santa Barbara,480,Observation,Single Well,NA
46472,344054N1194698W001,04N25W26C001S,26C1,34.4054,-119.47,USGS quad,2.5 ft,3-018,Carpinteria,Santa Barbara,250,Observation,Single Well,NA
46476,344055N1195443W001,04N25W30D001S,30D1,34.4055,-119.544,USGS quad,2.5 ft,3-018,Carpinteria,Santa Barbara,210,Observation,Single Well,NA
46469,344075N1195124W001,04N25W21N001S,21N1,34.4075,-119.512,USGS quad,2.5 ft,3-018,Carpinteria,Santa Barbara,405,Observation,Single Well,NA
46468,344122N1195332W001,04N25W19J005S,19J5,34.4122,-119.533,USGS quad,2.5 ft,3-018,Carpinteria,Santa Barbara,100,Observation,Single Well,NA
