STN_ID,SITE_CODE,SWN,WELL_NAME,LATITUDE,LONGITUDE,WLM_METHOD,WLM_ACC,BASIN_CODE,BASIN_NAME,COUNTY_NAME,WELL_DEPTH,WELL_USE,WELL_TYPE,WCR_NO
47695,369296N1215465W001,11S04E32R002M,11S04E32R002,36.9296,-121.547,Unknown,Unknown,3-003.01,Llagas Area,Santa Clara,170,Observation,Single Well,NA
52357,369483N1215360W001,11S04E28K002M,11S04E28K002,36.9483,-121.536,Surveyed,0.1 ft.,3-003.01,Llagas Area,Santa Clara,100,Observation,Single Well,E019176
47694,369486N1215359W001,11S04E28K001M,11S04E28K001,36.9486,-121.536,Surveyed,0.1 ft.,3-003.01,Llagas Area,Santa Clara,335,Observation,Single Well,e019174
52356,369654N1215318W001,11S04E21G003M,11S04E21G003,36.9654,-121.532,Surveyed,0.1 ft.,3-003.01,Llagas Area,Santa Clara,89,Observation,Single Well,823888
52355,369767N1215123W001,11S04E15J003M,11S04E15J003,36.9767,-121.512,Surveyed,0.1 ft.,3-003.01,Llagas Area,Santa Clara,53,Observation,Single Well,755614
47693,369871N1215282W001,11S04E10N001M,11S04E10N001,36.9871,-121.528,Surveyed,0.1 ft.,3-003.01,Llagas Area,Santa Clara,550,Observation,Single Well,e019173
52354,369922N1215320W001,11S04E09J003M,11S04E09J003,36.9922,-121.532,Surveyed to a benchmark,0.1 ft.,3-003.01,Llagas Area,Santa Clara,40,Observation,Single Well,NA
47692,369922N1215757W001,11S04E07F004M,11S04E07F004,36.9922,-121.576,Surveyed,0.1 ft.,3-003.01,Llagas Area,Santa Clara,200,Observation,Single Well,e019172
52353,370022N1215370W001,11S04E04Q012M,11S04E04Q012,37.0022,-121.537,Surveyed to a benchmark,0.1 ft.,3-003.01,Llagas Area,Santa Clara,39,Observation,Single Well,NA
47691,370081N1215406W001,11S04E05H002M,11S04E05H002,37.0081,-121.541,Surveyed,0.1 ft.,3-003.01,Llagas Area,Santa Clara,260,Observation,Single Well,295107
52352,370082N1215405W001,11S04E04F007M,11S04E04F007,37.0082,-121.541,Surveyed to a benchmark,0.1 ft.,3-003.01,Llagas Area,Santa Clara,55,Observation,Single Well,823889
47690,370092N1215580W001,11S04E05F001M,11S04E05F001,37.0092,-121.558,Surveyed,0.1 ft.,3-003.01,Llagas Area,Santa Clara,107,Observation,Single Well,NA
52351,370113N1215167W001,11S04E03G005M,11S04E03G005,37.0113,-121.517,Surveyed to a benchmark,0.1 ft.,3-003.01,Llagas Area,Santa Clara,86,Observation,Single Well,823885
52775,370132N1213464W002,NA,CalFire Pacheco No 2,37.0132,-121.346,GPS,10 ft.,3-003.05,North San Benito,Santa Clara,NA,Residential,Single Well,E0286561
52350,370148N1215633W001,10S04E32N003M,10S04E32N003,37.0148,-121.563,Surveyed,0.1 ft.,3-003.01,Llagas Area,Santa Clara,0,Observation,Single Well,NA
47689,370316N1215433W001,10S04E28N006M,10S04E28N006,37.0316,-121.543,Surveyed,0.1 ft.,3-003.01,Llagas Area,Santa Clara,572,Observation,Single Well,e019169
47688,370331N1215434W001,10S04E28M005M,10S04E28M005,37.0331,-121.543,Surveyed,0.1 ft.,3-003.01,Llagas Area,Santa Clara,60,Observation,Single Well,755613
47687,370357N1215958W001,10S03E25F001M,10S03E25F001,37.0357,-121.596,Surveyed,0.1 ft.,3-003.01,Llagas Area,Santa Clara,145,Observation,Single Well,e019167
52349,370503N1215519W001,10S04E20G008M,10S04E20G008,37.0503,-121.552,Surveyed,0.1 ft.,3-003.01,Llagas Area,Santa Clara,90,Observation,Single Well,730526
52347,370670N1216007W001,10S03E13E006M,10S03E13E006,37.067,-121.601,Surveyed,0.1 ft.,3-003.01,Llagas Area,Santa Clara,52,Observation,Single Well,708681
52348,370675N1215949W001,10S03E13F005M,10S03E13F005,37.0675,-121.595,Surveyed,0.1 ft.,3-003.01,Llagas Area,Santa Clara,52,Observation,Single Well,708423
47686,370881N1216003W001,10S03E01N005M,10S03E01N005,37.0881,-121.6,Unknown,Unknown,3-003.01,Llagas Area,Santa Clara,132,Observation,Single Well,NA
52346,371134N1216134W001,09S03E35C011M,09S03E35C011,37.1134,-121.613,Surveyed to a benchmark,0.1 ft.,3-003.01,Llagas Area,Santa Clara,91,Observation,Single Well,823884
47684,371343N1216641W001,09S03E20K003M,09S03E20K003,37.1343,-121.664,Unknown,Unknown,3-003.01,Llagas Area,Santa Clara,100,Observation,Single Well,e019171
47685,371357N1216158W001,09S03E23L005M,09S03E23L005,37.1357,-121.616,Unknown,Unknown,3-003.01,Llagas Area,Santa Clara,25,Observation,Single Well,708432
47681,371489N1216307W001,09S03E15L013M,09S03E15L013,37.1489,-121.631,Unknown,Unknown,3-003.01,Llagas Area,Santa Clara,200,Observation,Single Well,NA
47682,371521N1216501W001,09S03E16F002M,09S03E16F002,37.1521,-121.65,Surveyed,0.1 ft.,2-009.02,Santa Clara,Santa Clara,520,Observation,Single Well,e027978
47683,371562N1216707W001,09S03E17D004M,09S03E17D004,37.1562,-121.671,Surveyed,0.1 ft.,2-009.02,Santa Clara,Santa Clara,232,Observation,Single Well,NA
47680,371583N1216426W001,09S03E09R004M,09S03E09R004,37.1583,-121.643,Surveyed,0.1 ft.,2-009.02,Santa Clara,Santa Clara,380,Observation,Single Well,795980
52345,371583N1216426W002,09S03E09R005M,09S03E09R005,37.1583,-121.643,Surveyed,0.1 ft.,2-009.02,Santa Clara,Santa Clara,570,Observation,Single Well,795981
47679,371790N1216958W001,09S02E01J006M,09S02E01J006,37.179,-121.696,Unknown,Unknown,2-009.02,Santa Clara,Santa Clara,165,Observation,Single Well,e028150
47678,371919N1217076W001,08S02E36M007M,08S02E36M007,37.1919,-121.708,Unknown,Unknown,2-009.02,Santa Clara,Santa Clara,120,Observation,Single Well,e032946
47671,372016N1218171W001,08S01E25N003M,08S01E25N003,37.2016,-121.817,Surveyed,0.1 ft.,2-009.02,Santa Clara,Santa Clara,90,Observation,Single Well,202217
47677,372237N1217459W001,08S02E22E002M,08S02E22E002,37.2237,-121.746,Unknown,Unknown,2-009.02,Santa Clara,Santa Clara,110,Observation,Single Well,0920540
47673,372341N1217571W001,08S02E16K001M,08S02E16K001,37.2341,-121.757,Unknown,Unknown,NA,NA,Santa Clara,223,Observation,Single Well,772690
47676,372361N1217940W001,08S02E18L001M,08S02E18L001,37.2361,-121.794,Surveyed,0.1 ft.,2-009.02,Santa Clara,Santa Clara,200,Observation,Single Well,NA
47674,372385N1217981W001,08S02E18F016M,08S02E18F016,37.2385,-121.798,Unknown,Unknown,2-009.02,Santa Clara,Santa Clara,179,Observation,Single Well,274887
47675,372396N1217939W001,08S02E18G010M,08S02E18G010,37.2396,-121.794,Unknown,Unknown,2-009.02,Santa Clara,Santa Clara,178,Observation,Single Well,266864
47670,372421N1218495W001,08S01E15C007M,08S01E15C007,37.2421,-121.849,Unknown,Unknown,2-009.02,Santa Clara,Santa Clara,435,Observation,Single Well,NA
47667,372447N1218862W001,08S01E08P003M,08S01E08P003,37.2447,-121.886,Unknown,Unknown,2-009.02,Santa Clara,Santa Clara,225,Observation,Single Well,NA
47668,372457N1218802W001,08S01E08R001M,08S01E08R001,37.2457,-121.88,Unknown,Unknown,2-009.02,Santa Clara,Santa Clara,226,Observation,Single Well,NA
47669,372470N1218400W001,08S01E11N001M,08S01E11N001,37.247,-121.84,Unknown,Unknown,2-009.02,Santa Clara,Santa Clara,157,Observation,Single Well,NA
47665,372471N1219000W001,08S01E07Q003M,08S01E07Q003,37.2471,-121.9,Unknown,Unknown,2-009.02,Santa Clara,Santa Clara,200,Observation,Single Well,NA
47666,372522N1218787W001,08S01E08H004M,08S01E08H004,37.2522,-121.879,Unknown,Unknown,2-009.02,Santa Clara,Santa Clara,227,Observation,Single Well,NA
47672,372624N1219572W001,08S01W03K013M,08S01W03K013,37.2624,-121.957,Unknown,Unknown,2-009.02,Santa Clara,Santa Clara,94,Observation,Single Well,NA
47652,372767N1219439W001,07S01W35L013M,07S01W35L013,37.2767,-121.944,Surveyed,0.1 ft.,2-009.02,Santa Clara,Santa Clara,530,Observation,Part of a nested/multi-completion well,772118
47653,372767N1219439W002,07S01W35L014M,07S01W35L014,37.2767,-121.944,Surveyed,0.1 ft.,2-009.02,Santa Clara,Santa Clara,410,Observation,Part of a nested/multi-completion well,772119
47654,372767N1219439W003,07S01W35L015M,07S01W35L015,37.2767,-121.944,Surveyed,0.1 ft.,2-009.02,Santa Clara,Santa Clara,300,Observation,Part of a nested/multi-completion well,772120
47655,372767N1219439W004,07S01W35L016M,07S01W35L016,37.2767,-121.944,Surveyed,0.1 ft.,2-009.02,Santa Clara,Santa Clara,180,Observation,Part of a nested/multi-completion well,772121
47656,372767N1219439W005,07S01W35L017M,07S01W35L017,37.2767,-121.944,Surveyed,0.1 ft.,2-009.02,Santa Clara,Santa Clara,850,Observation,Part of a nested/multi-completion well,772117
52344,372797N1218361W001,07S01E35L004M,07S01E35L004,37.2797,-121.836,Surveyed to a benchmark,0.1 ft.,2-009.02,Santa Clara,Santa Clara,228,Observation,Single Well,238866
52343,372798N1218360W001,07S01E35E003M,07S01E35E003,37.2798,-121.836,Surveyed to a benchmark,0.1 ft.,2-009.02,Santa Clara,Santa Clara,147,Observation,Part of a nested/multi-completion well,174847
47635,372833N1218135W001,07S01E36G003M,07S01E36G003,37.2833,-121.814,Surveyed,0.1 ft.,2-009.02,Santa Clara,Santa Clara,134,Observation,Single Well,NA
47634,372846N1218818W001,07S01E32B001M,07S01E32B001,37.2846,-121.882,Unknown,Unknown,2-009.02,Santa Clara,Santa Clara,250,Observation,Single Well,NA
47633,372906N1218812W001,07S01E29Q001M,07S01E29Q001,37.2906,-121.881,Unknown,Unknown,2-009.02,Santa Clara,Santa Clara,154,Observation,Single Well,NA
47632,372916N1218802W001,07S01E29J007M,07S01E29J007,37.2916,-121.88,Unknown,Unknown,2-009.02,Santa Clara,Santa Clara,190,Observation,Single Well,NA
47646,372938N1219233W001,07S01W25L001M,07S01W25L001,37.2938,-121.923,Surveyed,0.1 ft.,2-009.02,Santa Clara,Santa Clara,404,Observation,Single Well,NA
47651,373003N1220143W001,07S01W30C002M,07S01W30C002,37.3003,-122.014,Surveyed,0.1 ft.,2-009.02,Santa Clara,Santa Clara,620,Observation,Single Well,NA
47647,373008N1219975W001,07S01W29C003M,07S01W29C003,37.3008,-121.998,Surveyed,0.1 ft.,2-009.02,Santa Clara,Santa Clara,1000,Observation,Part of a nested/multi-completion well,795781
47648,373008N1219975W002,07S01W29C004M,07S01W29C004,37.3008,-121.998,Surveyed,0.1 ft.,2-009.02,Santa Clara,Santa Clara,550,Observation,Part of a nested/multi-completion well,795782
47649,373008N1219975W003,07S01W29C005M,07S01W29C005,37.3008,-121.998,Surveyed,0.1 ft.,2-009.02,Santa Clara,Santa Clara,380,Observation,Part of a nested/multi-completion well,795783
