STN_ID,SITE_CODE,SWN,WELL_NAME,LATITUDE,LONGITUDE,WLM_METHOD,WLM_ACC,BASIN_CODE,BASIN_NAME,COUNTY_NAME,WELL_DEPTH,WELL_USE,WELL_TYPE,WCR_NO
46843,368683N1218167W001,NA,PV3S,36.8683,-121.817,GPS,Unknown,3-002.01,Pajaro Valley,Santa Cruz,170,Observation,Part of a nested/multi-completion well,244112
46844,368683N1218167W002,NA,PV3M,36.8683,-121.817,GPS,Unknown,3-002.01,Pajaro Valley,Santa Cruz,270,Observation,Part of a nested/multi-completion well,244112
46845,368683N1218167W003,NA,PV3D,36.8683,-121.817,GPS,Unknown,3-002.01,Pajaro Valley,Santa Cruz,606,Observation,Part of a nested/multi-completion well,244112
46848,368831N1217967W001,NA,PV6S,36.8831,-121.797,GPS,Unknown,3-002.01,Pajaro Valley,Santa Cruz,180,Observation,Part of a nested/multi-completion well,244114
46849,368831N1217967W002,NA,PV6SM,36.8831,-121.797,GPS,Unknown,3-002.01,Pajaro Valley,Santa Cruz,280,Observation,Part of a nested/multi-completion well,244114
46850,368831N1217967W003,NA,PV6MD,36.8831,-121.797,GPS,Unknown,3-002.01,Pajaro Valley,Santa Cruz,663,Observation,Part of a nested/multi-completion well,244114
46851,368831N1217967W004,NA,PV6D,36.8831,-121.797,GPS,Unknown,3-002.01,Pajaro Valley,Santa Cruz,750,Observation,Part of a nested/multi-completion well,244114
46855,368881N1218136W001,NA,PV11,36.8881,-121.814,Unknown,Unknown,3-002.01,Pajaro Valley,Santa Cruz,117,Observation,Single Well,0
46838,368903N1218193W001,NA,HSPDMW1,36.8903,-121.819,Unknown,Unknown,3-002.01,Pajaro Valley,Santa Cruz,260,Observation,Single Well,e048135
46840,368975N1218364W001,NA,PV1S,36.8975,-121.836,GPS,Unknown,3-002.01,Pajaro Valley,Santa Cruz,90,Observation,Part of a nested/multi-completion well,244111
46841,368975N1218364W002,NA,PV1M,36.8975,-121.836,GPS,Unknown,3-002.01,Pajaro Valley,Santa Cruz,230,Observation,Part of a nested/multi-completion well,244111
46842,368975N1218364W003,NA,PV1D,36.8975,-121.836,GPS,Unknown,3-002.01,Pajaro Valley,Santa Cruz,270,Observation,Part of a nested/multi-completion well,244111
46852,368986N1218194W001,NA,PV8S,36.8986,-121.819,GPS,Unknown,3-002.01,Pajaro Valley,Santa Cruz,200,Observation,Part of a nested/multi-completion well,244115
