STN_ID,SITE_CODE,SWN,WELL_NAME,LATITUDE,LONGITUDE,WLM_METHOD,WLM_ACC,BASIN_CODE,BASIN_NAME,COUNTY_NAME,WELL_DEPTH,WELL_USE,WELL_TYPE,WCR_NO
36575,403779N1224376W001,29N05W09L001M,29N05W09L001M,40.3779,-122.438,USGS quad,5 ft.,5-006.03,Anderson,Shasta,140,Residential,Single Well,10005
39951,403884N1224706W001,29N05W07B001M,29N05W07B001M,40.3884,-122.471,Unknown,Unknown,5-006.03,Anderson,Shasta,450,Irrigation,Single Well,DWR
23963,403886N1223902W001,29N05W11A002M,29N05W11A002M,40.3885,-122.39,USGS quad,5 ft.,5-006.03,Anderson,Shasta,360,Irrigation,Single Well,18447
51658,403893N1224070W001,NA,Well 1,40.3893,-122.407,GPS,5 ft.,5-006.03,Anderson,Shasta,450,Other,Single Well,428848
36571,403904N1222472W001,29N03W06P001M,29N03W06P001M,40.3904,-122.247,Unknown,Unknown,5-006.03,Anderson,Shasta,69,Residential,Single Well,NA
23958,403908N1222878W001,29N04W02P001M,29N04W02P001M,40.3908,-122.288,USGS quad,5 ft.,5-006.03,Anderson,Shasta,425,Other,Single Well,8178
39529,403908N1223351W001,29N04W05Q001M,29N04W05Q001M,40.3908,-122.335,Unknown,Unknown,5-006.03,Anderson,Shasta,152,Residential,Single Well,65867
23957,403919N1222632W001,29N04W01Q001M,29N04W01Q001M,40.3919,-122.263,Unknown,Unknown,5-006.03,Anderson,Shasta,100,Residential,Single Well,330631
36572,403924N1223124W001,29N04W04R003M,29N04W04R003M,40.3924,-122.312,Unknown,Unknown,5-006.03,Anderson,Shasta,96,Residential,Single Well,116443
24661,403929N1222944W001,29N04W03R002M,29N04W03R002M,40.3929,-122.294,Surveyed to a benchmark,0.1 ft.,5-006.03,Anderson,Shasta,917,Observation,Part of a nested/multi-completion well,E0112995E
24662,403929N1222945W001,29N04W03R003M,29N04W03R003M,40.3929,-122.294,Surveyed to a benchmark,0.1 ft.,5-006.03,Anderson,Shasta,696,Observation,Part of a nested/multi-completion well,E0112995D
38210,403929N1222945W002,29N04W03R004M,29N04W03R004M,40.3929,-122.294,Surveyed to a benchmark,0.1 ft.,5-006.03,Anderson,Shasta,438,Observation,Part of a nested/multi-completion well,E0112995C
25259,403929N1222945W003,29N04W03R005M,29N04W03R005M,40.3929,-122.294,Surveyed to a benchmark,0.1 ft.,5-006.03,Anderson,Shasta,254,Observation,Part of a nested/multi-completion well,E0112995B
24663,403929N1222945W004,29N04W03R006M,29N04W03R006M,40.3929,-122.294,Surveyed to a benchmark,0.1 ft.,5-006.03,Anderson,Shasta,76,Observation,Part of a nested/multi-completion well,E0112995A
49453,403940N1222917W001,29N04W02M002M,29N04W02M002M,40.394,-122.292,USGS quad,5 ft.,5-006.03,Anderson,Shasta,270,Irrigation,Single Well,0960214
25239,404061N1222301W001,30N03W32P003M,MW-06,40.406,-122.23,Surveyed to a benchmark,0.1 ft.,5-006.03,Anderson,Shasta,101,Observation,Single Well,1077140
51383,404083N1225111W001,30N06W35L001M,30N06W35L001M,40.4083,-122.511,USGS quad,5 ft.,5-006.03,Anderson,Shasta,180,Residential,Single Well,553107
23414,404193N1222507W001,30N03W30N001M,30N03W30N001M,40.4193,-122.251,Unknown,Unknown,5-006.03,Anderson,Shasta,150,Unknown,Single Well,NA
25238,404195N1222463W001,30N03W30Q002M,MW-05,40.4195,-122.246,Surveyed to a benchmark,0.1 ft.,5-006.03,Anderson,Shasta,103,Observation,Single Well,1077144
23413,404257N1222237W001,30N03W29K001M,30N03W29K001M,40.4257,-122.224,Unknown,Unknown,5-006.03,Anderson,Shasta,72,Residential,Single Well,NA
