STN_ID,SITE_CODE,SWN,WELL_NAME,LATITUDE,LONGITUDE,WLM_METHOD,WLM_ACC,BASIN_CODE,BASIN_NAME,COUNTY_NAME,WELL_DEPTH,WELL_USE,WELL_TYPE,WCR_NO
48801,412455N1224899W001,NA,SCV04,41.4093,-122.817,GPS,20 ft.,1-005,Scott River Valley,Siskiyou,NA,Residential,Single Well,NA
48359,412990N1225279W001,NA,SCV 02,41.4984,-122.88,GPS,20 ft.,1-005,Scott River Valley,Siskiyou,NA,Residential,Single Well,NA
48358,413348N1225123W001,NA,SCV 01,41.558,-122.854,GPS,20 ft.,1-005,Scott River Valley,Siskiyou,NA,Other,Single Well,NA
22367,414555N1228745W001,42N09W27N002M,42N09W27N002M,41.4555,-122.875,USGS quad,10 ft.,1-005,Scott River Valley,Siskiyou,80,Residential,Single Well,NA
22366,414569N1228715W001,42N09W27N001M,NA,41.4569,-122.872,Unknown,Unknown,1-005,Scott River Valley,Siskiyou,19,Unknown,Unknown,NA
48791,414686N1222830W001,NA,SV04,41.7809,-122.472,GPS,20 ft.,1-004,Shasta Valley,Siskiyou,NA,Other,Single Well,NA
22364,414719N1224394W001,42N05W20J001M,42N05W20J001M,41.4719,-122.439,Digital Elevation Model,Unknown,1-004,Shasta Valley,Siskiyou,40,Residential,Single Well,D-LOG
22363,414796N1223568W001,42N04W18P001M,18P001,41.4796,-122.357,Unknown,Unknown,1-004,Shasta Valley,Siskiyou,340,Residential,Single Well,101729
22365,414987N1225202W001,42N06W10J001M,42N06W10J001M,41.4987,-122.52,USGS quad,10 ft.,1-004,Shasta Valley,Siskiyou,110,Residential,Single Well,NA
37191,415017N1224564W001,42N05W08E001M,42N05W08E001M,41.5017,-122.456,Digital Elevation Model,Unknown,1-004,Shasta Valley,Siskiyou,NA,Residential,Single Well,NA
37192,415262N1228403W001,42N09W02A002M,NA,41.5262,-122.84,Unknown,Unknown,1-005,Scott River Valley,Siskiyou,22,Residential,Unknown,NA
37195,415324N1223676W001,43N05W36G001M,36G001M,41.5324,-122.368,Unknown,Unknown,1-004,Shasta Valley,Siskiyou,322,Residential,Single Well,42753
22373,415351N1225474W001,43N06W33C001M,43N06W33C001M,41.5351,-122.547,Digital Elevation Model,Unknown,1-004,Shasta Valley,Siskiyou,317,Irrigation,Single Well,2081
49002,415444N1225387W001,NA,SV03,41.5444,-122.539,GPS,20 ft.,1-004,Shasta Valley,Siskiyou,300,Irrigation,Single Well,713302
49294,415601N1224718W001,43N05W19F002M,43N05W19F002M,41.5601,-122.472,USGS quad,5 ft.,1-004,Shasta Valley,Siskiyou,150,Irrigation,Single Well,563238
37197,415635N1228315W001,43N09W24F001M,43N09W24F001M,41.5635,-122.832,Unknown,Unknown,1-005,Scott River Valley,Siskiyou,205,Irrigation,Single Well,278
37196,415637N1225176W001,43N06W22A001M,43N06W22A001M,41.5637,-122.518,Digital Elevation Model,Unknown,1-004,Shasta Valley,Siskiyou,100,Irrigation,Single Well,205
22374,415644N1228541W001,43N09W23F001M,43N09W23F001M,41.5644,-122.854,USGS quad,10 ft.,1-005,Scott River Valley,Siskiyou,23,Unknown,Single Well,NA
22372,415748N1225300W001,43N06W15F003M,43N06W15F003M,41.5748,-122.53,Surveyed to a benchmark,0.1 ft.,1-004,Shasta Valley,Siskiyou,100,Irrigation,Single Well,NA
22371,415753N1224660W001,43N05W18G001M,43N05W18G001M,41.5753,-122.466,Digital Elevation Model,Unknown,1-004,Shasta Valley,Siskiyou,329,Irrigation,Single Well,NA
37194,415833N1224394W001,43N05W08R001M,NA,41.5833,-122.439,Unknown,Unknown,1-004,Shasta Valley,Siskiyou,NA,Residential,Unknown,NA
49296,415867N1224630W001,43N05W07K001M,43N05W07K001M,41.5867,-122.463,USGS quad,5 ft.,1-004,Shasta Valley,Siskiyou,73,Unknown,Single Well,NA
37193,415891N1223553W001,43N04W07M001M,07M001,41.5891,-122.355,Unknown,Unknown,1-004,Shasta Valley,Siskiyou,395,Residential,Single Well,54058
22370,415952N1223848W001,43N05W11A001M,43N05W11A001M,41.5952,-122.385,Digital Elevation Model,Unknown,1-004,Shasta Valley,Siskiyou,167,Irrigation,Single Well,5586
25973,416033N1228528W001,43N09W02P002M,SCV03,41.6033,-122.853,USGS quad,5 ft.,1-005,Scott River Valley,Siskiyou,NA,Residential,Single Well,NA
50631,416083N1223932W001,43N05W02C002M,SV03A,41.6083,-122.393,Unknown,Unknown,1-004,Shasta Valley,Siskiyou,102,Irrigation,Single Well,127502
24040,416191N1223997W001,44N05W34H001M,44N05W34H001M,41.6191,-122.4,Digital Elevation Model,Unknown,1-004,Shasta Valley,Siskiyou,96,Irrigation,Single Well,USGS
36753,416237N1224524W001,44N05W32C002M,44N05W32C002M,41.6237,-122.452,USGS quad,10 ft.,1-004,Shasta Valley,Siskiyou,79,Irrigation,Single Well,53277
37719,416288N1228303W001,44N09W25R001M,44N09W25R001M,41.6288,-122.83,USGS quad,10 ft.,1-005,Scott River Valley,Siskiyou,NA,Residential,Single Well,NA
36825,416295N1228926W001,44N09W28P001M,28P001M,41.6295,-122.893,Unknown,Unknown,1-005,Scott River Valley,Siskiyou,65,Unknown,Single Well,NA
50392,416335N1228997W001,44N09W29J001M,44N09W29J001M,41.6335,-122.9,USGS quad,10 ft.,1-005,Scott River Valley,Siskiyou,NA,Residential,Single Well,49066
36999,416397N1225224W001,44N06W27B001M,44N06W27B001M,41.6397,-122.522,Digital Elevation Model,Unknown,1-004,Shasta Valley,Siskiyou,110,Residential,Single Well,129187
22376,416462N1224190W001,44N05W21H001M,44N05W21H001M,41.6462,-122.419,Digital Elevation Model,Unknown,1-004,Shasta Valley,Siskiyou,335,Stockwatering,Single Well,YES
