STN_ID,SITE_CODE,SWN,WELL_NAME,LATITUDE,LONGITUDE,WLM_METHOD,WLM_ACC,BASIN_CODE,BASIN_NAME,COUNTY_NAME,WELL_DEPTH,WELL_USE,WELL_TYPE,WCR_NO
39782,381511N1219946W001,04N01W32G001M,NA,38.1511,-121.995,Unknown,Unknown,2-003,Suisun-Fairfield Valley,Solano,240,Unknown,Unknown,121234
3638,381724N1217450W001,04N02E22P001M,NA,38.1724,-121.745,Unknown,Unknown,5-021.66,Solano,Solano,130,Residential,Unknown,20166
3590,381768N1218899W001,04N01E20F001M,NA,38.1768,-121.89,Unknown,Unknown,2-003,Suisun-Fairfield Valley,Solano,141,Residential,Unknown,NA
3586,381842N1218887W001,04N01E17Q002M,NA,38.1842,-121.889,Unknown,Unknown,2-003,Suisun-Fairfield Valley,Solano,120,Residential,Unknown,96802
2924,381875N1219710W001,04N01W15N001M,NA,38.1875,-121.971,Unknown,Unknown,2-003,Suisun-Fairfield Valley,Solano,141,Residential,Unknown,59530
27068,381967N1221417W001,04N03W13G001M,NA,38.1967,-122.142,Unknown,Unknown,2-003,Suisun-Fairfield Valley,Solano,225,Unknown,Unknown,NA
27105,382050N1218791W001,04N01E09M001M,NA,38.205,-121.879,Unknown,Unknown,2-003,Suisun-Fairfield Valley,Solano,285,Stockwatering,Unknown,43812
26290,382080N1220832W001,04N02W09H001M,NA,38.208,-122.083,Unknown,Unknown,2-003,Suisun-Fairfield Valley,Solano,180,Residential,Unknown,NA
2583,382103N1221444W001,04N03W12G001M,NA,38.2103,-122.144,Unknown,Unknown,2-003,Suisun-Fairfield Valley,Solano,167,Residential,Unknown,20628
3632,382111N1217530W001,04N02E09A001M,CANRIGHT,38.2111,-121.753,Unknown,Unknown,5-021.66,Solano,Solano,NA,Stockwatering,Single Well,NA
3788,382118N1221346W001,04N02W07D001M,NA,38.2118,-122.135,Unknown,Unknown,2-003,Suisun-Fairfield Valley,Solano,30,Residential,Unknown,NA
3571,382125N1218071W001,04N01E12A001M,NA,38.2125,-121.807,Unknown,Unknown,5-021.66,Solano,Solano,50,Unknown,Unknown,NA
40039,382145N1220846W001,04N02W09A001M,NA,38.2145,-122.085,Unknown,Unknown,2-003,Suisun-Fairfield Valley,Solano,37,Unknown,Unknown,NA
29150,382162N1219529W001,04N01W03R001M,NA,38.2162,-121.953,Unknown,Unknown,2-003,Suisun-Fairfield Valley,Solano,200,Irrigation,Unknown,152005
29148,382190N1219520W001,04N01W03J001M,NA,38.219,-121.952,Unknown,Unknown,2-003,Suisun-Fairfield Valley,Solano,NA,Residential,Unknown,NA
29149,382190N1219565W001,04N01W03K001M,NA,38.219,-121.957,Unknown,Unknown,2-003,Suisun-Fairfield Valley,Solano,81,Residential,Unknown,59528
3649,382207N1221101W001,04N02W05L007M,NA,38.2207,-122.11,Unknown,Unknown,2-003,Suisun-Fairfield Valley,Solano,170,Residential,Unknown,72918
2849,382209N1218365W001,04N01E02G001M,NA,38.2209,-121.837,Unknown,Unknown,5-021.66,Solano,Solano,420,Unknown,Unknown,NA
26385,382211N1218425W001,04N01E02E001M,NA,38.2211,-121.843,Unknown,Unknown,5-021.66,Solano,Solano,80,NA,Unknown,NA
26390,382239N1218929W001,04N01E05F001M,NA,38.2239,-121.893,Unknown,Unknown,2-003,Suisun-Fairfield Valley,Solano,64,Stockwatering,Unknown,NA
40037,382250N1220899W001,04N02W04F003M,NA,38.225,-122.09,Unknown,Unknown,2-003,Suisun-Fairfield Valley,Solano,307,Unknown,Unknown,43689
3642,382262N1220971W001,04N02W04D002M,SHELDON,38.2262,-122.097,Unknown,Unknown,2-003,Suisun-Fairfield Valley,Solano,102,Irrigation,Single Well,NA
3786,382292N1221195W001,04N02W06A001M,NA,38.2292,-122.12,Unknown,Unknown,2-003,Suisun-Fairfield Valley,Solano,39,Residential,Unknown,NA
