STN_ID,SITE_CODE,SWN,WELL_NAME,LATITUDE,LONGITUDE,WLM_METHOD,WLM_ACC,BASIN_CODE,BASIN_NAME,COUNTY_NAME,WELL_DEPTH,WELL_USE,WELL_TYPE,WCR_NO
50599,380912N1222916W001,NA,68-100-16,38.0912,-122.292,Other,Unknown,NA,NA,Sonoma,NA,Other,Single Well,210577
2017,381189N1224940W001,03N06W11L001M,NA,38.1189,-122.494,Unknown,Unknown,2-001,Petaluma Valley,Sonoma,520,Unknown,Unknown,121003
2016,381289N1224740W001,03N06W01Q001M,NA,38.1289,-122.474,Unknown,Unknown,2-001,Petaluma Valley,Sonoma,225,Residential,Unknown,NA
49243,381402N1223610W001,NA,Casa De Arroyo,38.2341,-122.603,Digital Elevation Model,2.5 ft,2-001,Petaluma Valley,Sonoma,229,Observation,Single Well,NA
49242,381408N1223633W001,NA,Miwok,38.2357,-122.609,Digital Elevation Model,2.5 ft,2-001,Petaluma Valley,Sonoma,460,Observation,Single Well,0901156
2119,381416N1224812W001,04N06W36N001M,NA,38.1416,-122.481,Unknown,Unknown,2-001,Petaluma Valley,Sonoma,50,Residential,Unknown,58238
50600,381503N1223410W001,NA,5/7-25 PG&E,38.2514,-122.579,Other,Unknown,2-001,Petaluma Valley,Sonoma,426,Irrigation,Single Well,23340
49240,381522N1223733W001,NA,Tahola,38.2562,-122.626,Digital Elevation Model,2.5 ft,2-001,Petaluma Valley,Sonoma,425,Observation,Single Well,NA
49241,381528N1223700W001,NA,Garfield,38.258,-122.617,Digital Elevation Model,2.5 ft,2-001,Petaluma Valley,Sonoma,360,Observation,Single Well,NA
51159,381531N1224876W001,NA,Sears Point,38.1532,-122.488,Unknown,Unknown,2-001,Petaluma Valley,Sonoma,276,Irrigation,Single Well,NA
49239,381553N1223839W001,NA,Station 1401,38.2648,-122.644,Digital Elevation Model,Unknown,2-001,Petaluma Valley,Sonoma,562,Observation,Single Well,NA
26577,381661N1225072W001,04N06W27B001M,04N06W27B001M,38.1661,-122.507,Unknown,Unknown,2-001,Petaluma Valley,Sonoma,150,Stockwatering,Single Well,061787
4204,381802N1225187W001,04N06W21A001M,NA,38.1802,-122.519,Unknown,Unknown,2-001,Petaluma Valley,Sonoma,259,Residential,Unknown,46280
28977,381939N1225430W001,04N06W17G001M,NA,38.1939,-122.543,Unknown,Unknown,2-001,Petaluma Valley,Sonoma,85,Unknown,Unknown,24913
4202,382117N1225556W001,04N06W07A001M,NA,38.2117,-122.556,Unknown,Unknown,2-001,Petaluma Valley,Sonoma,180,Residential,Unknown,121452
4042,382211N1224606W001,04N05W06E001M,NA,38.2211,-122.461,Unknown,Unknown,2-002.02,Sonoma Valley,Sonoma,100,Residential,Unknown,16157
28569,382214N1224591W001,04N05W06M001M,NA,38.2214,-122.459,Unknown,Unknown,2-002.02,Sonoma Valley,Sonoma,230,Residential,Unknown,147826
48732,382214N1224591W002,NA,SV-M18-02,38.2214,-122.459,GPS,Unknown,2-002.02,Sonoma Valley,Sonoma,230,Residential,Single Well,147826
48738,382252N1223786W001,NA,SV-Q18-01,38.2252,-122.379,Digital Elevation Model,Unknown,2-002.02,Sonoma Valley,Sonoma,320,Observation,Single Well,NA
4040,382253N1223787W001,04N05W02B001M,NA,38.2253,-122.379,Unknown,Unknown,2-002.02,Sonoma Valley,Sonoma,375,Residential,Unknown,121389
27769,382276N1225763W001,05N07W36R001M,382276N1225763W001,38.2276,-122.576,Unknown,Unknown,2-001,Petaluma Valley,Sonoma,34,Residential,Single Well,118618
27767,382277N1226740W001,05N07W31P003M,05N07W31P003M,38.2277,-122.674,Unknown,Unknown,1-059,Wilson Grove Formation Highlands,Sonoma,244,Residential,Single Well,15412
6950,382305N1226654W001,05N07W31R002M,05N07W31R002M,38.2305,-122.665,Unknown,Unknown,1-059,Wilson Grove Formation Highlands,Sonoma,95,Residential,Single Well,14476
6951,382322N1226423W001,05N07W33M001M,NA,38.2322,-122.642,Unknown,Unknown,2-001,Petaluma Valley,Sonoma,132,Industrial,Unknown,321
6952,382332N1226218W001,05N07W34L001M,NA,38.2332,-122.622,Unknown,Unknown,2-001,Petaluma Valley,Sonoma,196,Unknown,Unknown,31531
51157,382342N1225525W001,NA,Cardinaux,38.2342,-122.553,Unknown,Unknown,2-001,Petaluma Valley,Sonoma,370,Residential,Single Well,066160
48737,382439N1224189W001,NA,SV-O17-01,38.2439,-122.419,Digital Elevation Model,Unknown,2-002.02,Sonoma Valley,Sonoma,93,Unknown,Single Well,NA
28619,382471N1226458W001,05N07W28M001M,05N07W28M001M,38.2471,-122.646,Unknown,Unknown,2-001,Petaluma Valley,Sonoma,71,Residential,Single Well,NA
28620,382483N1226726W001,05N07W30K014M,05N07W30K014M,38.2483,-122.673,Unknown,Unknown,1-059,Wilson Grove Formation Highlands,Sonoma,185,Residential,Single Well,17647
4817,382493N1224484W001,05N05W30J003M,NA,38.2493,-122.448,Unknown,Unknown,2-002.02,Sonoma Valley,Sonoma,80,Residential,Unknown,NA
28618,382536N1225794W001,05N07W25G001M,NA,38.2536,-122.579,Unknown,Unknown,2-001,Petaluma Valley,Sonoma,426,Residential,Unknown,23340
6270,382564N1226810W001,05N07W19N001M,NA,38.2564,-122.681,Unknown,Unknown,2-001,Petaluma Valley,Sonoma,180,Residential,Unknown,281
6959,382623N1227218W001,05N08W23M001M,05N08W23M001M,38.2623,-122.722,Unknown,Unknown,1-059,Wilson Grove Formation Highlands,Sonoma,100,Residential,Single Well,95678
48736,382635N1224166W001,NA,SV-O15-01,38.2635,-122.417,Surveyed to a benchmark,Unknown,2-002.02,Sonoma Valley,Sonoma,508,Residential,Single Well,NA
28617,382636N1226300W001,05N07W21H001M,NA,38.2636,-122.63,Unknown,Unknown,2-001,Petaluma Valley,Sonoma,92,Residential,Unknown,408
6960,382660N1226940W001,05N08W24F001M,05N08W24F001M,38.266,-122.694,Unknown,Unknown,1-059,Wilson Grove Formation Highlands,Sonoma,340,Irrigation,Single Well,17311
28616,382672N1226541W001,05N07W20B002M,NA,38.2672,-122.654,Unknown,Unknown,2-001,Petaluma Valley,Sonoma,158,Unknown,Unknown,NA
6957,382711N1226907W001,05N08W13Q001M,05N08W13Q001M,38.2711,-122.691,Unknown,Unknown,1-059,Wilson Grove Formation Highlands,Sonoma,110,Residential,Single Well,31506
6267,382712N1226147W001,05N07W15Q001M,05N07W15Q001M,38.2712,-122.615,Unknown,Unknown,2-001,Petaluma Valley,Sonoma,200,Residential,Single Well,107934
27773,382715N1227151W001,05N08W14P001M,05N08W14P001M,38.2715,-122.715,Unknown,Unknown,1-059,Wilson Grove Formation Highlands,Sonoma,235,Residential,Single Well,72352
7477,382716N1224496W001,05N05W18R001M,NA,38.2716,-122.45,Unknown,Unknown,2-002.02,Sonoma Valley,Sonoma,150,Unknown,Unknown,104
48731,382716N1224496W002,NA,SV-N15-02,38.2716,-122.45,GPS,Unknown,2-002.02,Sonoma Valley,Sonoma,150,Unknown,Single Well,104
48727,382733N1224975W001,NA,SV-K15-03,38.2733,-122.498,Surveyed,0.1 ft.,2-002.02,Sonoma Valley,Sonoma,86,Unknown,Single Well,NA
48715,382733N1225017W001,NA,SV-K15-02,38.2733,-122.502,Surveyed to a benchmark,Unknown,2-002.02,Sonoma Valley,Sonoma,205,Unknown,Single Well,98270
48734,382747N1224488W001,NA,SV-N15-01,38.2747,-122.449,Surveyed,Unknown,2-002.02,Sonoma Valley,Sonoma,NA,Unknown,Single Well,NA
6958,382749N1227071W001,05N08W14K002M,05N08W14K002M,38.2749,-122.707,Unknown,Unknown,1-059,Wilson Grove Formation Highlands,Sonoma,270,Residential,Single Well,46542
6266,382766N1226179W001,05N07W15K002M,NA,38.2766,-122.618,Unknown,Unknown,2-001,Petaluma Valley,Sonoma,177,Residential,Unknown,46942
6240,382803N1224705W001,05N06W13G001M,NA,38.2803,-122.471,Unknown,Unknown,2-002.02,Sonoma Valley,Sonoma,93,Residential,Unknown,155912
28496,382827N1224737W001,05N06W13C001M,NA,38.2827,-122.474,Unknown,Unknown,2-002.02,Sonoma Valley,Sonoma,600,Residential,Unknown,117189
6269,382827N1226719W001,05N07W18B001M,NA,38.2827,-122.672,Unknown,Unknown,2-001,Petaluma Valley,Sonoma,82,Residential,Unknown,44657
28822,382828N1224313W001,05N05W17B002M,NA,38.2828,-122.431,Unknown,Unknown,2-002.02,Sonoma Valley,Sonoma,493,Residential,Unknown,155920
48735,382828N1224313W002,NA,SV-O14-01,38.2828,-122.431,GPS,Unknown,2-002.02,Sonoma Valley,Sonoma,560,Residential,Single Well,155920
48730,382828N1224741W001,NA,SV-L14-01,38.2828,-122.474,Digital Elevation Model,Unknown,2-002.02,Sonoma Valley,Sonoma,614,Unknown,Single Well,117189
7475,382830N1224393W001,05N05W17C001M,NA,38.283,-122.439,Unknown,Unknown,2-002.02,Sonoma Valley,Sonoma,70,Residential,Unknown,70
48714,382867N1225053W001,NA,SV-K14-02,38.2867,-122.505,Surveyed to a benchmark,Unknown,2-002.02,Sonoma Valley,Sonoma,600,Unknown,Single Well,121153
6264,382867N1226095W001,05N07W11N001M,NA,38.2867,-122.61,Unknown,Unknown,2-001,Petaluma Valley,Sonoma,100,Residential,Unknown,118640
28820,382899N1224390W001,05N05W08P002M,NA,38.2899,-122.439,Unknown,Unknown,2-002.02,Sonoma Valley,Sonoma,245,Residential,Unknown,16163
