STN_ID,SITE_CODE,SWN,WELL_NAME,LATITUDE,LONGITUDE,WLM_METHOD,WLM_ACC,BASIN_CODE,BASIN_NAME,COUNTY_NAME,WELL_DEPTH,WELL_USE,WELL_TYPE,WCR_NO
10787,372343N1211204W001,08S08E17N001M,NA,37.2343,-121.12,Unknown,Unknown,NA,NA,Stanislaus,NA,Unknown,Unknown,NA
10786,372377N1211104W001,08S08E17K001M,NA,37.2377,-121.11,Unknown,Unknown,5-022.07,Delta-Mendota,Stanislaus,NA,Unknown,Unknown,NA
38027,372452N1209941W001,06S09E16D001M,246,37.2452,-120.994,Unknown,Unknown,5-022.07,Delta-Mendota,Stanislaus,NA,NA,Unknown,NA
10641,372710N1211116W001,08S08E05G001M,NA,37.271,-121.112,Unknown,Unknown,NA,NA,Stanislaus,NA,Unknown,Unknown,NA
9986,372755N1210657W001,07S08E35N001M,NA,37.2755,-121.066,Unknown,Unknown,5-022.07,Delta-Mendota,Stanislaus,NA,Unknown,Unknown,NA
9980,372757N1210816W001,07S08E34N001M,NA,37.2757,-121.082,Unknown,Unknown,5-022.07,Delta-Mendota,Stanislaus,NA,Unknown,Unknown,NA
9985,372788N1210666W001,07S08E35M001M,NA,37.2788,-121.067,Unknown,Unknown,5-022.07,Delta-Mendota,Stanislaus,NA,Unknown,Unknown,NA
9979,372818N1210941W001,07S08E33K001M,NA,37.2818,-121.094,Unknown,Unknown,5-022.07,Delta-Mendota,Stanislaus,NA,Unknown,Unknown,NA
7741,372821N1209685W001,07S09E34L001M,NA,37.2821,-120.969,Unknown,Unknown,5-022.07,Delta-Mendota,Stanislaus,NA,Unknown,Unknown,NA
9989,372827N1210485W001,07S08E36E002M,NA,37.2827,-121.049,Unknown,Unknown,5-022.07,Delta-Mendota,Stanislaus,NA,Unknown,Unknown,NA
9983,372827N1210596W001,07S08E35F001M,NA,37.2827,-121.06,Unknown,Unknown,5-022.07,Delta-Mendota,Stanislaus,NA,Unknown,Unknown,NA
9982,372832N1210649W001,07S08E35E001M,07S08E35E001M,37.2832,-121.065,Unknown,Unknown,5-022.07,Delta-Mendota,Stanislaus,219,Irrigation,Single Well,NA
9988,372835N1210485W001,07S08E36E001M,NA,37.2835,-121.049,Unknown,Unknown,5-022.07,Delta-Mendota,Stanislaus,NA,Unknown,Unknown,NA
9984,372852N1210496W001,07S08E35H001M,07S08E35H001M,37.2852,-121.05,Unknown,Unknown,5-022.07,Delta-Mendota,Stanislaus,159,Irrigation,Single Well,00019294
9978,372860N1211035W001,07S08E33D001M,NA,37.286,-121.104,Unknown,Unknown,5-022.07,Delta-Mendota,Stanislaus,NA,Unknown,Unknown,NA
9842,372868N1211141W001,07S08E32C001M,NA,37.2868,-121.114,Unknown,Unknown,5-022.07,Delta-Mendota,Stanislaus,NA,Unknown,Unknown,NA
9981,372885N1210649W001,07S08E35D001M,NA,37.2885,-121.065,Unknown,Unknown,5-022.07,Delta-Mendota,Stanislaus,NA,Unknown,Unknown,NA
9987,372888N1210491W001,07S08E36D001M,259,37.2888,-121.049,Unknown,Unknown,5-022.07,Delta-Mendota,Stanislaus,NA,Unknown,Unknown,NA
48597,372907N1210875W001,07S08E28R001M,MC10-1,37.2907,-121.088,GPS,0.1 ft.,5-022.07,Delta-Mendota,Stanislaus,380,Observation,Part of a nested/multi-completion well,e0105603
48598,372907N1210875W002,07S08E28R002M,MC10-2,37.2907,-121.088,GPS,0.1 ft.,5-022.07,Delta-Mendota,Stanislaus,135,Observation,Part of a nested/multi-completion well,e0105603
9841,372910N1211024W001,07S08E28N001M,NA,37.291,-121.102,Unknown,Unknown,5-022.07,Delta-Mendota,Stanislaus,NA,Unknown,Unknown,NA
9840,372952N1210482W001,07S08E25M001M,NA,37.2952,-121.048,Unknown,Unknown,5-022.07,Delta-Mendota,Stanislaus,NA,Unknown,Unknown,NA
7738,372960N1210110W001,07S09E29M001M,NA,37.296,-121.011,Unknown,Unknown,5-022.07,Delta-Mendota,Stanislaus,NA,Unknown,Unknown,NA
29519,372982N1211135W001,07S08E29F001M,NA,37.2982,-121.114,Unknown,Unknown,5-022.07,Delta-Mendota,Stanislaus,NA,Unknown,Unknown,NA
9839,373021N1210427W001,07S08E25C002M,NA,37.3021,-121.043,Unknown,Unknown,5-022.07,Delta-Mendota,Stanislaus,NA,Unknown,Unknown,NA
29518,373021N1210518W001,07S08E26A001M,264,37.3021,-121.052,Unknown,Unknown,5-022.07,Delta-Mendota,Stanislaus,NA,Unknown,Unknown,NA
29517,373032N1210443W001,07S08E25C001M,NA,37.3032,-121.044,Unknown,Unknown,5-022.07,Delta-Mendota,Stanislaus,NA,Unknown,Unknown,NA
7731,373043N1209757W001,07S09E22N001M,NA,37.3043,-120.976,Unknown,Unknown,5-022.07,Delta-Mendota,Stanislaus,NA,Unknown,Unknown,NA
9830,373049N1210996W001,07S08E21N001M,NA,37.3049,-121.1,Unknown,Unknown,5-022.07,Delta-Mendota,Stanislaus,NA,Unknown,Unknown,NA
29514,373060N1210679W001,07S08E22R001M,NA,37.306,-121.068,Unknown,Unknown,5-022.07,Delta-Mendota,Stanislaus,NA,Unknown,Unknown,NA
29510,373063N1211407W001,07S08E19N001M,265,37.3063,-121.141,Unknown,Unknown,NA,NA,Stanislaus,NA,Unknown,Unknown,NA
9837,373068N1210535W001,07S08E23R001M,002,37.3068,-121.053,Unknown,Unknown,5-022.07,Delta-Mendota,Stanislaus,NA,Unknown,Unknown,NA
53456,373070N1210540W001,NA,1002 (CCID Well 2),37.307,-121.054,Surveyed,0.1 ft.,5-022.07,Delta-Mendota,Stanislaus,341,Irrigation,Single Well,NA
9833,373107N1210779W001,07S08E22L001M,NA,37.3107,-121.078,Unknown,Unknown,5-022.07,Delta-Mendota,Stanislaus,NA,Unknown,Unknown,NA
