STN_ID,SITE_CODE,SWN,WELL_NAME,LATITUDE,LONGITUDE,WLM_METHOD,WLM_ACC,BASIN_CODE,BASIN_NAME,COUNTY_NAME,WELL_DEPTH,WELL_USE,WELL_TYPE,WCR_NO
51117,381150N1215899W001,NA,MLF Well #11,38.8115,-121.59,USGS quad,2.5 ft,5-021.64,North American,Sutter,340,Irrigation,Single Well,726628
51256,387363N1215312W001,NA,Bianchi,38.7363,-121.531,USGS quad,2.5 ft,5-021.64,North American,Sutter,160,Irrigation,Single Well,163360
51223,387363N1215862W001,NA,TNBC Atkinson,38.7363,-121.586,GPS,0.1 ft.,5-021.64,North American,Sutter,288,Irrigation,Single Well,0935786
50873,387372N1215030W001,NA,L-4,38.7372,-121.503,USGS quad,2.5 ft,5-021.64,North American,Sutter,NA,Irrigation,Single Well,NA
32288,387404N1214870W001,10N04E12A001M,NA,38.7404,-121.487,Unknown,Unknown,5-021.64,North American,Sutter,290,Irrigation,Unknown,NA
51221,387422N1214929W001,NA,L-3,38.7422,-121.493,GPS,0.1 ft.,5-021.64,North American,Sutter,370,Irrigation,Single Well,46435
50864,387427N1215150W001,NA,L-1,38.7427,-121.515,USGS quad,2.5 ft,5-021.64,North American,Sutter,NA,Irrigation,Single Well,NA
51261,387432N1215588W001,NA,MW 1,38.7432,-121.559,USGS quad,2.5 ft,5-021.64,North American,Sutter,NA,Irrigation,Single Well,NA
51258,387434N1215252W001,NA,L-MW,38.7434,-121.525,USGS quad,2.5 ft,5-021.64,North American,Sutter,NA,Irrigation,Single Well,NA
50865,387439N1215017W001,NA,L-2,38.7439,-121.502,USGS quad,2.5 ft,5-021.64,North American,Sutter,952,Irrigation,Single Well,232139
50874,387480N1214946W001,NA,L-5,38.748,-121.495,USGS quad,2.5 ft,5-021.64,North American,Sutter,NA,Irrigation,Single Well,NA
50863,387483N1215217W001,NA,L-9,38.7483,-121.522,USGS quad,2.5 ft,5-021.64,North American,Sutter,NA,Irrigation,Single Well,NA
50866,387487N1215099W001,NA,L-7,38.7487,-121.51,USGS quad,2.5 ft,5-021.64,North American,Sutter,NA,Irrigation,Single Well,NA
15544,387489N1215098W001,10N04E02K001M,NA,38.7489,-121.51,Unknown,Unknown,5-021.64,North American,Sutter,NA,Irrigation,Unknown,NA
50872,387506N1215191W001,NA,L-8,38.7506,-121.519,USGS quad,2.5 ft,5-021.64,North American,Sutter,NA,Irrigation,Single Well,NA
51259,387508N1215235W001,NA,Mckenzie 1,38.7508,-121.524,USGS quad,2.5 ft,5-021.64,North American,Sutter,NA,Irrigation,Single Well,NA
50875,387509N1215060W001,NA,L-6,38.7509,-121.506,USGS quad,2.5 ft,5-021.64,North American,Sutter,517,Irrigation,Single Well,32723
10648,387511N1215230W001,11N04E34N001M,11N04E34N001M,38.7511,-121.523,Unknown,Unknown,5-021.64,North American,Sutter,302,Residential,Single Well,51-098
10647,387548N1215256W001,11N04E33J001M,NA,38.7548,-121.526,Unknown,Unknown,5-021.64,North American,Sutter,285,Irrigation,Unknown,51-095
11193,387556N1214898W001,11N04E35J001M,11N04E35J001M,38.7556,-121.49,Unknown,Unknown,5-021.64,North American,Sutter,133,Irrigation,Unknown,45210
51260,387582N1215075W001,NA,Mckenzie 2,38.7582,-121.508,USGS quad,2.5 ft,5-021.64,North American,Sutter,NA,Irrigation,Single Well,NA
51265,387605N1215901W001,NA,TNBC MW,38.7605,-121.59,USGS quad,2.5 ft,5-021.64,North American,Sutter,300,Irrigation,Single Well,76445
54956,387645N1216782W001,NA,test - please delete,38.7645,-121.678,Digital Elevation Model,Unknown,5-021.62,Sutter,Sutter,NA,Irrigation,Single Well,NA
54957,387645N1216782W002,NA,G-16,38.7645,-121.678,Digital Elevation Model,Unknown,5-021.62,Sutter,Sutter,340,Irrigation,Single Well,0992725
10511,387674N1214873W001,11N04E25N001M,NA,38.7674,-121.487,Unknown,Unknown,5-021.64,North American,Sutter,190,Residential,Unknown,NA
51257,387682N1215482W001,NA,Lauppe,38.7682,-121.548,USGS quad,2.5 ft,5-021.64,North American,Sutter,185,Irrigation,Single Well,37309
10510,387814N1214701W001,11N04E24R001M,South Sutter WD,38.7814,-121.47,Unknown,Unknown,5-021.64,North American,Sutter,420,Irrigation,Single Well,1073
50867,387823N1215257W001,NA,L-10,38.7823,-121.526,USGS quad,2.5 ft,5-021.64,North American,Sutter,NA,Irrigation,Single Well,NA
38675,387837N1214982W001,11N04E23P002M,11N04E23P002M,38.7837,-121.498,Unknown,Unknown,5-021.64,North American,Sutter,200,Unknown,Unknown,68764
55017,387841N1215773W002,NA,L-13 Bolen Pasture,38.7841,-121.577,Unknown,Unknown,5-021.64,North American,Sutter,520,Irrigation,Single Well,e0352395
31003,387842N1214888W001,11N04E23J001M,NA,38.7842,-121.489,Unknown,Unknown,5-021.64,North American,Sutter,280,Irrigation,Unknown,NA
12780,387859N1216565W001,11N03E20H003M,RD 1500 Karnak,38.7851,-121.656,Unknown,Unknown,5-021.62,Sutter,Sutter,165,Industrial,Single Well,178763
