STN_ID,SITE_CODE,SWN,WELL_NAME,LATITUDE,LONGITUDE,WLM_METHOD,WLM_ACC,BASIN_CODE,BASIN_NAME,COUNTY_NAME,WELL_DEPTH,WELL_USE,WELL_TYPE,WCR_NO
22060,397993N1220850W001,23N02W34N001M,23N02W34N001M,39.7993,-122.085,USGS quad,5 ft.,5-021.51,Corning,Tehama,100,Industrial,Single Well,123670
22066,398020N1221580W001,23N03W36M002M,NA,39.802,-122.158,Unknown,Unknown,5-021.51,Corning,Tehama,112,Residential,Unknown,125401
36619,398089N1220677W001,23N02W34A001M,23N02W34A001M,39.8089,-122.068,USGS quad,5 ft.,5-021.51,Corning,Tehama,130,Irrigation,Single Well,NA
22059,398108N1220711W001,23N02W34A003M,23N02W34A003M,39.8108,-122.071,USGS quad,5 ft.,5-021.51,Corning,Tehama,125,Irrigation,Single Well,4717
48708,398117N1221020W001,23N02W28N004M,28N04 Shallow,39.8117,-122.102,Surveyed to a benchmark,0.1 ft.,5-021.51,Corning,Tehama,205,Observation,Part of a nested/multi-completion well,e0138883B
48854,398117N1221020W002,23N02W28N001M,28N01 Deep,39.8117,-122.102,Surveyed to a benchmark,0.1 ft.,5-021.51,Corning,Tehama,970,Observation,Part of a nested/multi-completion well,E0138877A
48855,398117N1221020W003,23N02W28N002M,28N02 Int./Deep,39.8117,-122.102,Surveyed to a benchmark,0.1 ft.,5-021.51,Corning,Tehama,580,Observation,Part of a nested/multi-completion well,E0138877B
48856,398117N1221020W004,23N02W28N003M,28N03 Shallow/Int.,39.8117,-122.102,Surveyed to a benchmark,0.1 ft.,5-021.51,Corning,Tehama,370,Observation,Part of a nested/multi-completion well,e138883A
48709,398193N1221590W001,23N03W25M004M,25M04 Shallow,39.8192,-122.159,Surveyed to a benchmark,0.1 ft.,5-021.51,Corning,Tehama,155,Observation,Part of a nested/multi-completion well,e0138902D
48857,398193N1221590W002,23N03W25M001M,25M01 Deep,39.8192,-122.159,Surveyed to a benchmark,0.1 ft.,5-021.51,Corning,Tehama,988,Observation,Part of a nested/multi-completion well,e0138902A
48858,398193N1221590W003,23N03W25M002M,25M02 Inter/Deep,39.8192,-122.159,Surveyed to a benchmark,0.1 ft.,5-021.51,Corning,Tehama,513,Observation,Part of a nested/multi-completion well,e0138902B
48859,398193N1221590W004,23N03W25M003M,25M03 Shallow/Int.,39.8192,-122.159,Surveyed to a benchmark,0.1 ft.,5-021.51,Corning,Tehama,262,Observation,Part of a nested/multi-completion well,e0138902C
22064,398260N1221876W001,23N03W22Q001M,23N03W22Q001M,39.826,-122.188,Unknown,Unknown,5-021.51,Corning,Tehama,380,Irrigation,Single Well,6176
22057,398270N1220785W001,23N02W22N002M,NA,39.827,-122.079,Unknown,Unknown,5-021.51,Corning,Tehama,250,Irrigation,Unknown,NA
22065,398389N1221442W001,23N03W24A002M,23N03W24A002M,39.8389,-122.144,USGS quad,5 ft.,5-021.51,Corning,Tehama,200,Irrigation,Single Well,NA
36623,398392N1221430W001,23N03W24A003M,23N03W24A003M,39.8392,-122.143,USGS quad,5 ft.,5-021.51,Corning,Tehama,199,Residential,Single Well,503090
52636,398456N1222199W002,23N03W17R001M,NA,39.8456,-122.22,Digital aerial photo,10 ft.,5-021.51,Corning,Tehama,720,Irrigation,Single Well,e0345540
36622,398493N1222016W001,23N03W16H001M,23N03W16H001M,39.8493,-122.202,USGS quad,5 ft.,5-021.51,Corning,Tehama,150,Residential,Single Well,369342
22063,398511N1222091W001,23N03W16F002M,23N03W16F002M,39.851,-122.209,USGS quad,5 ft.,5-021.51,Corning,Tehama,450,Irrigation,Single Well,176787
22068,398527N1222610W001,23N04W13G001M,23N04W13G001M,39.8527,-122.261,USGS quad,5 ft.,5-021.51,Corning,Tehama,560,Irrigation,Single Well,492152?
36618,398534N1220963W001,23N02W16B001M,23N02W16B001M,39.8534,-122.096,Other,Unknown,5-021.51,Corning,Tehama,120,Irrigation,Single Well,NA
22062,398535N1221517W001,23N03W13C002M,NA,39.8535,-122.152,Unknown,Unknown,5-021.51,Corning,Tehama,62,Residential,Unknown,NA
24337,398543N1221535W001,23N03W13C003M,13C03 Deep,39.8543,-122.154,Surveyed to a benchmark,0.1 ft.,5-021.51,Corning,Tehama,980,Observation,Part of a nested/multi-completion well,E055045E
24336,398543N1221535W002,23N03W13C004M,13C04 Deep Int,39.8543,-122.154,Surveyed to a benchmark,0.1 ft.,5-021.51,Corning,Tehama,835,Observation,Part of a nested/multi-completion well,E055045D
24335,398543N1221535W003,23N03W13C005M,13C05 Intermediate,39.8543,-122.154,Surveyed to a benchmark,0.1 ft.,5-021.51,Corning,Tehama,381,Observation,Part of a nested/multi-completion well,E055045C
37920,398543N1221535W004,23N03W13C006M,13C06 Shal/Int,39.8543,-122.154,Surveyed to a benchmark,0.1 ft.,5-021.51,Corning,Tehama,182,Observation,Part of a nested/multi-completion well,E055045B
24334,398543N1221535W005,23N03W13C007M,13C07 Shallow,39.8543,-122.154,Surveyed to a benchmark,0.1 ft.,5-021.51,Corning,Tehama,71,Observation,Part of a nested/multi-completion well,E055045A
36621,398591N1221543W001,23N03W12P002M,NA,39.8591,-122.154,Unknown,Unknown,5-021.51,Corning,Tehama,44,Stockwatering,Unknown,NA
39941,398623N1221536W001,23N03W12L001M,23N03W12L001M,39.8623,-122.154,USGS quad,5 ft.,5-021.51,Corning,Tehama,150,Irrigation,Single Well,61256
52637,398662N1222480W002,23N03W07F001M,NA,39.8662,-122.248,Digital aerial photo,10 ft.,5-021.51,Corning,Tehama,790,Irrigation,Single Well,e0361891
22061,398672N1221482W001,23N03W12G001M,NA,39.8672,-122.148,Unknown,Unknown,5-021.51,Corning,Tehama,150,Unknown,Unknown,NA
40173,398743N1221985W001,23N03W04J001M,23N03W04J001M,39.8743,-122.199,USGS quad,5 ft.,5-021.51,Corning,Tehama,195,Residential,Single Well,405595
50899,398804N1221981W001,23N03W04H001M,23N03W04H001M,39.8804,-122.198,USGS quad,5 ft.,5-021.51,Corning,Tehama,270,Irrigation,Single Well,10183
25612,398813N1222108W001,23N03W04C001M,23N03W04C001M,39.8813,-122.211,USGS quad,5 ft.,5-021.51,Corning,Tehama,270,Irrigation,Single Well,502967
36620,398815N1222225W001,23N03W05G001M,23N03W05G001M,39.8815,-122.223,USGS quad,5 ft.,5-021.51,Corning,Tehama,70,Residential,Single Well,NA
22067,398837N1223254W001,23N04W04D001M,NA,39.8837,-122.325,Unknown,Unknown,5-021.51,Corning,Tehama,517,Irrigation,Unknown,Video
20690,398851N1221737W001,24N03W35P005M,24N03W35P005M,39.8851,-122.174,USGS quad,5 ft.,5-021.51,Corning,Tehama,120,Residential,Single Well,517987
52638,398858N1223011W002,24N04W34P001M,NA,39.8858,-122.301,Digital aerial photo,10 ft.,5-021.51,Corning,Tehama,535,Irrigation,Single Well,467617
22069,398864N1223168W001,23N04W33Q001M,NA,39.8864,-122.317,Unknown,Unknown,5-021.51,Corning,Tehama,270,Irrigation,Unknown,Video
36309,398876N1223207W001,24N04W33P001M,24N04W33P001M,39.8876,-122.321,USGS quad,5 ft.,5-021.51,Corning,Tehama,780,Irrigation,Single Well,499356
20676,398881N1220925W001,24N02W33Q001M,NA,39.8881,-122.093,Unknown,Unknown,5-021.51,Corning,Tehama,57,Residential,Unknown,NA
36030,398881N1221725W001,24N03W35P004M,24N03W35P004M,39.8881,-122.172,USGS quad,5 ft.,5-021.51,Corning,Tehama,107,Irrigation,Single Well,NA
20689,398884N1221695W001,24N03W35P003M,NA,39.8884,-122.169,Unknown,Unknown,5-021.51,Corning,Tehama,80,Irrigation,Unknown,NA
20688,398886N1221697W001,24N03W35P002M,NA,39.8886,-122.17,Unknown,Unknown,5-021.51,Corning,Tehama,240,Residential,Unknown,NA
52640,398893N1222943W002,24N04W34K001M,NA,39.8893,-122.294,Digital aerial photo,10 ft.,5-021.51,Corning,Tehama,750,Irrigation,Single Well,e0361896
52641,398929N1222573W002,24N04W36G001M,NA,39.8929,-122.257,Digital aerial photo,10 ft.,5-021.51,Corning,Tehama,750,Irrigation,Single Well,e0361897
36024,398953N1220299W001,24N02W36A001M,NA,39.8953,-122.03,Unknown,Unknown,5-021.56,Los Molinos,Tehama,260,Irrigation,Unknown,NA
20677,398956N1220504W001,24N02W35A001M,NA,39.8956,-122.05,Unknown,Unknown,5-021.56,Los Molinos,Tehama,400,Irrigation,Unknown,77800
20678,398969N1220343W001,24N02W36B001M,NA,39.8969,-122.034,Unknown,Unknown,5-021.56,Los Molinos,Tehama,48,Unknown,Unknown,DWR
20671,398992N1220320W001,24N02W25R001M,NA,39.8992,-122.032,Unknown,Unknown,5-021.56,Los Molinos,Tehama,90,Residential,Unknown,12513
25969,398996N1221227W001,24N02W29N003M,29N03 Shallow,39.8996,-122.123,Surveyed to a benchmark,0.1 ft.,5-021.51,Corning,Tehama,388,Observation,Part of a nested/multi-completion well,726917
37718,398996N1221227W002,24N02W29N004M,29N04 Deep,39.8996,-122.123,Surveyed to a benchmark,0.1 ft.,5-021.51,Corning,Tehama,741,Observation,Part of a nested/multi-completion well,726917
20670,399011N1220371W001,24N02W25Q001M,24N02W25Q001M,39.9011,-122.037,USGS quad,5 ft.,5-021.56,Los Molinos,Tehama,300,Irrigation,Single Well,6287
36023,399021N1221338W001,24N02W30P002M,24N02W30P002M,39.9021,-122.134,USGS quad,5 ft.,5-021.51,Corning,Tehama,300,Irrigation,Single Well,484745
25967,399030N1222246W001,24N03W29Q001M,29Q01 Shallow,39.903,-122.225,Surveyed to a benchmark,0.1 ft.,5-021.51,Corning,Tehama,372,Observation,Part of a nested/multi-completion well,726918
37717,399030N1222246W002,24N03W29Q002M,29Q02 Intermediate,39.903,-122.225,Surveyed to a benchmark,0.1 ft.,5-021.51,Corning,Tehama,575,Observation,Part of a nested/multi-completion well,726918
25968,399030N1222246W003,24N03W29Q003M,29Q03 Deep,39.903,-122.225,Surveyed to a benchmark,0.1 ft.,5-021.51,Corning,Tehama,844,Observation,Part of a nested/multi-completion well,726918
39260,399044N1220373W001,24N02W25K001M,24N02W25K001M,39.9044,-122.037,USGS quad,5 ft.,5-021.56,Los Molinos,Tehama,47,Residential,Single Well,NA
36020,399052N1220412W001,24N02W25L002M,24N02W25L002M,39.9052,-122.041,USGS quad,5 ft.,5-021.56,Los Molinos,Tehama,NA,Irrigation,Single Well,NA
39685,399056N1220400W001,24N02W25L001M,24N02W25L001M,39.9056,-122.04,USGS quad,5 ft.,5-021.56,Los Molinos,Tehama,NA,Irrigation,Single Well,NA
