STN_ID,SITE_CODE,SWN,WELL_NAME,LATITUDE,LONGITUDE,WLM_METHOD,WLM_ACC,BASIN_CODE,BASIN_NAME,COUNTY_NAME,WELL_DEPTH,WELL_USE,WELL_TYPE,WCR_NO
39287,356419N1190690W001,26S27E28G001M,NA,35.6419,-119.069,Unknown,Unknown,5-022.14,Kern County,Tulare,NA,Unknown,Unknown,NA
23279,357097N1190345W001,25S27E35K001M,NA,35.7097,-119.035,Unknown,Unknown,5-022.14,Kern County,Tulare,NA,Unknown,Unknown,NA
23274,357103N1191112W001,25S27E31M001M,25S27E31M001M,35.7103,-119.111,Unknown,Unknown,5-022.14,Kern County,Tulare,2185,Irrigation,Single Well,00118643
52155,357306N1191167W002,NA,24S26E24F1,35.7306,-119.117,Surveyed,0.1 ft.,5-022.14,Kern County,Tulare,1224,Irrigation,Single Well,60091
19524,357894N1195377W001,24S23E31N001M,NA,35.7894,-119.538,Unknown,Unknown,5-022.14,Kern County,Tulare,NA,Unknown,Unknown,NA
35990,357906N1194366W001,24S23E36Q001M,NA,35.7906,-119.437,Unknown,Unknown,5-022.13,Tule,Tulare,NA,Unknown,Unknown,NA
19525,357906N1194649W001,24S23E34R001M,NA,35.7906,-119.465,Unknown,Unknown,5-022.13,Tule,Tulare,NA,Unknown,Unknown,NA
34216,357908N1191495W001,24S26E34Q003M,NA,35.7908,-119.15,Unknown,Unknown,5-022.13,Tule,Tulare,NA,Unknown,Unknown,NA
20898,357908N1191701W001,24S26E33P001M,NA,35.7908,-119.17,Unknown,Unknown,5-022.13,Tule,Tulare,NA,Unknown,Unknown,NA
20896,357908N1192101W001,24S26E31N001M,NA,35.7908,-119.21,Unknown,Unknown,5-022.13,Tule,Tulare,NA,Unknown,Unknown,NA
18892,357911N1190553W001,24S27E33R001M,NA,35.7911,-119.055,Unknown,Unknown,5-022.13,Tule,Tulare,NA,Unknown,Unknown,NA
