STN_ID,SITE_CODE,SWN,WELL_NAME,LATITUDE,LONGITUDE,WLM_METHOD,WLM_ACC,BASIN_CODE,BASIN_NAME,COUNTY_NAME,WELL_DEPTH,WELL_USE,WELL_TYPE,WCR_NO
27015,340792N1189420W001,01S20W14J001S,NA,34.0792,-118.942,Unknown,Unknown,NA,NA,Ventura,NA,Unknown,Unknown,NA
2547,340797N1189690W001,01S20W15M003S,NA,34.0797,-118.969,Unknown,Unknown,NA,NA,Ventura,NA,Unknown,Unknown,NA
27016,340889N1189812W001,01S20W16B004S,NA,34.0889,-118.981,Unknown,Unknown,NA,NA,Ventura,NA,Unknown,Unknown,NA
2005,340894N1189598W001,01S20W10Q001S,NA,34.0894,-118.96,Unknown,Unknown,NA,NA,Ventura,NA,Unknown,Unknown,NA
2546,340897N1189467W001,01S20W11Q004S,NA,34.0897,-118.947,Unknown,Unknown,NA,NA,Ventura,NA,Unknown,Unknown,NA
27014,340903N1189440W001,01S20W11Q002S,NA,34.0903,-118.944,Unknown,Unknown,NA,NA,Ventura,NA,Unknown,Unknown,NA
2004,340953N1189587W001,01S20W10J001S,NA,34.0953,-118.959,Unknown,Unknown,NA,NA,Ventura,NA,Unknown,Unknown,NA
27018,340956N1191087W001,01S21W08L003S,01S21W08L03S,34.096,-119.109,Digital Elevation Model,0.1 ft.,4-004.02,Oxnard,Ventura,565,Observation,Part of a nested/multi-completion well,NA
2551,340956N1191087W002,01S21W08L004S,01S21W08L04S,34.096,-119.109,Digital Elevation Model,0.1 ft.,4-004.02,Oxnard,Ventura,220,Observation,Part of a nested/multi-completion well,NA
2552,340956N1191087W003,01S21W08L005S,NA,34.0956,-119.109,Unknown,Unknown,4-004.02,Oxnard,Ventura,NA,Unknown,Unknown,NA
27017,340961N1191073W001,01S21W08L001S,NA,34.0961,-119.107,Unknown,Unknown,4-004.02,Oxnard,Ventura,NA,Unknown,Unknown,NA
2550,340961N1191073W002,01S21W08L002S,NA,34.0961,-119.107,Unknown,Unknown,4-004.02,Oxnard,Ventura,NA,Unknown,Unknown,NA
2003,341019N1189556W001,01S20W10A001S,NA,34.1019,-118.956,Unknown,Unknown,NA,NA,Ventura,NA,Unknown,Unknown,NA
2001,341067N1188976W001,01S19W05P001S,NA,34.1067,-118.898,Unknown,Unknown,NA,NA,Ventura,NA,Unknown,Unknown,NA
2002,341072N1189440W001,01S20W02Q002S,NA,34.1072,-118.944,Unknown,Unknown,NA,NA,Ventura,NA,Unknown,Unknown,NA
2000,341081N1188965W001,01S19W05L002S,NA,34.1081,-118.897,Unknown,Unknown,NA,NA,Ventura,NA,Unknown,Unknown,NA
27019,341139N1191348W001,01S22W01H001S,01S22W01H01S,34.1141,-119.133,Other,0.1 ft.,4-004.02,Oxnard,Ventura,550,Observation,Part of a nested/multi-completion well,NA
2553,341139N1191348W002,01S22W01H002S,01S22W01H02S,34.1141,-119.133,Other,0.1 ft.,4-004.02,Oxnard,Ventura,400,Observation,Part of a nested/multi-completion well,NA
27020,341139N1191348W003,01S22W01H003S,01S22W01H03S,34.1141,-119.133,Other,0.1 ft.,4-004.02,Oxnard,Ventura,330,Observation,Part of a nested/multi-completion well,NA
2554,341139N1191348W004,01S22W01H004S,01S22W01H04S,34.1141,-119.133,Other,0.1 ft.,4-004.02,Oxnard,Ventura,200,Observation,Part of a nested/multi-completion well,NA
53607,341139N1191348W005,NA,01S22W01H03S,34.1139,-119.135,Unknown,Unknown,4-004.02,Oxnard,Ventura,330,Observation,Part of a nested/multi-completion well,NA
53608,341139N1191348W005,NA,01S22W01H04S,34.1139,-119.135,Unknown,Unknown,4-004.02,Oxnard,Ventura,200,Observation,Part of a nested/multi-completion well,NA
53605,341139N1191348W005,NA,01S22W01H01S,34.1139,-119.135,Unknown,Unknown,4-004.02,Oxnard,Ventura,550,Observation,Part of a nested/multi-completion well,NA
53606,341139N1191348W005,NA,01S22W01H02S,34.1139,-119.135,Unknown,Unknown,4-004.02,Oxnard,Ventura,400,Observation,Part of a nested/multi-completion well,NA
26934,341189N1191051W001,01N21W32Q001S,NA,34.1189,-119.105,Unknown,Unknown,4-004.02,Oxnard,Ventura,NA,Unknown,Unknown,NA
2464,341200N1191065W001,01N21W32Q002S,01N21W32Q02S,34.1197,-119.105,Digital Elevation Model,0.1 ft.,4-004.02,Oxnard,Ventura,970,Observation,Part of a nested/multi-completion well,NA
2465,341200N1191065W002,01N21W32Q003S,01N21W32Q03S,34.1197,-119.105,Digital Elevation Model,0.1 ft.,4-004.02,Oxnard,Ventura,840,Observation,Part of a nested/multi-completion well,NA
26935,341200N1191065W003,01N21W32Q004S,01N21W32Q04S,34.1197,-119.105,Digital Elevation Model,0.1 ft.,4-004.02,Oxnard,Ventura,640,Observation,Part of a nested/multi-completion well,NA
2466,341200N1191065W004,01N21W32Q005S,01N21W32Q05S,34.1197,-119.105,Digital Elevation Model,0.1 ft.,4-004.02,Oxnard,Ventura,370,Observation,Part of a nested/multi-completion well,NA
2467,341200N1191065W005,01N21W32Q006S,01N21W32Q06S,34.1197,-119.105,Digital Elevation Model,0.1 ft.,4-004.02,Oxnard,Ventura,220,Observation,Part of a nested/multi-completion well,NA
2468,341200N1191065W006,01N21W32Q007S,01N21W32Q07S,34.1197,-119.105,Digital Elevation Model,0.1 ft.,4-004.02,Oxnard,Ventura,285,Observation,Single Well,NA
3340,341242N1191331W001,01N22W36K005S,01N22W36K05S,34.1243,-119.133,Digital Elevation Model,0.1 ft.,4-004.02,Oxnard,Ventura,720,Observation,Part of a nested/multi-completion well,NA
3341,341242N1191331W002,01N22W36K006S,01N22W36K06S,34.1243,-119.133,Digital Elevation Model,0.1 ft.,4-004.02,Oxnard,Ventura,580,Observation,Part of a nested/multi-completion well,NA
3342,341242N1191331W003,01N22W36K007S,01N22W36K07S,34.1243,-119.133,Digital Elevation Model,0.1 ft.,4-004.02,Oxnard,Ventura,450,Observation,Part of a nested/multi-completion well,NA
3343,341242N1191331W004,01N22W36K008S,01N22W36K08S,34.1243,-119.133,Digital Elevation Model,0.1 ft.,4-004.02,Oxnard,Ventura,330,Observation,Part of a nested/multi-completion well,NA
3344,341242N1191331W005,01N22W36K009S,01N22W36K09S,34.1243,-119.133,Digital Elevation Model,0.1 ft.,4-004.02,Oxnard,Ventura,195,Observation,Part of a nested/multi-completion well,NA
3345,341247N1191353W001,01N22W36L001S,NA,34.1247,-119.135,Unknown,Unknown,4-004.02,Oxnard,Ventura,NA,Unknown,Unknown,NA
53550,341248N1191043W001,01N21W32K001S,01N21W32K01S,34.1248,-119.104,USGS quad,Unknown,4-004.02,Oxnard,Ventura,575,Public Supply,Single Well,2243
2463,341253N1191109W001,01N21W32L001S,NA,34.1253,-119.111,Unknown,Unknown,4-004.02,Oxnard,Ventura,NA,Unknown,Unknown,NA
