STN_ID,SITE_CODE,SWN,WELL_NAME,LATITUDE,LONGITUDE,WLM_METHOD,WLM_ACC,BASIN_CODE,BASIN_NAME,COUNTY_NAME,WELL_DEPTH,WELL_USE,WELL_TYPE,WCR_NO
7086,383442N1216147W001,06N03E23P001M,NA,38.3442,-121.615,Unknown,Unknown,5-021.67,Yolo,Yolo,145,Unknown,Unknown,NA
7085,383696N1216257W001,06N03E15B001M,NA,38.3696,-121.626,Unknown,Unknown,5-021.67,Yolo,Yolo,109,Residential,Unknown,NA
28060,383745N1215863W001,06N03E12R001M,NA,38.3745,-121.586,Unknown,Unknown,5-021.67,Yolo,Yolo,NA,Irrigation,Unknown,NA
40009,383785N1216916W001,06N03E07M001M,06N03E07M001M,38.3785,-121.692,Unknown,Unknown,5-021.67,Yolo,Yolo,NA,Irrigation,Single Well,NA
29311,384161N1216814W001,07N03E30Q001M,NA,38.4161,-121.681,Unknown,Unknown,5-021.66,Solano,Yolo,20,Residential,Unknown,NA
5438,384162N1216814W001,07N03E30Q002M,07N03E30Q002M,38.4163,-121.682,USGS quad,Unknown,5-021.66,Solano,Yolo,140,Residential,Single Well,19730
5437,384325N1216912W001,07N03E19N001M,NA,38.4325,-121.691,Unknown,Unknown,5-021.67,Yolo,Yolo,NA,Irrigation,Unknown,NA
5436,384533N1216687W001,07N03E17F001M,NA,38.4533,-121.669,Unknown,Unknown,5-021.67,Yolo,Yolo,32,Stockwatering,Unknown,NA
5435,384643N1216583W001,07N03E08J001M,NA,38.4643,-121.658,Unknown,Unknown,5-021.67,Yolo,Yolo,67,Unknown,Unknown,NA
29310,384664N1216724W001,07N03E08M001M,NA,38.4664,-121.672,Unknown,Unknown,5-021.67,Yolo,Yolo,NA,Irrigation,Unknown,NA
29309,384757N1216466W001,07N03E04Q001M,NA,38.4757,-121.647,Unknown,Unknown,5-021.67,Yolo,Yolo,96,Irrigation,Unknown,NA
