STN_ID,SITE_CODE,SWN,WELL_NAME,LATITUDE,LONGITUDE,WLM_METHOD,WLM_ACC,BASIN_CODE,BASIN_NAME,COUNTY_NAME,WELL_DEPTH,WELL_USE,WELL_TYPE,WCR_NO
50811,389628N1215557W001,NA,Well #38,38.9628,-121.556,USGS quad,2.5 ft,5-021.61,South Yuba,Yuba,290,Irrigation,Single Well,58-018
17190,389660N1215498W001,13N04E20B002M,NA,38.966,-121.55,Unknown,Unknown,5-021.61,South Yuba,Yuba,NA,Unknown,Unknown,NA
50810,389662N1215517W001,NA,Well #37,38.9662,-121.552,USGS quad,2.5 ft,5-021.61,South Yuba,Yuba,175,Irrigation,Single Well,935392
50806,389665N1215747W001,NA,Well #32,38.9665,-121.575,USGS quad,2.5 ft,5-021.61,South Yuba,Yuba,229,Irrigation,Single Well,NA
50807,389671N1215659W001,NA,Well #33,38.9671,-121.566,USGS quad,2.5 ft,5-021.61,South Yuba,Yuba,255,Irrigation,Single Well,935393
50809,389680N1215532W001,NA,Well #36,38.968,-121.553,USGS quad,2.5 ft,5-021.61,South Yuba,Yuba,NA,Irrigation,Single Well,NA
50808,389708N1215574W001,NA,Well #35,38.9708,-121.557,USGS quad,2.5 ft,5-021.61,South Yuba,Yuba,NA,Irrigation,Single Well,NA
17189,389709N1215565W001,13N04E17P001M,NA,38.9709,-121.556,Unknown,Unknown,5-021.61,South Yuba,Yuba,NA,Unknown,Unknown,NA
17185,389850N1215272W001,13N04E09R001M,NA,38.985,-121.527,Unknown,Unknown,5-021.61,South Yuba,Yuba,NA,Unknown,Unknown,NA
50805,389860N1215738W001,NA,Well #29,38.986,-121.574,USGS quad,2.5 ft,5-021.61,South Yuba,Yuba,208,Irrigation,Single Well,NA
50815,389862N1215649W001,NA,Well #45,38.9862,-121.565,USGS quad,2.5 ft,5-021.61,South Yuba,Yuba,355,Irrigation,Single Well,993877
17184,389868N1215739W001,13N04E07L001M,YCWA-12,38.9867,-121.574,Unknown,2.5 ft,5-021.61,South Yuba,Yuba,175,Observation,Single Well,E0106742
35622,389918N1215772W001,13N04E07E001M,13N04E07E001M,38.9918,-121.577,Unknown,Unknown,5-021.61,South Yuba,Yuba,NA,Unknown,Single Well,NA
54567,389925N1214714W001,13N04E12H004M,13N04E12,38.9925,-121.471,Unknown,Unknown,5-021.61,South Yuba,Yuba,NA,Unknown,Single Well,NA
