SITE_CODE,MSMT_DATE,WSE
384931N1212618W001,2004-03-01T00:00:00Z,-8.6
384931N1212618W001,2003-10-01T00:00:00Z,-3.3
384931N1212618W001,2003-03-15T00:00:00Z,-1.1
384931N1212618W001,2002-10-01T00:00:00Z,-10.5
384931N1212618W001,2001-10-01T00:00:00Z,-13
384931N1212618W001,2001-03-15T00:00:00Z,1.9
384931N1212618W001,2000-03-15T00:00:00Z,-0.2
384931N1212618W001,1999-03-15T00:00:00Z,0.5
384931N1212618W001,1998-10-15T00:00:00Z,-10
384931N1212618W001,1997-10-15T00:00:00Z,-13.1
384931N1212618W001,1997-03-15T00:00:00Z,-3.5
384931N1212618W001,1996-10-15T00:00:00Z,-21.2
384931N1212618W001,1996-03-15T00:00:00Z,-4.5
384931N1212618W001,1995-10-15T00:00:00Z,-11.3
384931N1212618W001,1995-03-15T00:00:00Z,-6.6
384931N1212618W001,1994-10-15T00:00:00Z,-10
384931N1212618W001,1994-03-15T00:00:00Z,-3.2
384931N1212618W001,1993-10-15T00:00:00Z,-10.8
384931N1212618W001,1993-03-15T00:00:00Z,-2.1
384931N1212618W001,1992-10-15T00:00:00Z,-5.4
384931N1212618W001,1992-03-15T00:00:00Z,0.9
384931N1212618W001,1991-10-15T00:00:00Z,-11.5
384931N1212618W001,1991-03-15T00:00:00Z,4
384931N1212618W001,1990-10-15T00:00:00Z,-6
384931N1212618W001,1990-03-15T00:00:00Z,4.9
384742N1213146W001,2004-03-01T00:00:00Z,-9.1
384742N1213146W001,2003-10-01T00:00:00Z,-8.6
384742N1213146W001,2003-03-15T00:00:00Z,-6.1
384742N1213146W001,2002-10-01T00:00:00Z,-6.5
384742N1213146W001,2001-10-01T00:00:00Z,-18.8
384742N1213146W001,2001-03-15T00:00:00Z,-10.1
384742N1213146W001,2000-03-15T00:00:00Z,-9.1
384742N1213146W001,1999-03-15T00:00:00Z,-8.1
384742N1213146W001,1998-10-15T00:00:00Z,-9
384742N1213146W001,1997-10-15T00:00:00Z,-20.4
384742N1213146W001,1997-03-15T00:00:00Z,-13.5
