STN_ID,SITE_CODE,TOP_PRF,BOT_PRF
48699,325536N1170608W001,260,280
48698,325910N1170835W006,45,65
48697,326821N1171124W006,20,25
48696,327378N1170722W001,140,160
48695,327781N1171209W006,30,50
51087,328442N1169971W001,14.5,34.5
48692,328556N1169394W001,15,35
51088,328662N1169215W001,70,220
51722,328715N1169003W001,80,210
49057,328749N1168843W001,5,65
48689,328783N1169242W001,6,95
51086,329054N1169302W001,30,60
48690,329102N1169242W001,30,70
48691,329593N1169256W001,18,38
49485,330557N1170464W001,30,50
48694,330874N1169748W001,70,90
49689,330979N1170172W001,30,50
14581,331109N1161314W001,111,156
51152,331560N1161680W001,50,400
51018,331610N1162372W001,400,520
51018,331610N1162372W001,660,840
47842,331981N1162959W001,180,230
47842,331981N1162959W001,240,456
47842,331981N1162959W001,465,580
47836,332032N1163143W001,175,325
51199,332114N1173775W001,40,150
47841,332116N1163340W001,185,430
51153,332266N1162794W001,45,155
47839,332316N1163887W001,240,325
47913,332367N1167165W001,120,480
51156,332391N1173818W001,88,108
47912,332486N1166558W001,160,235
47912,332486N1166558W001,265,280
47912,332486N1166558W001,300,310
47912,332486N1166558W001,325,350
47912,332486N1166558W001,400,420
51201,332509N1172990W001,25,30
47840,332574N1163559W001,520,570
47840,332574N1163559W001,590,640
47837,332576N1163131W001,85,390
47892,332742N1166846W001,106,450
31627,332839N1167395W001,36,252
32060,332867N1167043W001,78,270
51234,332993N1169389W001,130,230
47835,333006N1163495W001,800,890
51155,333006N1173599W001,118,143
12599,333103N1166879W001,65,245
51203,333156N1171969W001,10,30
51154,333198N1173328W001,58.5,73.5
51233,333395N1170148W001,100,241
51205,333472N1170272W001,70,100
47731,334262N1160792W001,182,278
51668,334416N1161083W001,418.36,438.37
39409,334631N1171048W001,555,575
8337,334631N1171048W002,160,180
46014,334686N1176782W001,90,100
46015,334686N1176782W002,115,125
47753,334690N1160995W001,800,900
48797,334694N1171156W001,460,700
48797,334694N1171156W001,740,940
48797,334694N1171156W001,980,1020
38605,334721N1171186W001,1430,1470
25712,334721N1171186W002,1110,1130
25713,334721N1171186W003,750,770
39912,334721N1171186W004,380,400
25714,334721N1171186W005,120,140
24464,334721N1171186W006,15,35
8335,334728N1171101W001,48,248
48779,334798N1171017W001,250,480
48779,334798N1171017W001,550,620
48779,334798N1171017W001,710,895
46016,334817N1176783W001,14,74
47736,334843N1160942W001,1320,1380
51664,334852N1161560W001,325.32,345
51665,334852N1161560W002,286.54,306.22
51666,334889N1161645W001,303.9,323.58
51667,334889N1161645W002,190.47,210.16
46017,334890N1176668W001,29,123
46021,334984N1176655W001,10,90
46018,335006N1176517W001,10,90
48775,335029N1170760W001,432,818
46019,335045N1176466W001,10,90
46020,335069N1176425W001,12.5,92.5
47746,335075N1161553W001,400,800
46022,335145N1176697W001,21,101
48772,335174N1170339W001,360,885
47734,335263N1160798W001,350,390
48799,335299N1170854W001,375,845
48788,335301N1171533W001,60,120
48788,335301N1171533W001,190,260
48788,335301N1171533W001,280,300
48788,335301N1171533W001,390,590
48771,335303N1171876W001,30,60
48771,335303N1171876W001,70,150
47745,335332N1161715W001,1,2
30109,335378N1170434W001,450,1040
47730,335403N1160260W001,530,560
48774,335412N1170712W001,370,470
48774,335412N1170712W001,540,760
48774,335412N1170712W001,790,810
48770,335418N1171971W001,43,65
47744,335528N1161222W001,1,2
48827,335542N1172157W001,60,307
48800,335553N1172322W001,140,520
48800,335553N1172322W001,540,640
47729,335578N1161700W001,400,750
51669,335703N1159888W001,340.19,359.87
51670,335703N1159888W002,285.1,304.78
51659,335745N1161600W001,140.42,160.02
47735,335763N1160795W001,410,870
47743,335908N1161218W001,400,840
51663,335968N1160270W001,351.9,371.91
47748,336020N1161925W001,400,550
47742,336037N1160485W001,240,402
47739,336145N1162237W001,1,2
47741,336167N1161008W001,400,648
47740,336258N1162737W001,300,740
47752,336282N1161852W001,350,351
47933,336327N1172947W001,280,480
47934,336327N1172947W002,670,700
47930,336334N1173390W001,192,213
47930,336334N1173390W001,293,314
47930,336334N1173390W001,394,457
47930,336334N1173390W001,477,498
47930,336334N1173390W001,538,559
47930,336334N1173390W001,579,600
47931,336366N1172928W001,230,430
47932,336366N1172928W002,670,675
47929,336393N1173454W001,240,450
47728,336407N1161430W001,500,1100
47925,336416N1172920W001,398,478
47925,336416N1172920W001,518,698
51660,336482N1162006W001,444.07,465.04
51661,336482N1162008W001,254.66,274.78
47923,336482N1173350W001,600,1800
47733,336485N1162162W001,146,386
47747,336485N1163777W001,200,505
47922,336529N1173320W001,600,1800
47727,336532N1162660W001,420,1150
47726,336670N1163087W001,370,377
48348,336709N1171192W001,150,509
47330,336716N1177529W001,160,170
47331,336716N1177529W002,420,430
47280,336749N1179628W001,70,135
47281,336781N1178263W001,666,760
48350,336783N1171377W001,160,180
