STN_ID,SITE_CODE,SWN,WELL_NAME,LATITUDE,LONGITUDE,WLM_METHOD,WLM_ACC,BASIN_CODE,BASIN_NAME,COUNTY_NAME,WELL_DEPTH,WELL_USE,WELL_TYPE,WCR_NO,OBJECTID,COUNTY_NAM,COUNTY_ABB,COUNTY_NUM,COUNTY_COD,COUNTY_FIP,Shape,Shape.STAr,Shape.STLe
49420,380926N1215871W001,03N03E12R002M,03N03E12R002M,38.113,-121.587,GPS,10 ft.,5-021.66,Solano,Sacramento,23,Observation,Part of a nested/multi-completion well,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
49421,380926N1215871W002,03N03E12R003M,03N03E12R003M,38.113,-121.587,GPS,10 ft.,5-021.66,Solano,Sacramento,102,Observation,Part of a nested/multi-completion well,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
49419,381023N1215691W001,03N03E12R001M,03N03E12R001M,38.1023,-121.569,GPS,10 ft.,5-021.66,Solano,Sacramento,20,Observation,Single Well,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
50577,381132N1216951W001,03N03E07N001M,COSAC3,38.1132,-121.695,Digital Elevation Model,0.1 ft.,5-021.66,Solano,Sacramento,416,Other,Single Well,38856,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
49411,381343N1215695W001,03N04E05M001M,ND52,38.1343,-121.57,GPS,10 ft.,5-021.66,Solano,Sacramento,20,Observation,Single Well,465180K,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
49409,381440N1215627W001,03N04E05C001M,03N04E05C001M,38.144,-121.563,GPS,10 ft.,5-021.66,Solano,Sacramento,100,Observation,Part of a nested/multi-completion well,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
49410,381440N1215627W002,03N04E05C002M,03N04E05C002M,38.144,-121.563,GPS,10 ft.,5-021.66,Solano,Sacramento,100,Observation,Part of a nested/multi-completion well,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
49406,381466N1215535W001,04N04E33N001M,ND49,38.1466,-121.553,GPS,10 ft.,5-021.66,Solano,Sacramento,25,Observation,Single Well,465180H,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
49408,381485N1215500W001,03N04E05B001M,03N04E05B001M,38.1485,-121.55,GPS,10 ft.,5-021.66,Solano,Sacramento,20,Observation,Single Well,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
49400,381733N1215255W001,04N04E27B001M,ND44,38.1733,-121.526,GPS,10 ft.,5-021.66,Solano,Sacramento,25,Observation,Single Well,465180F,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
50578,381798N1216477W001,NA,COSAC2,38.1798,-121.648,Digital Elevation Model,0.1 ft.,5-021.66,Solano,Sacramento,80,Observation,Single Well,497075,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
49399,381809N1215290W001,04N04E22L001M,ND43,38.1809,-121.529,GPS,10 ft.,5-021.66,Solano,Sacramento,20,Observation,Single Well,465180E,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
49396,381852N1215268W001,04N04E14E001M,04N04E14E001M,38.1852,-121.527,GPS,10 ft.,5-021.66,Solano,Sacramento,100,Observation,Part of a nested/multi-completion well,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
49397,381853N1215272W001,04N04E14E002M,04N04E14E002M,38.1853,-121.527,GPS,10 ft.,5-021.66,Solano,Sacramento,100,Observation,Part of a nested/multi-completion well,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
49398,381858N1215280W001,04N04E15H001M,04N04E15H001M,38.1858,-121.528,GPS,10 ft.,5-021.66,Solano,Sacramento,20,Observation,Single Well,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
49395,381990N1215259W001,04N04E15G002M,ND40,38.199,-121.526,GPS,10 ft.,5-021.66,Solano,Sacramento,20,Observation,Single Well,465180D,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
49393,382044N1215280W001,04N04E10Q001M,04N04E10Q001M,38.2044,-121.528,GPS,10 ft.,5-021.66,Solano,Sacramento,100,Observation,Part of a nested/multi-completion well,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
49394,382044N1215280W002,04N04E10Q002M,04N04E10Q002M,38.2044,-121.528,GPS,10 ft.,5-021.66,Solano,Sacramento,100,Observation,Part of a nested/multi-completion well,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
49388,382328N1215070W001,04N04E02B001M,ND34,38.2328,-121.507,GPS,10 ft.,5-021.66,Solano,Sacramento,20,Observation,Single Well,465180B,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
28194,382377N1213206W001,05N06E33J001M,NA,38.2377,-121.321,Unknown,Unknown,5-022.16,Cosumnes,Sacramento,NA,Irrigation,Unknown,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
52075,382391N1213011W002,NA,Kost MW 1654,38.2391,-121.301,Other,Unknown,5-022.16,Cosumnes,Sacramento,1654,Observation,Part of a nested/multi-completion well,0954353,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
6095,382400N1212969W001,05N06E35M003M,NA,38.24,-121.297,Unknown,Unknown,5-022.16,Cosumnes,Sacramento,NA,Residential,Unknown,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
4830,382402N1213700W001,05N06E31E003M,NA,38.2402,-121.37,Unknown,Unknown,5-022.16,Cosumnes,Sacramento,105,Unknown,Unknown,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
6094,382405N1213205W001,05N06E33H001M,05N06E33H001M,38.2405,-121.321,Unknown,Unknown,5-022.16,Cosumnes,Sacramento,NA,Irrigation,Single Well,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
49364,382411N1214894W001,05N04E36G001M,05N04E36G001M,38.2411,-121.489,GPS,10 ft.,5-021.65,South American,Sacramento,100,Observation,Part of a nested/multi-completion well,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
49365,382411N1214894W002,05N04E36G002M,05N04E36G002M,38.2411,-121.489,GPS,10 ft.,5-021.65,South American,Sacramento,100,Observation,Part of a nested/multi-completion well,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
49361,382419N1214831W001,05N04E36H001M,ND-10,38.2411,-121.486,GPS,10 ft.,5-021.65,South American,Sacramento,20,Observation,Single Well,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
49367,382424N1214848W001,05N04E36R001M,05N04E36R001M,38.2424,-121.485,GPS,10 ft.,5-021.65,South American,San Joaquin,20,Observation,Single Well,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
49359,382465N1214792W001,05N05E31D003M,05N05E31D003M,38.2465,-121.479,GPS,10 ft.,5-021.65,South American,Sacramento,20,Observation,Single Well,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
49357,382471N1214811W001,05N05E31D002M,05N05E31D002M,38.2471,-121.481,GPS,10 ft.,5-021.65,South American,Sacramento,100,Observation,Part of a nested/multi-completion well,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
49358,382471N1214811W002,05N05E31D004M,05N05E31D004M,38.2471,-121.481,GPS,10 ft.,5-021.65,South American,Sacramento,100,Observation,Part of a nested/multi-completion well,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
49363,382500N1214874W001,05N04E36F001M,05N04E36F001M,38.25,-121.487,GPS,10 ft.,5-021.65,South American,Sacramento,20,Observation,Single Well,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
6254,382523N1212320W001,05N07E29K002M,NA,38.2523,-121.232,Unknown,Unknown,5-022.16,Cosumnes,Sacramento,530,Irrigation,Unknown,54942,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
6253,382524N1212329W001,05N07E29K001M,NA,38.2524,-121.233,Unknown,Unknown,5-022.16,Cosumnes,Sacramento,330,Residential,Unknown,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
39108,382542N1213399W001,05N06E29H001M,NA,38.2542,-121.34,Unknown,Unknown,5-022.16,Cosumnes,Sacramento,335,Irrigation,Unknown,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
27987,382548N1212908W001,05N06E26K001M,05N06E26K001M,38.2548,-121.291,Unknown,Unknown,5-022.16,Cosumnes,Sacramento,310,Irrigation,Single Well,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
27988,382550N1213698W001,05N06E30E001M,05N06E30E001M,38.255,-121.37,Unknown,Unknown,5-022.16,Cosumnes,Sacramento,200,Irrigation,Single Well,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
49353,382563N1214771W001,05N05E30F001M,05N05E30F001M,38.2563,-121.477,GPS,10 ft.,5-021.65,South American,Sacramento,20,Observation,Single Well,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
49351,382604N1214665W001,05N05E30A004M,ND2,38.2604,-121.467,GPS,10 ft.,5-021.65,South American,Sacramento,20,Observation,Single Well,464478A,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
28613,382613N1212086W001,05N07E28A001M,NA,38.2613,-121.209,Unknown,Unknown,5-022.16,Cosumnes,Sacramento,480,Irrigation,Unknown,240,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
4829,382617N1213510W001,05N06E29C001M,NA,38.2617,-121.351,Unknown,Unknown,5-022.16,Cosumnes,Sacramento,NA,Irrigation,Unknown,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
27986,382621N1212827W001,05N06E26A002M,NA,38.2621,-121.283,Unknown,Unknown,5-022.16,Cosumnes,Sacramento,NA,Residential,Unknown,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
28614,382623N1212452W001,05N07E30A001M,NA,38.2623,-121.245,Unknown,Unknown,5-022.16,Cosumnes,Sacramento,NA,Irrigation,Unknown,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
4828,382623N1212973W001,05N06E26D001M,05N06E26D001M,38.2623,-121.297,Unknown,Unknown,5-022.16,Cosumnes,Sacramento,383,Irrigation,Single Well,64518,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
6250,382625N1212626W001,05N07E19N001M,05N07E19N001M,38.2625,-121.263,Unknown,Unknown,5-022.16,Cosumnes,Sacramento,225,Residential,Single Well,18100,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
48984,382633N1211992W001,05N07E22P001M,05N07E22P001M,38.2633,-121.199,Unknown,Unknown,5-022.16,Cosumnes,Sacramento,NA,Irrigation,Single Well,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
6252,382727N1211718W001,05N07E23H001M,05N07E23H001M,38.2727,-121.172,Unknown,Unknown,5-022.16,Cosumnes,Sacramento,600,Irrigation,Single Well,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
4827,382732N1213610W001,05N06E19B001M,NA,38.2732,-121.361,Unknown,Unknown,5-022.16,Cosumnes,Sacramento,NA,Residential,Unknown,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
6251,382737N1212346W001,05N07E20G001M,NA,38.2737,-121.235,Unknown,Unknown,5-022.16,Cosumnes,Sacramento,341,Irrigation,Unknown,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
7464,382742N1214193W001,05N05E22B001M,05N05E22B001M,38.2742,-121.419,Unknown,Unknown,5-021.65,South American,Sacramento,NA,Residential,Single Well,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
28813,382748N1214823W001,05N05E19D001M,NA,38.2748,-121.482,Unknown,Unknown,5-021.65,South American,Sacramento,12,NA,Unknown,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
28612,382771N1211806W001,05N07E23C001M,NA,38.2771,-121.181,Unknown,Unknown,5-022.16,Cosumnes,Sacramento,NA,Irrigation,Unknown,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
4825,382792N1212652W001,05N06E13R001M,05N06E13R001M,38.2792,-121.265,Unknown,Unknown,5-022.16,Cosumnes,Sacramento,240,Irrigation,Single Well,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
7463,382815N1214585W001,05N05E17L002M,NA,38.2815,-121.459,Unknown,Unknown,5-021.65,South American,Sacramento,27,NA,Unknown,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
28611,382893N1212127W001,05N07E16A001M,NA,38.2893,-121.213,Unknown,Unknown,5-022.16,Cosumnes,Sacramento,225,Residential,Unknown,43097,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
27985,382895N1212974W001,05N06E14D001M,NA,38.2895,-121.297,Unknown,Unknown,5-022.16,Cosumnes,Sacramento,NA,Irrigation,Unknown,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
28812,382899N1214415W001,05N05E16C001M,05n05e16c001m,38.2899,-121.442,Unknown,Unknown,5-021.65,South American,Sacramento,NA,Irrigation,Single Well,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
4826,382901N1213123W001,05N06E15C002M,NA,38.2901,-121.312,Unknown,Unknown,5-022.16,Cosumnes,Sacramento,84,Unknown,Unknown,36788,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
4821,382912N1213625W001,05N06E07Q002M,NA,38.2912,-121.363,Unknown,Unknown,5-022.16,Cosumnes,Sacramento,39,Unknown,Unknown,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
4824,382913N1213131W001,05N06E10P001M,SCGA #25,38.2913,-121.313,Unknown,Unknown,5-022.16,Cosumnes,Sacramento,384,Irrigation,Single Well,64517,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
7460,382916N1214076W001,05N05E11N001M,NA,38.2916,-121.408,Unknown,Unknown,5-021.65,South American,Sacramento,NA,Unknown,Unknown,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
6247,382920N1212357W001,05N07E08Q001M,NA,38.292,-121.236,Unknown,Unknown,5-022.16,Cosumnes,Sacramento,463,Irrigation,Unknown,703,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
7459,382920N1214194W001,05N05E10Q001M,NA,38.292,-121.419,Unknown,Unknown,5-021.65,South American,Sacramento,NA,Irrigation,Unknown,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
7461,382934N1213896W001,05N05E12N002M,NA,38.2934,-121.39,Unknown,Unknown,5-021.65,South American,Sacramento,97,Unknown,Unknown,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
28811,382934N1213904W001,05N05E12N001M,NA,38.2934,-121.39,Unknown,Unknown,5-021.65,South American,Sacramento,NA,Unknown,Unknown,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
6953,382935N1211328W001,05N08E08N001M,NA,38.2935,-121.133,Unknown,Unknown,5-022.16,Cosumnes,Sacramento,191,Stockwatering,Unknown,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
6248,382936N1211747W001,05N07E11R002M,05N07E11R002M,38.2936,-121.175,Unknown,Unknown,5-022.16,Cosumnes,Sacramento,228,Residential,Single Well,47909,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
7462,382939N1213904W001,05N05E12N003M,05N05E12N003M,38.2939,-121.39,Unknown,Unknown,5-021.65,South American,Sacramento,334,Irrigation,Single Well,47536,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
4822,382940N1213379W001,05N06E08R001M,05N06E08R001M,38.294,-121.338,Unknown,Unknown,5-022.16,Cosumnes,Sacramento,NA,Irrigation,Single Well,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
27984,382943N1212644W001,05N06E12R001M,05N06E12R001M,38.2943,-121.264,Unknown,Unknown,5-022.16,Cosumnes,Sacramento,850,Irrigation,Single Well,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
27983,382969N1213373W001,05N06E09M002M,NA,38.2969,-121.337,Unknown,Unknown,5-022.16,Cosumnes,Sacramento,70,Unknown,Unknown,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
6249,383000N1211712W001,05N07E12E002M,NA,38.3,-121.171,Unknown,Unknown,5-022.16,Cosumnes,Sacramento,290,Irrigation,Unknown,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
27982,383003N1213482W001,05N06E08F001M,NA,38.3003,-121.348,Unknown,Unknown,5-022.16,Cosumnes,Sacramento,NA,Unknown,Unknown,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
7458,383009N1214224W001,05N05E10C003M,05N05E10C003M,38.3009,-121.422,Unknown,Unknown,5-021.65,South American,Sacramento,165,Irrigation,Single Well,1067,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
28610,383033N1212075W001,05N07E10D001M,NA,38.3033,-121.208,Unknown,Unknown,5-022.16,Cosumnes,Sacramento,260,Residential,Unknown,8024,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
28810,383040N1214005W001,05N05E11B002M,NA,38.304,-121.401,Unknown,Unknown,5-021.65,South American,Sacramento,225,Irrigation,Unknown,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
4823,383041N1213016W001,05N06E10A001M,NA,38.3041,-121.302,Unknown,Unknown,5-022.16,Cosumnes,Sacramento,NA,Irrigation,Unknown,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
4820,383089N1213210W001,05N06E04R002M,NA,38.3089,-121.321,Unknown,Unknown,5-022.16,Cosumnes,Sacramento,NA,Irrigation,Unknown,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
28609,383116N1212452W001,05N07E06A001M,NA,38.3116,-121.245,Unknown,Unknown,5-022.16,Cosumnes,Sacramento,NA,Irrigation,Unknown,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
27981,383174N1212951W001,05N06E02C001M,NA,38.3174,-121.295,Unknown,Unknown,5-022.16,Cosumnes,Sacramento,NA,Irrigation,Unknown,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
7457,383195N1214726W001,05N05E06B001M,NA,38.3195,-121.473,Unknown,Unknown,5-021.65,South American,Sacramento,51,Unknown,Unknown,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
7456,383204N1214430W001,05N05E04C001M,NA,38.3204,-121.443,Unknown,Unknown,5-021.65,South American,Sacramento,163,Irrigation,Unknown,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
5549,383210N1213919W001,05N05E01D002M,05N05E01D002M,38.321,-121.392,Unknown,Unknown,5-021.65,South American,Sacramento,150,Residential,Single Well,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
29052,383213N1212330W001,06N07E32P001M,NA,38.3213,-121.233,Unknown,Unknown,5-022.16,Cosumnes,Sacramento,545,Irrigation,Unknown,878,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
27448,383217N1213072W001,06N06E34P001M,06N06E34P001M,38.3217,-121.307,Unknown,Unknown,5-022.16,Cosumnes,Sacramento,375,Irrigation,Single Well,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
5743,383237N1213272W001,06N06E33L001M,SCGA #26,38.3237,-121.327,Unknown,Unknown,5-022.16,Cosumnes,Sacramento,226,Irrigation,Single Well,64502,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
5744,383254N1213250W001,06N06E33Q002M,NA,38.3254,-121.325,Unknown,Unknown,5-022.16,Cosumnes,Sacramento,NA,Unknown,Unknown,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
27447,383264N1213191W001,06N06E33J002M,06N06E33J002M,38.3264,-121.319,Unknown,Unknown,5-022.16,Cosumnes,Sacramento,167,Irrigation,Single Well,51740,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
7159,383270N1214736W001,06N05E31L003M,06N05E31L003M,38.327,-121.474,Unknown,Unknown,5-021.65,South American,Sacramento,125,Residential,Single Well,9668,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
6457,383294N1211895W001,06N07E34H001M,06N07E34H001M,38.3294,-121.19,Unknown,Unknown,5-022.16,Cosumnes,Sacramento,210,Unknown,Single Well,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
7212,383305N1211486W001,06N08E31E002M,NA,38.3305,-121.149,Unknown,Unknown,5-022.16,Cosumnes,Sacramento,325,Residential,Unknown,20522,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
28209,383314N1214643W001,06N05E31A002M,NA,38.3314,-121.464,Unknown,Unknown,5-021.65,South American,Sacramento,100,Residential,Unknown,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
7213,383322N1210943W001,06N08E34E001M,NA,38.3322,-121.094,Unknown,Unknown,5-022.16,Cosumnes,Sacramento,520,Irrigation,Unknown,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
7160,383354N1214177W001,06N05E34C002M,NA,38.3354,-121.418,Unknown,Unknown,5-021.65,South American,Sacramento,NA,Irrigation,Unknown,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
27153,383385N1212663W001,06N06E25Q001M,NA,38.3385,-121.266,Unknown,Unknown,5-022.16,Cosumnes,Sacramento,90,Residential,Unknown,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
5610,383422N1213404W001,06N06E29K001M,NA,38.3422,-121.34,Unknown,Unknown,5-022.16,Cosumnes,Sacramento,600,Irrigation,Unknown,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
7158,383434N1214367W001,06N05E28F001M,NA,38.3434,-121.437,Unknown,Unknown,5-021.65,South American,Sacramento,160,Irrigation,Unknown,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
28756,383440N1212229W001,06N07E28E001M,NA,38.344,-121.223,Unknown,Unknown,5-022.16,Cosumnes,Sacramento,225,Residential,Unknown,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
28353,383468N1211390W001,06N08E30B001M,NA,38.3468,-121.139,Unknown,Unknown,5-022.16,Cosumnes,Sacramento,NA,Irrigation,Unknown,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
27154,383483N1213280W001,06N06E28C002M,06N06E28C002M,38.3483,-121.328,Unknown,Unknown,5-022.16,Cosumnes,Sacramento,NA,Irrigation,Single Well,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
5609,383504N1212971W001,06N06E26D002M,NA,38.3504,-121.297,Unknown,Unknown,5-022.16,Cosumnes,Sacramento,139,Unknown,Unknown,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
28208,383510N1213741W001,06N05E24R001M,06N05E24R001M,38.351,-121.374,Unknown,Unknown,5-021.65,South American,Sacramento,NA,Irrigation,Single Well,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
7210,383527N1211077W001,06N08E21P002M,NA,38.3527,-121.108,Unknown,Unknown,5-022.16,Cosumnes,Sacramento,140,Unknown,Unknown,NA,34,Sacramento County,SAC,34,34,067,Polygon,4203503574.269531,406962.476293
