NAME_HUC12,HUC12,ECOREGION2013L3_1STCODE,STATE_MAJ_2013,PHWA_HEALTH_NDX_ER_2016,PHWA_VULN_NDX_ER_2016,PHWA_LANDSC_SUBNDX_ER_2016,PHWA_HYDRO_SUBNDX_ER_2016,PHWA_GEO_SUBNDX_ER_2016,PHWA_HAB_SUBNDX_ER_2016,PHWA_BIO_SUBNDX_ER_2016,PHWA_WQ_SUBNDX_ER_2016,PHWA_LUVLN_SUBNDX_ER_2016,PHWA_WUVLN_SUBNDX_ER_2016,PHWA_WFVLN_SUBNDX_ER_2016,PHWA_HEALTH_NDX_ER_PCT_2016,PHWA_VULN_NDX_ER_PCT_2016,PHWA_LANDSC_SUBNDX_ER_PCT_2016,PHWA_HYDRO_SUBNDX_ER_PCT_2016,PHWA_GEO_SUBNDX_ER_PCT_2016,PHWA_HAB_SUBNDX_ER_PCT_2016,PHWA_BIO_SUBNDX_ER_PCT_2016,PHWA_WQ_SUBNDX_ER_PCT_2016,PHWA_LUVLN_SUBNDX_ER_PCT_2016,PHWA_WUVLN_SUBNDX_ER_PCT_2016,PHWA_WFVLN_SUBNDX_ER_PCT_2016,PHWA_HEALTH_NDX_ST_2016,PHWA_VULN_NDX_ST_2016,PHWA_LANDSC_SUBNDX_ST_2016,PHWA_HYDRO_SUBNDX_ST_2016,PHWA_GEO_SUBNDX_ST_2016,PHWA_HAB_SUBNDX_ST_2016,PHWA_BIO_SUBNDX_ST_2016,PHWA_WQ_SUBNDX_ST_2016,PHWA_LUVLN_SUBNDX_ST_2016,PHWA_WUVLN_SUBNDX_ST_2016,PHWA_WFVLN_SUBNDX_ST_2016,PHWA_HEALTH_NDX_ST_PCT_2016,PHWA_VULN_NDX_ST_PCT_2016,PHWA_LANDSC_SUBNDX_ST_PCT_2016,PHWA_HYDRO_SUBNDX_ST_PCT_2016,PHWA_GEO_SUBNDX_ST_PCT_2016,PHWA_HAB_SUBNDX_ST_PCT_2016,PHWA_BIO_SUBNDX_ST_PCT_2016,PHWA_WQ_SUBNDX_ST_PCT_2016,PHWA_LUVLN_SUBNDX_ST_PCT_2016,PHWA_WUVLN_SUBNDX_ST_PCT_2016,PHWA_WFVLN_SUBNDX_ST_PCT_2016
Red Spring-Colorado River,150301010307,14,CA,0.616182833,0.225529769,0.757407337,0.663464222,0.684970084,0.967354401,0.007718121,NA,0.187412117,0.333671236,0.155505952,4.074979625,86.63406683,8.231458843,14.66992665,3.993480033,55.31914894,1.204819277,NA,44.580277100000004,97.06601467,62.42868786,0.865863846,0.127510286,0.837975566,0.721501286,0.928501559,0.975476973,NA,NA,0.218722858,0.048078122,0.115729878,57.19862227,23.03099885,34.37428243,28.81745121,42.7554535,81.12244898,NA,NA,22.70952928,82.0206659,22.61768083
Shadow Canyon,150301010401,14,CA,0.823209068,0.135805551,0.8382174,0.619620356,0.972110035,0.862888483,NA,NA,0.274,9.14e-6,0.133878968,26.56886716,67.31866341,34.14832926,7.416462918,64.30317848,38.54337152,NA,NA,83.12958435,55.74572127,58.76120619,0.860694092,0.125940484,0.875277058,0.685269843,0.98522618,0.897003286,NA,NA,0.277,4.2e-6,0.100430571,55.01722158,22.7554535,74.76463835,21.44661309,83.26061998,58.71985158,NA,NA,70.97588978,28.01377727,21.23995408
Eagle Pass,150301010402,14,CA,0.722991676,0.140517947,0.83111297,0.646204538,0.879551032,0.778009924,0.480079915,NA,0.240455761,0.002080221,0.179017857,9.616951915,69.03015485,28.68785656,11.24694377,15.89242054,18.73977087,19.03614458,NA,57.29421353,79.86960065,66.2591687,0.843586865,0.12613537,0.877393945,0.715479734,0.948230366,0.833243416,NA,NA,0.243076456,9.565229999999999e-4,0.13437313,49.43742824,22.82433984,76.23421355,27.60045924,55.0401837,38.19573284,NA,NA,27.07233065,57.03788749,24.11021814
Mohave Valley-Colorado River,150301010405,14,CA,0.538661823,0.264834757,0.631489098,0.566736575,0.619136723,0.875946722,0,NA,0.310098561,0.364415629,0.119990079,2.363488183,89.56805216,3.178484108,3.341483293,2.60798696,40.42553191,0.963855422,NA,88.83455583,97.63651182,55.90872046,0.81104063,0.169765566,0.789380298,0.671016926,0.876952801,0.906812497,NA,NA,0.322840557,0.096469434,0.089986707,42.3880597,27.7152698,22.7554535,19.0815155,25.71756602,61.73469388,NA,NA,80.64293915,86.72789897,20.16073479
Monumental Pass,150301010406,14,CA,0.784385052,0.114527259,0.871137235,0.693947844,0.975596937,0.836772003,0.544,NA,0.201,5.87e-5,0.142559524,16.54441728,59.8207009,62.34718826,21.02689487,68.94865526,34.12438625,23.13253012,NA,46.7807661,66.74816626,59.98370008,0.878758367,0.103956289,0.905458701,0.745538471,0.986651432,0.877384864,NA,NA,0.205,2.7e-5,0.106957986,63.19173364,19.38002296,86.6130884,34.28243398,84.31687715,53.15398887,NA,NA,21.05625718,37.65786452,21.6532721
Lobecks Pass,150301010408,14,CA,0.744545034,0.104519267,0.850310648,0.630875746,0.91716343,0.817184644,0.507,NA,0.211,2.35e-6,0.102430556,11.57294214,54.84922575,44.49877751,8.557457213,27.1393643,24.71358429,20.48192771,NA,48.57375713,47.02526487,51.833740830000004,0.855290669,0.097024729,0.889711439,0.699765476,0.969014713,0.862671048,NA,NA,0.214,1.08e-6,0.077023499,53.11136625,17.52009185,82.18140069,24.17910448,70.35591274,46.45176252,NA,NA,22.22732491,22.5717566,19.05855339
Town of Needles-Colorado River,150301010409,14,CA,0.608690564,0.155569407,0.816660422,0.601305466,0.890110274,0.686602246,0.048774409,NA,0.333179961,0.022020323,0.111507937,3.993480033,74.16462918,19.80440098,5.623471883,18.09290954,9.901800327,2.168674699,NA,90.70904645,88.26405868,54.19722901,0.824997482,0.145346275,0.885178011,0.690074568,0.960158409,0.76457894,NA,NA,0.345438864,0.007232291,0.083367669,44.73019518,24.89092997,80.1836969,22.34213548,63.35246843,23.74768089,NA,NA,84.0413318,68.19747417,19.49483352
Bat Cave Wash-Colorado River,150301010412,81,CA,0.671255323,0.114985266,0.869689676,0.658874324,0.899978502,0.820330316,0.107403799,NA,0.189682786,5.90253e-4,0.154682758,13.84479718,47.00176367,42.85714286,15.07936508,25.04409171,28.67256637,6.97167756,NA,38.35978836,65.87301587,52.29276896,0.862442932,0.101644773,0.896011878,0.72760242,0.953677172,0.872480259,NA,NA,0.175410771,6.47218e-4,0.128876331,55.66016073,18.64523536,84.08725603,30.21814007,58.23191734,49.23469388,NA,NA,18.43857635,54.69575201,23.58208955
Stepladder Mountains,150301010501,14,CA,0.862083741,0.012152778,0.917330769,0.715098982,0.979133212,0.836772003,NA,NA,1.14e-9,0,0.036458333,49.63325183,13.77343113,86.87856561,28.52485738,71.63814181,34.12438625,NA,NA,11.73594132,32.76283619,37.89731051,0.892318384,0.009138382,0.943979894,0.760052646,0.987856132,0.877384864,NA,NA,9.97e-10,0,0.027415144,71.43513203,3.949483352,93.86911596,38.25487945,85.09758898,53.15398887,NA,NA,4.064293915,15.24684271,14.23650976
Headwaters Chemehuevi Wash,150301010502,14,CA,0.935763171,0.010991576,0.977813067,0.841693103,0.982308593,0.941237921,NA,NA,0.013877506,0,0.019097222,95.19152404,13.0399348,98.9405053,73.18663407,75.06112469,49.5908347,NA,NA,20.53789731,32.76283619,30.15484923,0.953789912,0.009412607,0.997374867,0.872222118,0.989704112,0.955858551,NA,NA,0.013877506,0,0.014360313,97.72675086,3.995407577,99.54075775,76.00459242,86.49827784,75.25510204,NA,NA,7.807118255,15.24684271,12.00918485
