sourceName,identifier,comid,X,Y
NWIS Sites,11446500,948021150,-121.2277262,38.6354601
NWIS Sites,383729121181000,15025011,-121.3038392,38.6246269
NWIS Sites,11447540,15039173,-121.5205694,38.56831667
NWIS Sites,383438121204200,15024993,-121.3460624,38.577128
NWIS Sites,383609121293200,15024919,-121.4932886,38.6024047
NWIS Sites,383052121324401,15039157,-121.5456278,38.51454167
NWIS Sites,383205121310901,15039157,-121.5192472,38.53481389
NWIS Sites,383457121254900,15024941,-121.4313425,38.58240538
NWIS Sites,383515121264400,15024941,-121.4466207,38.5874052
NWIS Sites,11446980,15024969,-121.3882857,38.5671281
NWIS Sites,383751121172200,15025011,-121.2905056,38.63073789
NWIS Sites,11446700,15024997,-121.3327288,38.59129436
NWIS Sites,383443121200500,15024993,-121.3357844,38.5785169
NWIS Sites,383602121194000,15024997,-121.3288398,38.6004608
NWIS Sites,11447500,15039173,-121.505511,38.5865717
NWIS Sites,383603121301200,15024919,-121.5044,38.60073806
NWIS Sites,66666628,948021144,-121.4234722,38.5620833
NWIS Sites,383225121304601,15039157,-121.5128806,38.5404
NWIS Sites,11447000,948021144,-121.4232867,38.5679613
NWIS Sites,383404121221600,15024969,-121.3721742,38.5676837
NWIS Sites,383155121314101,15039157,-121.5280333,38.5320722
NWIS Sites,383615121185100,15025009,-121.3152284,38.60407186
NWIS Sites,383531121281600,15024939,-121.4721769,38.59184946
NWIS Sites,383501121253100,15024941,-121.4263423,38.58351648
NWIS Sites,383344121234300,948021146,-121.3963415,38.5621282
NWIS Sites,383411121214100,15024969,-121.3624517,38.56962815
NWIS Sites,11447508,15039173,-121.505511,38.5865717
NWIS Sites,383431121304201,15039173,-121.5116917,38.57538056
NWIS Sites,383810121155000,948021149,-121.2649494,38.63601559
NWIS Sites,383444121250800,948021144,-121.4199533,38.57879439
NWIS Sites,383401121230000,15024969,-121.3843967,38.56685037
NWIS Sites,383430121302001,15039173,-121.508611,38.58055556
NWIS Sites,383429121210900,15024989,-121.3535626,38.57462806
NWIS Sites,383714121170200,15025015,-121.2849498,38.6204604
