STN_ID,SITE_CODE,SWN,WELL_NAME,LATITUDE,LONGITUDE,COUNTY_NAME,tract,ZIP
49420,380926N1215871W001,03N03E12R002M,03N03E12R002M,38.113,-121.587,Sacramento,6067009800,95641
49421,380926N1215871W002,03N03E12R003M,03N03E12R003M,38.113,-121.587,Sacramento,6067009800,95641
49419,381023N1215691W001,03N03E12R001M,03N03E12R001M,38.1023,-121.569,Sacramento,6067009800,95641
49425,381123N1215102W001,03N04E16A001M,03N04E16A001M,38.1123,-121.51,Sacramento,6077004001,95242
49426,381123N1215102W002,03N04E16A002M,03N04E16A002M,38.1123,-121.51,Sacramento,6077004001,95242
50577,381132N1216951W001,03N03E07N001M,COSAC3,38.1132,-121.695,Sacramento,6067009800,95641
49423,381170N1215245W001,03N04E17A001M,03N04E17A001M,38.117,-121.525,Sacramento,6077004001,95242
49433,381200N1214920W001,03N04E13D002M,03N04E13D002M,38.12,-121.492,Sacramento,6077004001,95242
49428,381222N1214999W001,03N04E11N001M,03N04E11N001M,38.1222,-121.5,Sacramento,6077004001,95242
49416,381301N1215640W001,03N04E02Q001M,03N04E02Q001M,38.1301,-121.564,Sacramento,6077004001,95242
49411,381343N1215695W001,03N04E05M001M,ND52,38.1343,-121.57,Sacramento,6067009900,95690
49413,381386N1215201W001,03N04E07G001M,03N04E07G001M,38.1386,-121.52,Sacramento,6077004001,95242
49409,381440N1215627W001,03N04E05C001M,03N04E05C001M,38.144,-121.563,Sacramento,6067009900,95690
49410,381440N1215627W002,03N04E05C002M,03N04E05C002M,38.144,-121.563,Sacramento,6067009900,95690
49406,381466N1215535W001,04N04E33N001M,ND49,38.1466,-121.553,Sacramento,6067009900,95690
49408,381485N1215500W001,03N04E05B001M,03N04E05B001M,38.1485,-121.55,Sacramento,6067009900,95690
49400,381733N1215255W001,04N04E27B001M,ND44,38.1733,-121.526,Sacramento,6067009900,95690
50578,381798N1216477W001,NA,COSAC2,38.1798,-121.648,Sacramento,6067009900,95690
49399,381809N1215290W001,04N04E22L001M,ND43,38.1809,-121.529,Sacramento,6067009900,95690
49396,381852N1215268W001,04N04E14E001M,04N04E14E001M,38.1852,-121.527,Sacramento,6067009900,95690
49397,381853N1215272W001,04N04E14E002M,04N04E14E002M,38.1853,-121.527,Sacramento,6067009900,95690
49398,381858N1215280W001,04N04E15H001M,04N04E15H001M,38.1858,-121.528,Sacramento,6067009900,95690
49395,381990N1215259W001,04N04E15G002M,ND40,38.199,-121.526,Sacramento,6067009900,95690
49393,382044N1215280W001,04N04E10Q001M,04N04E10Q001M,38.2044,-121.528,Sacramento,6067009900,95690
49394,382044N1215280W002,04N04E10Q002M,04N04E10Q002M,38.2044,-121.528,Sacramento,6067009900,95690
49388,382328N1215070W001,04N04E02B001M,ND34,38.2328,-121.507,Sacramento,6067009900,95690
